pdp_id,worker_id,performance_review_id,plan_year,plan_status,career_aspiration,development_focus_area,development_method,promotion_readiness_target,mentor_assigned_worker_id,creation_date,target_completion_date,completion_percentage,linked_overall_rating,linked_potential_rating,linked_gen_ai_readiness,gen_ai_impact_level,gen_ai_role_category
PDP00000043,W00000015,PR00000055,2023,Completed,AI Transformation Lead,Cloud Technologies,Certification,Ready in 2 Years,W00004584,2023-04-16,2023-09-30,95,3,High,Expert,Low,AI User
PDP00000044,W00000015,PR00000056,2024,In Progress,Practice Leader,Executive Presence,Formal Training,Ready Now,W00004656,2024-04-21,2024-06-30,39,4,Exceptional,High,Low,AI User
PDP00000045,W00000015,PR00000057,2025,Completed,AI Transformation Lead,Cloud Technologies,Formal Training,Ready Now,,2025-02-13,2025-06-30,95,3,High,High,Low,AI User
PDP00000046,W00000016,PR00000059,2022,In Progress,AI Transformation Lead,Executive Presence,Mentoring,Ready in 1 Year,W00004707,2022-04-03,2022-12-31,28,4,High,Low,Medium,AI-Augmented Professional
PDP00000047,W00000016,PR00000061,2024,Completed,Manager,Leadership,Client Engagement,Ready in 1 Year,W00001409,2024-03-02,2024-12-31,97,4,High,High,Medium,AI-Augmented Professional
PDP00000048,W00000016,PR00000062,2025,In Progress,Data and Analytics Lead,Communication Skills,Formal Training,Ready in 3+ Years,,2025-04-06,2025-09-30,56,2,Moderate,Medium,Medium,AI-Augmented Professional
PDP00000049,W00000016,PR00000063,2026,Completed,Manager,Executive Presence,Formal Training,Ready in 3+ Years,W00002884,2026-04-19,2026-09-30,91,3,High,Low,Medium,AI-Augmented Professional
PDP00000050,W00000017,PR00000064,2022,Not Started,Global Mobility Assignment,Technical Capability,Mentoring,Ready in 3+ Years,,2022-03-20,2022-12-31,9,1,Moderate,High,Medium,AI-Augmented Professional
PDP00000051,W00000017,PR00000065,2023,In Progress,Director,Communication Skills,Formal Training,Ready in 2 Years,W00002435,2023-02-16,2023-09-30,53,2,Moderate,Expert,Medium,AI-Augmented Professional
PDP00000052,W00000017,PR00000066,2024,Completed,Senior Manager,Communication Skills,Formal Training,Ready in 3+ Years,,2024-04-30,2024-06-30,90,2,Low,High,Medium,AI-Augmented Professional
PDP00000053,W00000017,PR00000068,2026,In Progress,AI Transformation Lead,Digital Transformation,Coaching,Ready in 3+ Years,,2026-03-30,2026-09-30,52,3,Moderate,High,Medium,AI-Augmented Professional
PDP00000054,W00000018,PR00000070,2023,Completed,Technical Specialist,AI & GenAI,Mentoring,Ready in 3+ Years,,2023-03-21,2023-06-30,93,3,Moderate,Expert,High,AI Product / Transformation
PDP00000055,W00000018,PR00000071,2024,Completed,Technical Specialist,Data Analytics,Mentoring,Ready in 3+ Years,,2024-03-30,2024-09-30,91,3,High,Low,High,AI Product / Transformation
PDP00000056,W00000018,PR00000073,2026,In Progress,Director,Client Relationship Management,Shadow Program,Ready in 3+ Years,W00004173,2026-03-14,2026-06-30,89,4,Moderate,High,High,AI Product / Transformation
PDP00000057,W00000019,PR00000075,2023,In Progress,Director,Digital Transformation,Stretch Assignment,Ready in 2 Years,W00002947,2023-04-04,2023-09-30,79,4,Exceptional,High,Medium,AI-Augmented Professional
PDP00000058,W00000019,PR00000076,2024,Completed,Senior Consultant,Digital Transformation,Certification,Ready in 3+ Years,W00004482,2024-01-28,2024-09-30,97,3,Exceptional,Expert,Medium,AI-Augmented Professional
PDP00000059,W00000019,PR00000077,2025,Completed,Director,Project Management,Client Engagement,Ready in 3+ Years,W00004086,2025-04-03,2025-12-31,91,2,Exceptional,High,Medium,AI-Augmented Professional
PDP00000060,W00000020,PR00000079,2026,In Progress,AI Transformation Lead,Leadership,Stretch Assignment,Ready Now,W00000428,2026-02-11,2026-09-30,49,3,High,Expert,High,AI Product / Transformation
PDP00000061,W00000021,PR00000080,2022,Completed,Practice Leader,Strategic Thinking,Client Engagement,Ready in 2 Years,W00001143,2022-02-20,2022-12-31,95,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00000062,W00000021,PR00000081,2023,Canceled,Practice Leader,Cloud Technologies,Shadow Program,Ready Now,W00004902,2023-02-11,2023-09-30,21,3,Exceptional,High,Medium,AI-Augmented Professional
PDP00000063,W00000021,PR00000082,2024,Completed,Practice Leader,People Management,Client Engagement,Ready in 1 Year,,2024-03-01,2024-09-30,95,4,Exceptional,High,Medium,AI-Augmented Professional
PDP00000064,W00000021,PR00000084,2026,Completed,Senior Manager,Executive Presence,Mentoring,Ready in 2 Years,,2026-03-04,2026-09-30,96,5,High,Low,Medium,AI-Augmented Professional
PDP00000065,W00000022,PR00000085,2022,In Progress,Senior Consultant,Project Management,Coaching,Ready in 1 Year,W00002128,2022-02-15,2022-09-30,75,3,High,Medium,Medium,AI-Augmented Professional
PDP00000066,W00000022,PR00000086,2023,In Progress,Practice Leader,Cybersecurity,Coaching,Ready in 1 Year,,2023-02-08,2023-12-31,67,5,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00000067,W00000022,PR00000088,2025,Completed,Manager,Strategic Thinking,Formal Training,Ready in 1 Year,,2025-01-26,2025-12-31,98,5,High,High,Medium,AI-Augmented Professional
PDP00000068,W00000022,PR00000089,2026,Completed,Senior Manager,Leadership,Coaching,Ready in 2 Years,W00003831,2026-02-10,2026-06-30,96,5,Exceptional,Low,Medium,AI-Augmented Professional
PDP00000069,W00000023,PR00000090,2024,Completed,Data and Analytics Lead,AI & GenAI,Client Engagement,Ready Now,W00001810,2024-04-05,2024-06-30,97,3,Exceptional,High,Medium,AI-Augmented Professional
PDP00000070,W00000023,PR00000091,2025,In Progress,Manager,Digital Transformation,Formal Training,Ready in 2 Years,W00004794,2025-03-05,2025-12-31,41,3,Moderate,High,Medium,AI-Augmented Professional
PDP00000071,W00000023,PR00000092,2026,In Progress,Partner,Communication Skills,Certification,Ready in 2 Years,W00000272,2026-03-02,2026-12-31,75,2,High,Low,Medium,AI-Augmented Professional
PDP00000072,W00000024,PR00000094,2025,In Progress,Partner,Strategic Thinking,Formal Training,Ready in 2 Years,,2025-04-16,2025-12-31,41,3,High,Low,Low,AI User
PDP00000073,W00000024,PR00000095,2026,Completed,Director,Client Relationship Management,Client Engagement,Ready in 3+ Years,,2026-03-09,2026-12-31,93,3,Moderate,Low,Low,AI User
PDP00000074,W00000026,PR00000099,2026,In Progress,Data and Analytics Lead,People Management,Formal Training,Ready in 2 Years,,2026-04-19,2026-12-31,39,3,High,Low,Medium,AI-Augmented Professional
PDP00000075,W00000027,PR00000100,2023,Completed,Data and Analytics Lead,Operational Excellence,Client Engagement,Ready in 2 Years,,2023-02-26,2023-09-30,99,2,Low,Medium,Critical,AI Builder
PDP00000076,W00000027,PR00000101,2024,Completed,Director,Strategic Thinking,Shadow Program,Ready in 2 Years,W00000744,2024-03-15,2024-12-31,93,5,Moderate,High,Critical,AI Builder
PDP00000077,W00000027,PR00000102,2025,In Progress,Director,Executive Presence,Job Rotation,Ready in 3+ Years,W00004501,2025-02-15,2025-12-31,59,3,Exceptional,Medium,Critical,AI Builder
PDP00000078,W00000028,PR00000104,2023,Deferred,AI Transformation Lead,Cloud Technologies,Formal Training,Ready in 3+ Years,W00004484,2023-02-10,2023-06-30,1,3,Moderate,High,Critical,AI Builder
PDP00000079,W00000028,PR00000106,2025,In Progress,Global Mobility Assignment,Data Analytics,Mentoring,Ready in 3+ Years,W00002671,2025-04-19,2025-09-30,75,4,Moderate,Expert,Critical,AI Builder
PDP00000080,W00000028,PR00000107,2026,Completed,Director,People Management,Coaching,Ready in 1 Year,,2026-03-19,2026-12-31,94,4,Exceptional,Medium,Critical,AI Builder
PDP00000081,W00000029,PR00000111,2025,Completed,Data and Analytics Lead,Industry Expertise,Certification,Ready in 2 Years,W00000961,2025-04-01,2025-06-30,91,3,Moderate,Low,Low,AI User
PDP00000082,W00000029,PR00000112,2026,In Progress,Technical Specialist,Strategic Thinking,Stretch Assignment,Ready in 3+ Years,W00003158,2026-04-05,2026-09-30,60,3,High,Medium,Low,AI User
PDP00000083,W00000030,PR00000114,2023,Deferred,Technical Specialist,Operational Excellence,Client Engagement,Ready in 3+ Years,W00002592,2023-02-14,2023-12-31,0,2,High,Medium,Medium,AI-Augmented Professional
PDP00000084,W00000030,PR00000115,2024,In Progress,Data and Analytics Lead,Communication Skills,Coaching,Ready in 2 Years,W00004763,2024-01-31,2024-06-30,76,3,Exceptional,Low,Medium,AI-Augmented Professional
PDP00000085,W00000030,PR00000117,2026,Completed,Data and Analytics Lead,Financial Acumen,Client Engagement,Ready in 2 Years,W00003493,2026-04-24,2026-09-30,91,4,Low,Medium,Medium,AI-Augmented Professional
PDP00000086,W00000031,PR00000118,2022,Not Started,Manager,Cybersecurity,Coaching,Ready in 1 Year,W00003914,2022-02-25,2022-12-31,6,3,High,Medium,High,AI Risk / Compliance
PDP00000087,W00000031,PR00000119,2023,Completed,Senior Manager,People Management,Coaching,Ready in 2 Years,W00003238,2023-04-21,2023-06-30,96,3,High,Medium,High,AI Risk / Compliance
PDP00000088,W00000031,PR00000120,2024,In Progress,Manager,Strategic Thinking,Formal Training,Ready in 2 Years,W00003338,2024-03-05,2024-12-31,30,3,Moderate,High,High,AI Risk / Compliance
PDP00000089,W00000031,PR00000122,2026,Not Started,Practice Leader,Digital Transformation,Mentoring,Ready in 2 Years,,2026-04-22,2026-06-30,10,4,Moderate,Medium,High,AI Risk / Compliance
PDP00000090,W00000032,PR00000123,2026,In Progress,Senior Manager,Technical Capability,Coaching,Ready in 3+ Years,,2026-04-17,2026-12-31,81,2,Moderate,Medium,High,AI Builder
PDP00000091,W00000033,PR00000126,2024,Completed,Senior Consultant,Communication Skills,Stretch Assignment,Ready in 2 Years,W00000807,2024-01-26,2024-12-31,97,4,Low,Medium,Medium,AI-Augmented Professional
PDP00000092,W00000033,PR00000128,2026,Completed,Global Mobility Assignment,Client Relationship Management,Stretch Assignment,Ready in 2 Years,,2026-01-22,2026-09-30,94,2,Moderate,Low,Medium,AI-Augmented Professional
PDP00000093,W00000034,PR00000130,2024,Canceled,Manager,People Management,Stretch Assignment,Ready in 2 Years,W00001047,2024-01-22,2024-06-30,10,5,Moderate,Expert,Critical,AI Builder
PDP00000094,W00000034,PR00000131,2025,Completed,Practice Leader,Client Relationship Management,Mentoring,Ready Now,W00004842,2025-04-30,2025-12-31,91,5,Exceptional,High,Critical,AI Builder
PDP00000095,W00000035,PR00000133,2025,In Progress,Practice Leader,Client Relationship Management,Stretch Assignment,Ready in 3+ Years,W00004556,2025-02-11,2025-09-30,35,3,High,Low,High,AI Governance
PDP00000096,W00000035,PR00000134,2026,Completed,AI Transformation Lead,Cybersecurity,Client Engagement,Ready in 1 Year,W00001158,2026-03-24,2026-06-30,97,3,Moderate,High,High,AI Governance
PDP00000097,W00000036,PR00000135,2022,Deferred,Global Mobility Assignment,Cybersecurity,Coaching,Ready in 2 Years,,2022-04-03,2022-06-30,23,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00000098,W00000036,PR00000136,2023,Not Started,AI Transformation Lead,Data Analytics,Formal Training,Ready in 2 Years,,2023-02-25,2023-12-31,3,3,Moderate,High,Medium,AI-Augmented Professional
PDP00000099,W00000036,PR00000138,2025,In Progress,AI Transformation Lead,Operational Excellence,Stretch Assignment,Ready in 3+ Years,,2025-04-14,2025-12-31,72,1,High,Medium,Medium,AI-Augmented Professional
PDP00000100,W00000036,PR00000139,2026,Deferred,Senior Manager,Cloud Technologies,Stretch Assignment,Ready in 2 Years,W00002957,2026-02-27,2026-06-30,36,4,High,Expert,Medium,AI-Augmented Professional
PDP00000101,W00000037,PR00000140,2022,In Progress,Global Mobility Assignment,Data Analytics,Coaching,Ready Now,,2022-01-17,2022-12-31,53,5,High,Medium,Low,AI User
PDP00000102,W00000037,PR00000141,2023,Completed,Director,Executive Presence,Client Engagement,Ready in 1 Year,W00004847,2023-03-08,2023-09-30,94,4,High,Low,Low,AI User
PDP00000103,W00000037,PR00000142,2024,Completed,Practice Leader,Communication Skills,Stretch Assignment,Ready in 3+ Years,W00004811,2024-01-18,2024-06-30,92,2,Moderate,High,Low,AI User
PDP00000104,W00000037,PR00000144,2026,Completed,Manager,Leadership,Coaching,Ready in 1 Year,,2026-01-18,2026-09-30,91,3,High,Low,Low,AI User
PDP00000105,W00000038,PR00000145,2025,In Progress,Global Mobility Assignment,Client Relationship Management,Job Rotation,Ready in 2 Years,,2025-04-11,2025-06-30,58,5,Exceptional,Low,Low,AI User
PDP00000106,W00000039,PR00000148,2023,Not Started,Practice Leader,Leadership,Shadow Program,Ready in 3+ Years,W00001544,2023-01-18,2023-09-30,9,3,Moderate,Medium,Low,AI User
PDP00000107,W00000039,PR00000150,2025,Completed,Technical Specialist,Project Management,Coaching,Ready in 3+ Years,,2025-04-26,2025-12-31,95,1,Moderate,Expert,Low,AI User
PDP00000108,W00000040,PR00000152,2022,In Progress,Director,Leadership,Coaching,Ready in 2 Years,W00001031,2022-03-05,2022-09-30,87,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00000109,W00000040,PR00000153,2023,Completed,Senior Manager,People Management,Stretch Assignment,Ready in 2 Years,W00001861,2023-02-17,2023-06-30,98,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00000110,W00000040,PR00000154,2024,Completed,Director,People Management,Stretch Assignment,Ready in 1 Year,,2024-03-10,2024-12-31,99,3,High,High,Medium,AI-Augmented Professional
PDP00000111,W00000040,PR00000155,2025,In Progress,Senior Manager,Leadership,Certification,Ready in 1 Year,W00003568,2025-03-31,2025-12-31,80,5,High,High,Medium,AI-Augmented Professional
PDP00000112,W00000042,PR00000157,2022,Completed,Data and Analytics Lead,Strategic Thinking,Certification,Ready in 1 Year,,2022-01-15,2022-06-30,95,4,Exceptional,Medium,High,AI Builder
PDP00000113,W00000042,PR00000158,2023,In Progress,Data and Analytics Lead,Leadership,International Assignment,Ready in 1 Year,W00001557,2023-03-21,2023-09-30,66,4,Moderate,Medium,High,AI Builder
PDP00000114,W00000042,PR00000160,2025,Completed,Practice Leader,Data Analytics,Client Engagement,Ready in 1 Year,W00000803,2025-02-08,2025-09-30,93,4,Moderate,Expert,High,AI Builder
PDP00000115,W00000042,PR00000161,2026,Completed,Data and Analytics Lead,Executive Presence,Mentoring,Ready in 1 Year,W00004298,2026-04-09,2026-06-30,96,5,Moderate,High,High,AI Builder
PDP00000116,W00000043,PR00000162,2022,In Progress,Senior Manager,Digital Transformation,International Assignment,Ready in 3+ Years,,2022-02-23,2022-12-31,25,3,Moderate,Medium,High,AI Governance
PDP00000117,W00000043,PR00000163,2023,In Progress,Global Mobility Assignment,AI & GenAI,Formal Training,Ready in 2 Years,,2023-02-03,2023-09-30,84,3,Moderate,Medium,High,AI Governance
PDP00000118,W00000043,PR00000165,2025,In Progress,Senior Manager,Client Relationship Management,Stretch Assignment,Ready in 1 Year,W00003890,2025-01-20,2025-09-30,50,5,Exceptional,High,High,AI Governance
PDP00000119,W00000043,PR00000166,2026,Completed,AI Transformation Lead,Strategic Thinking,Mentoring,Ready in 2 Years,W00002191,2026-04-16,2026-06-30,92,4,Exceptional,High,High,AI Governance
PDP00000120,W00000044,PR00000167,2024,Completed,Manager,AI & GenAI,Mentoring,Ready in 3+ Years,W00001594,2024-02-04,2024-12-31,93,3,Moderate,Expert,Medium,AI-Augmented Professional
PDP00000121,W00000044,PR00000168,2025,Completed,Data and Analytics Lead,Communication Skills,Certification,Ready in 2 Years,W00000924,2025-03-14,2025-06-30,94,2,Moderate,Medium,Medium,AI-Augmented Professional
PDP00000122,W00000044,PR00000169,2026,Completed,Director,Leadership,Coaching,Ready in 1 Year,,2026-04-12,2026-12-31,99,4,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00000123,W00000045,PR00000171,2023,Completed,Practice Leader,Cloud Technologies,Mentoring,Ready in 2 Years,,2023-03-26,2023-12-31,94,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00000124,W00000045,PR00000173,2025,Completed,Senior Manager,AI & GenAI,Mentoring,Ready in 1 Year,W00003053,2025-03-17,2025-12-31,94,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00000125,W00000045,PR00000174,2026,In Progress,Manager,Strategic Thinking,Coaching,Ready in 1 Year,W00003744,2026-04-02,2026-12-31,72,4,High,High,Medium,AI-Augmented Professional
PDP00000126,W00000046,PR00000175,2022,Completed,Practice Leader,Executive Presence,Coaching,Ready Now,W00000703,2022-03-11,2022-09-30,98,4,High,Medium,Medium,AI-Augmented Professional
PDP00000127,W00000046,PR00000176,2023,In Progress,Practice Leader,People Management,Stretch Assignment,Ready in 2 Years,W00003720,2023-02-13,2023-06-30,25,4,High,Low,Medium,AI-Augmented Professional
PDP00000128,W00000046,PR00000177,2024,Completed,Senior Manager,Leadership,Stretch Assignment,Ready in 1 Year,W00002105,2024-02-26,2024-09-30,94,3,Moderate,High,Medium,AI-Augmented Professional
PDP00000129,W00000046,PR00000178,2025,Completed,Director,Client Relationship Management,Client Engagement,Ready Now,W00004460,2025-02-05,2025-06-30,93,4,High,Medium,Medium,AI-Augmented Professional
PDP00000130,W00000046,PR00000179,2026,In Progress,Technical Specialist,AI & GenAI,Certification,Ready in 2 Years,W00001311,2026-04-13,2026-12-31,86,4,Moderate,Expert,Medium,AI-Augmented Professional
PDP00000131,W00000047,PR00000180,2022,Not Started,Global Mobility Assignment,Cloud Technologies,Client Engagement,Ready Now,W00001489,2022-01-16,2022-09-30,0,4,Low,Expert,High,AI Builder
PDP00000132,W00000047,PR00000181,2023,In Progress,Global Mobility Assignment,Technical Capability,Client Engagement,Ready in 3+ Years,,2023-03-23,2023-12-31,33,1,Moderate,Expert,High,AI Builder
PDP00000133,W00000047,PR00000182,2024,Completed,Data and Analytics Lead,Client Relationship Management,Client Engagement,Ready in 3+ Years,W00003955,2024-03-08,2024-12-31,90,4,Moderate,High,High,AI Builder
PDP00000134,W00000047,PR00000183,2025,Not Started,Practice Leader,Executive Presence,Job Rotation,Ready in 1 Year,W00004668,2025-04-21,2025-12-31,9,4,Exceptional,Expert,High,AI Builder
PDP00000135,W00000047,PR00000184,2026,Deferred,Data and Analytics Lead,People Management,Stretch Assignment,Ready in 1 Year,W00002325,2026-03-27,2026-09-30,30,4,Exceptional,High,High,AI Builder
PDP00000136,W00000048,PR00000185,2022,In Progress,Manager,Digital Transformation,Formal Training,Ready Now,,2022-02-28,2022-06-30,85,4,Exceptional,Medium,High,AI Risk / Compliance
PDP00000137,W00000048,PR00000186,2023,In Progress,AI Transformation Lead,Strategic Thinking,Stretch Assignment,Ready in 1 Year,,2023-01-17,2023-12-31,28,4,Exceptional,High,High,AI Risk / Compliance
PDP00000138,W00000048,PR00000187,2024,Completed,Manager,Leadership,Client Engagement,Ready in 1 Year,W00004214,2024-04-12,2024-09-30,94,3,High,High,High,AI Risk / Compliance
PDP00000139,W00000048,PR00000189,2026,Not Started,AI Transformation Lead,AI & GenAI,Stretch Assignment,Ready in 2 Years,W00002087,2026-01-19,2026-12-31,6,4,Moderate,Medium,High,AI Risk / Compliance
PDP00000140,W00000050,PR00000191,2026,Completed,Senior Manager,Strategic Thinking,Mentoring,Ready Now,W00001145,2026-03-17,2026-06-30,93,4,Exceptional,Medium,High,AI Builder
