benefit_enrollment_id,worker_id,benefit_plan_id,benefit_type,country,region,coverage_level,enrollment_status,effective_date,end_date,employee_contribution_pct,employer_contribution_pct
BE000000047,W00000014,BP000098,Dental,United States,Americas,Individual,Waived,2022-06-03,,0.2,0.8
BE000000048,W00000014,BP000103,Wellness Program,United States,Americas,Employee,Enrolled,2021-06-21,,0.0,1.0
BE000000049,W00000015,BP000053,Disability,Mexico,Americas,Employee,Waived,2025-09-21,,0.1,0.9
BE000000050,W00000015,BP000056,Employee Assistance Program,Mexico,Americas,Employee,Enrolled,2022-10-25,,0.0,1.0
BE000000051,W00000015,BP000054,Retirement,Mexico,Americas,Employee,Enrolled,2024-08-04,,0.05,0.95
BE000000052,W00000016,BP000080,Employee Assistance Program,Spain,EMEA,Employee,Waived,2024-10-11,,0.0,1.0
BE000000053,W00000016,BP000076,Life Insurance,Spain,EMEA,Employee,Enrolled,2022-04-30,,0.0,1.0
BE000000054,W00000016,BP000077,Disability,Spain,EMEA,Employee,Enrolled,2023-10-23,,0.1,0.9
BE000000055,W00000017,BP000008,Employee Assistance Program,Australia,APAC,Employee,Enrolled,2024-10-25,,0.0,1.0
BE000000056,W00000017,BP000005,Disability,Australia,APAC,Employee,Enrolled,2024-08-09,,0.1,0.9
BE000000057,W00000017,BP000006,Retirement,Australia,APAC,Employee,Enrolled,2021-07-03,,0.05,0.95
BE000000058,W00000017,BP000004,Life Insurance,Australia,APAC,Employee,Enrolled,2021-05-27,,0.0,1.0
BE000000059,W00000017,BP000003,Vision,Australia,APAC,Individual,Enrolled,2023-08-10,,0.2,0.8
BE000000060,W00000018,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2022-05-06,,0.0,1.0
BE000000061,W00000018,BP000040,Employee Assistance Program,India,APAC,Employee,Waived,2024-02-21,,0.0,1.0
BE000000062,W00000018,BP000035,Vision,India,APAC,Individual,Waived,2022-03-14,,0.2,0.8
BE000000063,W00000018,BP000034,Dental,India,APAC,Individual,Enrolled,2022-03-01,,0.2,0.8
BE000000064,W00000019,BP000037,Disability,India,APAC,Employee,Enrolled,2025-10-01,,0.1,0.9
BE000000065,W00000019,BP000036,Life Insurance,India,APAC,Employee,Enrolled,2024-05-24,,0.0,1.0
BE000000066,W00000019,BP000033,Medical,India,APAC,Individual,Enrolled,2023-05-07,,0.15,0.85
BE000000067,W00000019,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2024-04-20,,0.0,1.0
BE000000068,W00000019,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2022-01-04,,0.0,1.0
BE000000069,W00000020,BP000091,Vision,United Kingdom,EMEA,Individual,Enrolled,2022-05-02,,0.2,0.8
BE000000070,W00000020,BP000096,Employee Assistance Program,United Kingdom,EMEA,Employee,Enrolled,2024-10-17,,0.0,1.0
BE000000071,W00000020,BP000092,Life Insurance,United Kingdom,EMEA,Employee,Terminated,2023-12-25,2026-05-14,0.0,1.0
BE000000072,W00000020,BP000094,Retirement,United Kingdom,EMEA,Employee,Enrolled,2025-01-05,,0.05,0.95
BE000000073,W00000020,BP000095,Wellness Program,United Kingdom,EMEA,Employee,Enrolled,2025-05-26,,0.0,1.0
BE000000074,W00000020,BP000089,Medical,United Kingdom,EMEA,Individual,Enrolled,2021-12-31,,0.15,0.85
BE000000075,W00000021,BP000102,Retirement,United States,Americas,Employee,Enrolled,2025-09-01,,0.05,0.95
BE000000076,W00000021,BP000100,Life Insurance,United States,Americas,Employee,Enrolled,2025-12-27,,0.0,1.0
BE000000077,W00000021,BP000101,Disability,United States,Americas,Employee,Enrolled,2023-11-24,,0.1,0.9
BE000000078,W00000022,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2021-10-16,,0.0,1.0
BE000000079,W00000022,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2022-02-13,,0.0,1.0
BE000000080,W00000022,BP000037,Disability,India,APAC,Employee,Enrolled,2023-11-12,,0.1,0.9
BE000000081,W00000022,BP000038,Retirement,India,APAC,Employee,Terminated,2023-05-05,2025-06-20,0.05,0.95
BE000000082,W00000023,BP000040,Employee Assistance Program,India,APAC,Employee,Waived,2023-07-07,,0.0,1.0
BE000000083,W00000023,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2025-04-08,,0.0,1.0
BE000000084,W00000023,BP000034,Dental,India,APAC,Individual,Enrolled,2023-10-29,,0.2,0.8
BE000000085,W00000023,BP000035,Vision,India,APAC,Individual,Enrolled,2023-12-19,,0.2,0.8
BE000000086,W00000024,BP000028,Life Insurance,Germany,EMEA,Employee,Enrolled,2025-01-12,,0.0,1.0
BE000000087,W00000024,BP000030,Retirement,Germany,EMEA,Employee,Waived,2022-06-15,,0.05,0.95
BE000000088,W00000024,BP000032,Employee Assistance Program,Germany,EMEA,Employee,Enrolled,2021-05-06,,0.0,1.0
BE000000089,W00000025,BP000060,Life Insurance,Netherlands,EMEA,Employee,Enrolled,2024-03-30,,0.0,1.0
BE000000090,W00000025,BP000064,Employee Assistance Program,Netherlands,EMEA,Employee,Enrolled,2021-10-07,,0.0,1.0
BE000000091,W00000025,BP000059,Vision,Netherlands,EMEA,Individual,Enrolled,2024-05-30,,0.2,0.8
BE000000092,W00000025,BP000063,Wellness Program,Netherlands,EMEA,Employee,Enrolled,2023-09-28,,0.0,1.0
BE000000093,W00000025,BP000057,Medical,Netherlands,EMEA,Individual,Enrolled,2022-04-09,,0.15,0.85
BE000000094,W00000025,BP000058,Dental,Netherlands,EMEA,Individual,Waived,2023-07-22,,0.2,0.8
BE000000095,W00000026,BP000009,Medical,Brazil,Americas,Individual,Enrolled,2022-09-09,,0.15,0.85
BE000000096,W00000026,BP000010,Dental,Brazil,Americas,Individual,Enrolled,2025-03-24,,0.2,0.8
BE000000097,W00000026,BP000015,Wellness Program,Brazil,Americas,Employee,Enrolled,2025-09-11,,0.0,1.0
BE000000098,W00000027,BP000038,Retirement,India,APAC,Employee,Enrolled,2024-05-11,,0.05,0.95
BE000000099,W00000027,BP000037,Disability,India,APAC,Employee,Enrolled,2022-07-05,,0.1,0.9
BE000000100,W00000027,BP000034,Dental,India,APAC,Individual,Waived,2025-08-14,,0.2,0.8
BE000000101,W00000027,BP000036,Life Insurance,India,APAC,Employee,Enrolled,2023-08-03,,0.0,1.0
BE000000102,W00000028,BP000028,Life Insurance,Germany,EMEA,Employee,Enrolled,2021-02-01,,0.0,1.0
BE000000103,W00000028,BP000027,Vision,Germany,EMEA,Individual,Enrolled,2021-04-15,,0.2,0.8
BE000000104,W00000028,BP000032,Employee Assistance Program,Germany,EMEA,Employee,Waived,2022-03-12,,0.0,1.0
BE000000105,W00000028,BP000030,Retirement,Germany,EMEA,Employee,Waived,2022-03-28,,0.05,0.95
BE000000106,W00000029,BP000037,Disability,India,APAC,Employee,Enrolled,2022-04-17,,0.1,0.9
BE000000107,W00000029,BP000035,Vision,India,APAC,Individual,Enrolled,2023-08-20,,0.2,0.8
BE000000108,W00000029,BP000033,Medical,India,APAC,Individual,Enrolled,2023-02-08,,0.15,0.85
BE000000109,W00000029,BP000034,Dental,India,APAC,Individual,Enrolled,2023-06-09,,0.2,0.8
BE000000110,W00000029,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2021-06-13,,0.0,1.0
BE000000111,W00000030,BP000099,Vision,United States,Americas,Individual,Enrolled,2022-11-18,,0.2,0.8
BE000000112,W00000030,BP000103,Wellness Program,United States,Americas,Employee,Waived,2023-05-20,,0.0,1.0
BE000000113,W00000030,BP000097,Medical,United States,Americas,Individual,Enrolled,2024-07-02,,0.15,0.85
BE000000114,W00000030,BP000101,Disability,United States,Americas,Employee,Enrolled,2023-02-25,,0.1,0.9
BE000000115,W00000031,BP000042,Dental,Japan,APAC,Individual,Waived,2022-05-25,,0.2,0.8
BE000000116,W00000031,BP000047,Wellness Program,Japan,APAC,Employee,Enrolled,2022-02-20,,0.0,1.0
BE000000117,W00000031,BP000046,Retirement,Japan,APAC,Employee,Enrolled,2024-06-08,,0.05,0.95
BE000000118,W00000031,BP000048,Employee Assistance Program,Japan,APAC,Employee,Terminated,2021-05-20,2021-09-04,0.0,1.0
BE000000119,W00000031,BP000045,Disability,Japan,APAC,Employee,Terminated,2021-12-16,2023-08-27,0.1,0.9
BE000000120,W00000032,BP000064,Employee Assistance Program,Netherlands,EMEA,Employee,Terminated,2023-01-19,2024-06-30,0.0,1.0
BE000000121,W00000032,BP000063,Wellness Program,Netherlands,EMEA,Employee,Enrolled,2022-08-22,,0.0,1.0
BE000000122,W00000032,BP000057,Medical,Netherlands,EMEA,Individual,Terminated,2025-08-21,2026-03-17,0.15,0.85
BE000000123,W00000032,BP000060,Life Insurance,Netherlands,EMEA,Employee,Enrolled,2025-10-09,,0.0,1.0
BE000000124,W00000032,BP000058,Dental,Netherlands,EMEA,Individual,Terminated,2023-06-06,2024-05-25,0.2,0.8
BE000000125,W00000033,BP000026,Dental,Germany,EMEA,Individual,Waived,2024-03-22,,0.2,0.8
BE000000126,W00000033,BP000025,Medical,Germany,EMEA,Individual,Enrolled,2025-01-18,,0.15,0.85
BE000000127,W00000033,BP000027,Vision,Germany,EMEA,Individual,Enrolled,2023-08-16,,0.2,0.8
BE000000128,W00000033,BP000029,Disability,Germany,EMEA,Employee,Enrolled,2022-09-13,,0.1,0.9
BE000000129,W00000033,BP000028,Life Insurance,Germany,EMEA,Employee,Waived,2025-12-30,,0.0,1.0
BE000000130,W00000033,BP000031,Wellness Program,Germany,EMEA,Employee,Enrolled,2023-08-21,,0.0,1.0
BE000000131,W00000035,BP000059,Vision,Netherlands,EMEA,Individual,Enrolled,2025-03-22,,0.2,0.8
BE000000132,W00000035,BP000060,Life Insurance,Netherlands,EMEA,Employee,Enrolled,2022-04-27,,0.0,1.0
BE000000133,W00000035,BP000061,Disability,Netherlands,EMEA,Employee,Enrolled,2025-05-15,,0.1,0.9
BE000000134,W00000035,BP000063,Wellness Program,Netherlands,EMEA,Employee,Terminated,2023-10-01,2024-05-09,0.0,1.0
BE000000135,W00000035,BP000062,Retirement,Netherlands,EMEA,Employee,Enrolled,2024-02-09,,0.05,0.95
BE000000136,W00000036,BP000012,Life Insurance,Brazil,Americas,Employee,Enrolled,2023-03-30,,0.0,1.0
BE000000137,W00000036,BP000014,Retirement,Brazil,Americas,Employee,Enrolled,2024-05-14,,0.05,0.95
BE000000138,W00000036,BP000010,Dental,Brazil,Americas,Individual,Enrolled,2024-05-18,,0.2,0.8
BE000000139,W00000036,BP000013,Disability,Brazil,Americas,Employee,Enrolled,2021-06-24,,0.1,0.9
BE000000140,W00000036,BP000015,Wellness Program,Brazil,Americas,Employee,Enrolled,2025-10-08,,0.0,1.0
BE000000141,W00000036,BP000009,Medical,Brazil,Americas,Individual,Waived,2023-09-02,,0.15,0.85
BE000000142,W00000037,BP000036,Life Insurance,India,APAC,Employee,Waived,2021-05-04,,0.0,1.0
BE000000143,W00000037,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2025-04-09,,0.0,1.0
BE000000144,W00000037,BP000033,Medical,India,APAC,Individual,Enrolled,2023-04-30,,0.15,0.85
BE000000145,W00000037,BP000037,Disability,India,APAC,Employee,Enrolled,2022-08-09,,0.1,0.9
BE000000146,W00000037,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2025-04-22,,0.0,1.0
BE000000147,W00000038,BP000095,Wellness Program,United Kingdom,EMEA,Employee,Waived,2025-11-30,,0.0,1.0
BE000000148,W00000038,BP000096,Employee Assistance Program,United Kingdom,EMEA,Employee,Enrolled,2023-12-16,,0.0,1.0
BE000000149,W00000038,BP000092,Life Insurance,United Kingdom,EMEA,Employee,Enrolled,2025-05-13,,0.0,1.0
BE000000150,W00000039,BP000092,Life Insurance,United Kingdom,EMEA,Employee,Enrolled,2022-02-01,,0.0,1.0
BE000000151,W00000039,BP000089,Medical,United Kingdom,EMEA,Individual,Enrolled,2022-05-12,,0.15,0.85
BE000000152,W00000039,BP000094,Retirement,United Kingdom,EMEA,Employee,Enrolled,2021-09-15,,0.05,0.95
BE000000153,W00000039,BP000093,Disability,United Kingdom,EMEA,Employee,Enrolled,2023-10-10,,0.1,0.9
BE000000154,W00000039,BP000091,Vision,United Kingdom,EMEA,Individual,Enrolled,2023-04-15,,0.2,0.8
BE000000155,W00000039,BP000096,Employee Assistance Program,United Kingdom,EMEA,Employee,Enrolled,2025-08-25,,0.0,1.0
BE000000156,W00000041,BP000086,Retirement,United Arab Emirates,EMEA,Employee,Enrolled,2021-02-26,,0.05,0.95
BE000000157,W00000041,BP000081,Medical,United Arab Emirates,EMEA,Individual,Enrolled,2024-08-01,,0.15,0.85
BE000000158,W00000041,BP000088,Employee Assistance Program,United Arab Emirates,EMEA,Employee,Enrolled,2023-09-03,,0.0,1.0
BE000000159,W00000042,BP000032,Employee Assistance Program,Germany,EMEA,Employee,Enrolled,2022-03-09,,0.0,1.0
BE000000160,W00000042,BP000028,Life Insurance,Germany,EMEA,Employee,Enrolled,2021-03-15,,0.0,1.0
BE000000161,W00000042,BP000029,Disability,Germany,EMEA,Employee,Enrolled,2024-10-25,,0.1,0.9
BE000000162,W00000042,BP000030,Retirement,Germany,EMEA,Employee,Enrolled,2022-07-30,,0.05,0.95
BE000000163,W00000042,BP000025,Medical,Germany,EMEA,Individual,Enrolled,2025-06-06,,0.15,0.85
BE000000164,W00000042,BP000031,Wellness Program,Germany,EMEA,Employee,Enrolled,2024-05-05,,0.0,1.0
BE000000165,W00000043,BP000038,Retirement,India,APAC,Employee,Terminated,2021-01-28,2023-01-09,0.05,0.95
BE000000166,W00000043,BP000033,Medical,India,APAC,Individual,Enrolled,2021-01-03,,0.15,0.85
BE000000167,W00000043,BP000036,Life Insurance,India,APAC,Employee,Enrolled,2023-04-16,,0.0,1.0
BE000000168,W00000043,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2023-10-17,,0.0,1.0
BE000000169,W00000043,BP000034,Dental,India,APAC,Individual,Enrolled,2023-02-22,,0.2,0.8
BE000000170,W00000043,BP000035,Vision,India,APAC,Individual,Enrolled,2024-07-02,,0.2,0.8
BE000000171,W00000044,BP000036,Life Insurance,India,APAC,Employee,Enrolled,2024-08-17,,0.0,1.0
BE000000172,W00000044,BP000033,Medical,India,APAC,Individual,Enrolled,2024-11-02,,0.15,0.85
BE000000173,W00000044,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2023-11-27,,0.0,1.0
BE000000174,W00000044,BP000037,Disability,India,APAC,Employee,Enrolled,2021-03-16,,0.1,0.9
BE000000175,W00000044,BP000035,Vision,India,APAC,Individual,Enrolled,2022-05-13,,0.2,0.8
BE000000176,W00000044,BP000039,Wellness Program,India,APAC,Employee,Enrolled,2022-03-09,,0.0,1.0
BE000000177,W00000045,BP000020,Life Insurance,Canada,Americas,Employee,Enrolled,2022-07-23,,0.0,1.0
BE000000178,W00000045,BP000021,Disability,Canada,Americas,Employee,Enrolled,2025-06-04,,0.1,0.9
BE000000179,W00000045,BP000019,Vision,Canada,Americas,Individual,Enrolled,2023-08-11,,0.2,0.8
BE000000180,W00000045,BP000023,Wellness Program,Canada,Americas,Employee,Enrolled,2024-07-10,,0.0,1.0
BE000000181,W00000045,BP000022,Retirement,Canada,Americas,Employee,Enrolled,2021-05-06,,0.05,0.95
BE000000182,W00000046,BP000004,Life Insurance,Australia,APAC,Employee,Enrolled,2024-12-11,,0.0,1.0
BE000000183,W00000046,BP000007,Wellness Program,Australia,APAC,Employee,Enrolled,2025-04-30,,0.0,1.0
BE000000184,W00000046,BP000003,Vision,Australia,APAC,Individual,Enrolled,2022-02-08,,0.2,0.8
BE000000185,W00000046,BP000002,Dental,Australia,APAC,Individual,Enrolled,2023-04-13,,0.2,0.8
BE000000186,W00000047,BP000097,Medical,United States,Americas,Individual,Enrolled,2021-03-15,,0.15,0.85
BE000000187,W00000047,BP000102,Retirement,United States,Americas,Employee,Enrolled,2021-04-20,,0.05,0.95
BE000000188,W00000047,BP000104,Employee Assistance Program,United States,Americas,Employee,Enrolled,2021-07-28,,0.0,1.0
BE000000189,W00000047,BP000103,Wellness Program,United States,Americas,Employee,Waived,2022-08-11,,0.0,1.0
BE000000190,W00000047,BP000101,Disability,United States,Americas,Employee,Enrolled,2022-09-15,,0.1,0.9
BE000000191,W00000047,BP000100,Life Insurance,United States,Americas,Employee,Enrolled,2025-08-05,,0.0,1.0
BE000000192,W00000048,BP000006,Retirement,Australia,APAC,Employee,Enrolled,2025-05-22,,0.05,0.95
BE000000193,W00000048,BP000002,Dental,Australia,APAC,Individual,Enrolled,2024-01-26,,0.2,0.8
BE000000194,W00000048,BP000004,Life Insurance,Australia,APAC,Employee,Waived,2024-08-29,,0.0,1.0
BE000000195,W00000048,BP000005,Disability,Australia,APAC,Employee,Enrolled,2024-03-17,,0.1,0.9
BE000000196,W00000049,BP000080,Employee Assistance Program,Spain,EMEA,Employee,Enrolled,2022-06-22,,0.0,1.0
BE000000197,W00000049,BP000078,Retirement,Spain,EMEA,Employee,Enrolled,2021-05-22,,0.05,0.95
BE000000198,W00000049,BP000073,Medical,Spain,EMEA,Individual,Waived,2021-05-14,,0.15,0.85
BE000000199,W00000050,BP000097,Medical,United States,Americas,Individual,Enrolled,2022-08-31,,0.15,0.85
BE000000200,W00000050,BP000103,Wellness Program,United States,Americas,Employee,Enrolled,2023-11-26,,0.0,1.0
BE000000201,W00000050,BP000100,Life Insurance,United States,Americas,Employee,Enrolled,2021-08-30,,0.0,1.0
BE000000202,W00000050,BP000099,Vision,United States,Americas,Individual,Enrolled,2021-02-06,,0.2,0.8
BE000000203,W00000050,BP000098,Dental,United States,Americas,Individual,Enrolled,2023-08-16,,0.2,0.8
BE000000204,W00000051,BP000037,Disability,India,APAC,Employee,Enrolled,2022-04-15,,0.1,0.9
BE000000205,W00000051,BP000033,Medical,India,APAC,Individual,Terminated,2025-10-05,2027-05-27,0.15,0.85
BE000000206,W00000051,BP000039,Wellness Program,India,APAC,Employee,Terminated,2023-10-08,2026-01-24,0.0,1.0
BE000000207,W00000051,BP000038,Retirement,India,APAC,Employee,Enrolled,2025-03-28,,0.05,0.95
BE000000208,W00000052,BP000063,Wellness Program,Netherlands,EMEA,Employee,Waived,2022-10-03,,0.0,1.0
BE000000209,W00000052,BP000064,Employee Assistance Program,Netherlands,EMEA,Employee,Terminated,2022-04-22,2023-12-11,0.0,1.0
BE000000210,W00000052,BP000057,Medical,Netherlands,EMEA,Individual,Waived,2025-08-08,,0.15,0.85
BE000000211,W00000052,BP000060,Life Insurance,Netherlands,EMEA,Employee,Enrolled,2024-05-31,,0.0,1.0
BE000000212,W00000052,BP000059,Vision,Netherlands,EMEA,Individual,Enrolled,2025-06-06,,0.2,0.8
BE000000213,W00000052,BP000062,Retirement,Netherlands,EMEA,Employee,Enrolled,2023-10-10,,0.05,0.95
BE000000214,W00000056,BP000008,Employee Assistance Program,Australia,APAC,Employee,Enrolled,2021-05-12,,0.0,1.0
BE000000215,W00000056,BP000007,Wellness Program,Australia,APAC,Employee,Enrolled,2022-05-01,,0.0,1.0
BE000000216,W00000056,BP000006,Retirement,Australia,APAC,Employee,Enrolled,2025-02-09,,0.05,0.95
BE000000217,W00000056,BP000005,Disability,Australia,APAC,Employee,Enrolled,2025-01-30,,0.1,0.9
BE000000218,W00000056,BP000004,Life Insurance,Australia,APAC,Employee,Waived,2024-08-10,,0.0,1.0
BE000000219,W00000056,BP000001,Medical,Australia,APAC,Individual,Enrolled,2021-08-12,,0.15,0.85
BE000000220,W00000057,BP000025,Medical,Germany,EMEA,Individual,Enrolled,2024-12-05,,0.15,0.85
BE000000221,W00000057,BP000027,Vision,Germany,EMEA,Individual,Waived,2025-02-02,,0.2,0.8
BE000000222,W00000057,BP000026,Dental,Germany,EMEA,Individual,Enrolled,2024-09-06,,0.2,0.8
BE000000223,W00000058,BP000043,Vision,Japan,APAC,Individual,Enrolled,2025-01-11,,0.2,0.8
BE000000224,W00000058,BP000044,Life Insurance,Japan,APAC,Employee,Enrolled,2025-04-06,,0.0,1.0
BE000000225,W00000058,BP000047,Wellness Program,Japan,APAC,Employee,Enrolled,2025-04-28,,0.0,1.0
BE000000226,W00000058,BP000046,Retirement,Japan,APAC,Employee,Enrolled,2021-12-09,,0.05,0.95
BE000000227,W00000058,BP000041,Medical,Japan,APAC,Individual,Enrolled,2023-09-01,,0.15,0.85
BE000000228,W00000058,BP000042,Dental,Japan,APAC,Individual,Enrolled,2025-04-03,,0.2,0.8
BE000000229,W00000059,BP000031,Wellness Program,Germany,EMEA,Employee,Enrolled,2021-05-26,,0.0,1.0
BE000000230,W00000059,BP000029,Disability,Germany,EMEA,Employee,Enrolled,2024-04-11,,0.1,0.9
BE000000231,W00000059,BP000026,Dental,Germany,EMEA,Individual,Enrolled,2021-08-24,,0.2,0.8
BE000000232,W00000060,BP000021,Disability,Canada,Americas,Employee,Enrolled,2025-08-01,,0.1,0.9
BE000000233,W00000060,BP000017,Medical,Canada,Americas,Individual,Terminated,2024-11-08,2026-07-23,0.15,0.85
BE000000234,W00000060,BP000019,Vision,Canada,Americas,Individual,Enrolled,2021-05-21,,0.2,0.8
BE000000235,W00000060,BP000023,Wellness Program,Canada,Americas,Employee,Waived,2023-06-26,,0.0,1.0
BE000000236,W00000060,BP000024,Employee Assistance Program,Canada,Americas,Employee,Terminated,2023-01-23,2025-06-24,0.0,1.0
BE000000237,W00000061,BP000027,Vision,Germany,EMEA,Individual,Enrolled,2024-06-10,,0.2,0.8
BE000000238,W00000061,BP000031,Wellness Program,Germany,EMEA,Employee,Enrolled,2021-12-14,,0.0,1.0
BE000000239,W00000061,BP000029,Disability,Germany,EMEA,Employee,Enrolled,2021-10-30,,0.1,0.9
BE000000240,W00000061,BP000025,Medical,Germany,EMEA,Individual,Terminated,2022-01-23,2023-04-07,0.15,0.85
BE000000241,W00000062,BP000011,Vision,Brazil,Americas,Individual,Terminated,2022-10-15,2024-07-29,0.2,0.8
BE000000242,W00000062,BP000010,Dental,Brazil,Americas,Individual,Enrolled,2025-04-01,,0.2,0.8
BE000000243,W00000062,BP000014,Retirement,Brazil,Americas,Employee,Enrolled,2025-07-28,,0.05,0.95
BE000000244,W00000062,BP000012,Life Insurance,Brazil,Americas,Employee,Enrolled,2021-09-07,,0.0,1.0
BE000000245,W00000063,BP000081,Medical,United Arab Emirates,EMEA,Individual,Enrolled,2024-04-14,,0.15,0.85
BE000000246,W00000063,BP000083,Vision,United Arab Emirates,EMEA,Individual,Enrolled,2022-03-08,,0.2,0.8
