worker_skill_id,worker_id,skill_id,proficiency_level,source,validated_flag,last_assessed_date
WS000000029,W00000008,SK00006,3,Certification,True,2026-01-16
WS000000030,W00000008,SK00008,3,Self Assessment,False,2025-05-02
WS000000031,W00000008,SK00039,1,Manager Assessment,True,2025-08-22
WS000000032,W00000008,SK00009,1,Self Assessment,False,2025-02-28
WS000000033,W00000009,SK00032,2,Manager Assessment,False,2026-04-28
WS000000034,W00000009,SK00018,3,Manager Assessment,True,2025-04-05
WS000000035,W00000009,SK00004,3,Manager Assessment,True,2026-04-22
WS000000036,W00000009,SK00002,1,Learning Completion,True,2025-04-09
WS000000037,W00000009,SK00022,4,Manager Assessment,True,2025-04-20
WS000000038,W00000010,SK00030,5,Manager Assessment,True,2025-04-09
WS000000039,W00000010,SK00018,5,Manager Assessment,True,2025-04-04
WS000000040,W00000010,SK00029,4,Learning Completion,True,2026-05-11
WS000000041,W00000010,SK00027,4,Self Assessment,False,2025-02-28
WS000000042,W00000010,SK00022,1,Manager Assessment,True,2026-04-09
WS000000043,W00000011,SK00010,3,Self Assessment,False,2025-11-16
WS000000044,W00000011,SK00014,3,Manager Assessment,True,2025-06-09
WS000000045,W00000011,SK00023,3,Manager Assessment,False,2025-03-10
WS000000046,W00000011,SK00009,3,Self Assessment,False,2025-08-27
WS000000047,W00000011,SK00004,5,Self Assessment,False,2025-09-08
WS000000048,W00000011,SK00008,1,Self Assessment,False,2025-03-23
WS000000049,W00000012,SK00031,3,Self Assessment,False,2025-11-02
WS000000050,W00000012,SK00017,5,Self Assessment,False,2025-03-14
WS000000051,W00000012,SK00026,3,Manager Assessment,True,2025-04-11
WS000000052,W00000012,SK00011,2,Manager Assessment,True,2025-12-22
WS000000053,W00000012,SK00027,4,Learning Completion,True,2025-06-09
WS000000054,W00000012,SK00016,3,Self Assessment,False,2025-11-04
WS000000055,W00000012,SK00021,5,Self Assessment,False,2025-01-07
WS000000056,W00000013,SK00010,3,Manager Assessment,True,2025-09-26
WS000000057,W00000013,SK00018,2,Self Assessment,False,2025-02-20
WS000000058,W00000013,SK00039,3,Manager Assessment,True,2025-01-02
WS000000059,W00000013,SK00019,2,Manager Assessment,False,2025-06-13
WS000000060,W00000013,SK00021,3,Certification,True,2025-01-08
WS000000061,W00000013,SK00036,5,Manager Assessment,True,2025-05-31
WS000000062,W00000013,SK00003,4,Self Assessment,False,2025-05-30
WS000000063,W00000013,SK00002,1,Self Assessment,False,2026-01-07
WS000000064,W00000014,SK00024,4,Learning Completion,False,2025-08-29
WS000000065,W00000014,SK00026,5,Learning Completion,True,2026-02-25
WS000000066,W00000014,SK00027,4,Manager Assessment,True,2026-02-24
WS000000067,W00000014,SK00028,4,Learning Completion,True,2025-09-29
WS000000068,W00000015,SK00024,4,Manager Assessment,False,2025-08-15
WS000000069,W00000015,SK00031,2,Manager Assessment,True,2025-03-11
WS000000070,W00000015,SK00018,2,Learning Completion,True,2026-02-12
WS000000071,W00000015,SK00011,4,Certification,True,2025-01-27
WS000000072,W00000015,SK00027,5,Manager Assessment,True,2025-09-27
WS000000073,W00000016,SK00010,3,Self Assessment,False,2026-01-28
WS000000074,W00000016,SK00021,2,Learning Completion,True,2026-03-21
WS000000075,W00000016,SK00028,5,Manager Assessment,True,2025-07-19
WS000000076,W00000016,SK00008,1,Self Assessment,False,2025-12-03
WS000000077,W00000017,SK00033,3,Manager Assessment,False,2025-06-26
WS000000078,W00000017,SK00026,2,Self Assessment,False,2024-12-30
WS000000079,W00000017,SK00029,2,Manager Assessment,True,2025-11-24
WS000000080,W00000017,SK00027,3,Self Assessment,False,2025-08-05
WS000000081,W00000017,SK00028,4,Self Assessment,False,2025-06-21
WS000000082,W00000017,SK00021,2,Certification,True,2025-12-08
WS000000083,W00000017,SK00019,5,Manager Assessment,True,2025-11-12
WS000000084,W00000017,SK00036,2,Manager Assessment,True,2025-09-06
WS000000085,W00000018,SK00024,3,Manager Assessment,True,2025-04-18
WS000000086,W00000018,SK00032,2,Certification,True,2026-06-13
WS000000087,W00000018,SK00026,3,Self Assessment,False,2025-05-03
WS000000088,W00000018,SK00036,4,Self Assessment,False,2025-11-19
WS000000089,W00000018,SK00003,4,Learning Completion,True,2026-05-30
WS000000090,W00000018,SK00002,4,Self Assessment,False,2026-03-31
WS000000091,W00000018,SK00025,4,Learning Completion,True,2025-09-21
WS000000092,W00000019,SK00033,2,Certification,True,2025-03-22
WS000000093,W00000019,SK00026,2,Manager Assessment,True,2025-08-06
WS000000094,W00000019,SK00029,3,Manager Assessment,True,2026-02-28
WS000000095,W00000019,SK00028,4,Manager Assessment,True,2025-01-19
WS000000096,W00000019,SK00021,4,Learning Completion,True,2025-01-05
WS000000097,W00000020,SK00024,2,Self Assessment,False,2026-05-11
WS000000098,W00000020,SK00035,2,Manager Assessment,True,2026-02-17
WS000000099,W00000020,SK00039,4,Certification,False,2025-01-26
WS000000100,W00000020,SK00015,3,Learning Completion,True,2025-03-25
WS000000101,W00000020,SK00004,2,Self Assessment,False,2026-04-16
WS000000102,W00000020,SK00036,2,Manager Assessment,True,2026-04-09
WS000000103,W00000021,SK00031,1,Certification,False,2025-08-16
WS000000104,W00000021,SK00007,4,Certification,True,2025-01-30
WS000000105,W00000021,SK00008,2,Learning Completion,True,2025-06-04
WS000000106,W00000021,SK00021,3,Manager Assessment,True,2025-08-10
WS000000107,W00000021,SK00002,2,Self Assessment,False,2026-01-11
WS000000108,W00000021,SK00009,3,Manager Assessment,True,2025-04-26
WS000000109,W00000022,SK00026,4,Manager Assessment,True,2025-04-13
WS000000110,W00000022,SK00027,2,Certification,True,2025-05-02
WS000000111,W00000022,SK00033,3,Certification,True,2026-03-13
WS000000112,W00000022,SK00013,1,Certification,True,2025-01-11
WS000000113,W00000022,SK00025,4,Learning Completion,True,2026-01-04
WS000000114,W00000023,SK00030,4,Self Assessment,False,2025-09-30
WS000000115,W00000023,SK00031,2,Manager Assessment,False,2025-10-11
WS000000116,W00000023,SK00026,2,Learning Completion,True,2026-01-22
WS000000117,W00000023,SK00035,3,Manager Assessment,True,2026-05-13
WS000000118,W00000023,SK00029,4,Manager Assessment,True,2025-10-08
WS000000119,W00000023,SK00027,3,Self Assessment,False,2025-07-13
WS000000120,W00000023,SK00033,4,Manager Assessment,True,2025-09-02
WS000000121,W00000024,SK00038,3,Self Assessment,False,2025-12-17
WS000000122,W00000024,SK00026,4,Self Assessment,False,2025-12-03
WS000000123,W00000024,SK00018,3,Self Assessment,False,2025-11-08
WS000000124,W00000024,SK00011,2,Manager Assessment,True,2025-05-01
WS000000125,W00000024,SK00027,5,Certification,True,2025-07-14
WS000000126,W00000024,SK00016,3,Manager Assessment,True,2026-06-20
WS000000127,W00000024,SK00020,5,Self Assessment,False,2025-07-16
WS000000128,W00000025,SK00018,3,Learning Completion,True,2025-05-08
WS000000129,W00000025,SK00035,4,Self Assessment,False,2025-04-14
WS000000130,W00000025,SK00027,3,Learning Completion,True,2026-03-26
WS000000131,W00000025,SK00028,5,Manager Assessment,True,2026-05-03
WS000000132,W00000025,SK00003,1,Manager Assessment,True,2025-02-22
WS000000133,W00000025,SK00009,4,Manager Assessment,False,2025-03-27
WS000000134,W00000026,SK00034,4,Self Assessment,False,2025-10-30
WS000000135,W00000026,SK00026,5,Learning Completion,True,2025-03-01
WS000000136,W00000026,SK00029,4,Self Assessment,False,2025-07-30
WS000000137,W00000026,SK00015,2,Self Assessment,False,2025-03-23
WS000000138,W00000026,SK00040,2,Manager Assessment,True,2025-01-01
WS000000139,W00000027,SK00030,5,Certification,True,2025-07-20
WS000000140,W00000027,SK00010,3,Self Assessment,False,2025-05-31
WS000000141,W00000027,SK00015,4,Learning Completion,True,2025-06-17
WS000000142,W00000027,SK00009,3,Certification,True,2025-10-21
WS000000143,W00000027,SK00019,3,Self Assessment,False,2025-11-06
WS000000144,W00000027,SK00005,5,Certification,True,2026-05-19
WS000000145,W00000027,SK00008,3,Self Assessment,False,2026-03-17
WS000000146,W00000028,SK00010,5,Learning Completion,True,2025-10-01
WS000000147,W00000028,SK00038,4,Self Assessment,False,2025-06-27
WS000000148,W00000028,SK00007,3,Self Assessment,False,2025-10-10
WS000000149,W00000028,SK00037,3,Manager Assessment,True,2026-05-17
WS000000150,W00000028,SK00005,3,Learning Completion,True,2025-11-23
WS000000151,W00000028,SK00008,4,Certification,True,2026-05-21
WS000000152,W00000029,SK00010,4,Manager Assessment,False,2024-12-31
WS000000153,W00000029,SK00006,3,Certification,True,2025-07-10
WS000000154,W00000029,SK00023,3,Self Assessment,False,2026-05-24
WS000000155,W00000029,SK00021,4,Self Assessment,False,2025-07-26
WS000000156,W00000029,SK00005,2,Manager Assessment,True,2026-05-10
WS000000157,W00000029,SK00008,5,Manager Assessment,True,2025-09-01
WS000000158,W00000030,SK00026,2,Self Assessment,False,2025-06-05
WS000000159,W00000030,SK00015,4,Self Assessment,False,2026-06-04
WS000000160,W00000030,SK00011,3,Certification,True,2026-04-27
WS000000161,W00000030,SK00027,3,Manager Assessment,True,2026-06-03
WS000000162,W00000030,SK00008,2,Certification,True,2026-02-27
WS000000163,W00000031,SK00038,3,Learning Completion,True,2025-12-05
WS000000164,W00000031,SK00026,3,Self Assessment,False,2026-04-10
WS000000165,W00000031,SK00032,4,Learning Completion,False,2025-08-31
WS000000166,W00000031,SK00027,2,Self Assessment,False,2026-02-23
WS000000167,W00000031,SK00028,4,Manager Assessment,True,2026-01-24
WS000000168,W00000031,SK00033,3,Self Assessment,False,2025-06-03
WS000000169,W00000032,SK00034,3,Certification,True,2025-06-06
WS000000170,W00000032,SK00030,4,Manager Assessment,True,2026-02-10
WS000000171,W00000032,SK00007,4,Self Assessment,False,2026-01-23
WS000000172,W00000032,SK00029,3,Learning Completion,False,2026-05-13
WS000000173,W00000032,SK00004,1,Learning Completion,True,2025-10-20
WS000000174,W00000032,SK00003,4,Learning Completion,True,2025-04-09
WS000000175,W00000032,SK00001,4,Certification,True,2025-06-18
WS000000176,W00000035,SK00024,3,Manager Assessment,True,2025-07-02
WS000000177,W00000035,SK00033,1,Manager Assessment,False,2025-09-02
WS000000178,W00000035,SK00010,3,Self Assessment,False,2025-08-24
WS000000179,W00000035,SK00023,2,Self Assessment,False,2025-09-17
WS000000180,W00000035,SK00019,4,Certification,True,2025-10-20
WS000000181,W00000035,SK00028,2,Certification,True,2025-12-18
WS000000182,W00000036,SK00031,2,Self Assessment,False,2025-10-28
WS000000183,W00000036,SK00026,4,Manager Assessment,True,2025-01-07
WS000000184,W00000036,SK00018,4,Self Assessment,False,2025-02-18
WS000000185,W00000036,SK00007,4,Learning Completion,True,2025-10-19
WS000000186,W00000036,SK00016,2,Certification,True,2025-08-11
WS000000187,W00000036,SK00037,3,Self Assessment,False,2025-05-19
WS000000188,W00000036,SK00013,4,Self Assessment,False,2025-02-08
WS000000189,W00000036,SK00025,3,Manager Assessment,True,2025-05-13
WS000000190,W00000037,SK00029,5,Self Assessment,False,2025-06-16
WS000000191,W00000037,SK00023,4,Manager Assessment,True,2025-10-28
WS000000192,W00000037,SK00028,2,Certification,True,2025-03-17
WS000000193,W00000037,SK00033,5,Manager Assessment,False,2026-02-09
WS000000194,W00000038,SK00024,3,Self Assessment,False,2026-01-14
WS000000195,W00000038,SK00030,2,Manager Assessment,True,2025-11-30
WS000000196,W00000038,SK00033,2,Learning Completion,True,2026-04-19
WS000000197,W00000038,SK00038,2,Learning Completion,True,2025-05-22
WS000000198,W00000038,SK00017,1,Manager Assessment,False,2025-04-27
WS000000199,W00000038,SK00026,4,Manager Assessment,True,2026-04-08
WS000000200,W00000038,SK00029,5,Self Assessment,False,2026-03-04
WS000000201,W00000038,SK00021,4,Self Assessment,False,2026-02-27
WS000000202,W00000039,SK00031,3,Manager Assessment,True,2026-01-05
WS000000203,W00000039,SK00023,4,Manager Assessment,True,2026-01-01
WS000000204,W00000039,SK00018,2,Manager Assessment,False,2026-04-09
WS000000205,W00000039,SK00011,2,Manager Assessment,True,2025-01-20
WS000000206,W00000040,SK00022,4,Self Assessment,False,2025-08-25
WS000000207,W00000040,SK00026,2,Manager Assessment,False,2025-01-01
WS000000208,W00000040,SK00027,5,Manager Assessment,False,2025-09-12
WS000000209,W00000040,SK00028,2,Certification,False,2025-05-13
WS000000210,W00000041,SK00010,4,Manager Assessment,True,2025-03-05
WS000000211,W00000041,SK00023,4,Self Assessment,False,2026-06-08
WS000000212,W00000041,SK00006,3,Self Assessment,False,2025-08-13
WS000000213,W00000041,SK00007,1,Learning Completion,True,2026-06-16
WS000000214,W00000042,SK00010,4,Self Assessment,False,2025-03-15
WS000000215,W00000042,SK00026,2,Learning Completion,True,2025-05-08
WS000000216,W00000042,SK00007,3,Manager Assessment,True,2025-11-27
WS000000217,W00000042,SK00028,3,Self Assessment,False,2025-10-27
WS000000218,W00000042,SK00005,3,Self Assessment,False,2025-04-10
WS000000219,W00000042,SK00009,2,Certification,True,2025-08-07
WS000000220,W00000043,SK00017,2,Self Assessment,False,2026-04-29
WS000000221,W00000043,SK00026,4,Manager Assessment,True,2025-04-07
WS000000222,W00000043,SK00007,3,Certification,True,2025-03-01
WS000000223,W00000043,SK00029,3,Self Assessment,False,2025-12-02
WS000000224,W00000043,SK00027,3,Certification,False,2026-03-08
WS000000225,W00000043,SK00028,4,Learning Completion,False,2025-11-14
WS000000226,W00000043,SK00021,3,Self Assessment,False,2025-08-04
WS000000227,W00000044,SK00024,2,Manager Assessment,True,2026-03-14
WS000000228,W00000044,SK00026,5,Learning Completion,True,2025-01-25
WS000000229,W00000044,SK00029,3,Self Assessment,False,2025-09-29
WS000000230,W00000044,SK00027,2,Manager Assessment,True,2025-12-12
WS000000231,W00000044,SK00033,2,Self Assessment,False,2025-05-25
WS000000232,W00000045,SK00034,3,Self Assessment,False,2026-01-12
WS000000233,W00000045,SK00006,2,Manager Assessment,False,2025-03-26
WS000000234,W00000045,SK00007,2,Learning Completion,True,2025-02-18
WS000000235,W00000045,SK00014,2,Certification,True,2026-05-11
WS000000236,W00000045,SK00002,3,Self Assessment,False,2025-08-07
WS000000237,W00000045,SK00005,2,Certification,True,2025-10-16
WS000000238,W00000045,SK00025,3,Certification,True,2025-11-10
WS000000239,W00000045,SK00008,3,Manager Assessment,True,2025-01-06
WS000000240,W00000046,SK00026,3,Self Assessment,False,2025-05-11
WS000000241,W00000046,SK00029,4,Self Assessment,False,2026-05-26
WS000000242,W00000046,SK00027,3,Self Assessment,False,2025-12-27
WS000000243,W00000046,SK00001,4,Manager Assessment,True,2025-01-18
WS000000244,W00000046,SK00008,1,Self Assessment,False,2025-11-15
WS000000245,W00000047,SK00010,4,Self Assessment,False,2026-01-04
WS000000246,W00000047,SK00026,4,Manager Assessment,True,2026-02-13
WS000000247,W00000047,SK00008,3,Self Assessment,False,2025-11-12
WS000000248,W00000047,SK00011,2,Certification,True,2025-03-18
WS000000249,W00000047,SK00021,2,Self Assessment,False,2026-06-05
WS000000250,W00000047,SK00002,4,Manager Assessment,True,2025-05-30
WS000000251,W00000047,SK00040,2,Manager Assessment,True,2025-06-04
WS000000252,W00000047,SK00009,3,Certification,True,2026-05-19
WS000000253,W00000048,SK00010,3,Self Assessment,False,2025-10-07
WS000000254,W00000048,SK00026,3,Self Assessment,False,2025-03-15
WS000000255,W00000048,SK00029,3,Manager Assessment,True,2025-10-19
WS000000256,W00000048,SK00027,4,Manager Assessment,False,2026-06-02
WS000000257,W00000048,SK00028,3,Self Assessment,False,2025-02-10
WS000000258,W00000048,SK00021,4,Self Assessment,False,2025-07-10
WS000000259,W00000048,SK00005,3,Manager Assessment,True,2025-03-03
WS000000260,W00000049,SK00034,2,Self Assessment,False,2026-01-15
WS000000261,W00000049,SK00007,3,Learning Completion,True,2025-02-21
WS000000262,W00000049,SK00029,3,Certification,True,2025-04-05
WS000000263,W00000049,SK00016,3,Self Assessment,False,2025-09-14
WS000000264,W00000049,SK00003,3,Certification,False,2025-06-01
WS000000265,W00000049,SK00005,3,Manager Assessment,True,2025-12-23
WS000000266,W00000049,SK00012,3,Manager Assessment,True,2025-05-11
WS000000267,W00000050,SK00034,1,Self Assessment,False,2025-11-11
WS000000268,W00000050,SK00010,2,Manager Assessment,False,2026-05-11
WS000000269,W00000050,SK00006,5,Manager Assessment,True,2025-10-28
WS000000270,W00000050,SK00007,2,Learning Completion,True,2026-06-22
WS000000271,W00000050,SK00008,2,Manager Assessment,True,2025-05-13
WS000000272,W00000050,SK00028,2,Self Assessment,False,2025-07-03
WS000000273,W00000050,SK00005,4,Learning Completion,True,2025-06-17
WS000000274,W00000050,SK00009,1,Certification,True,2025-08-30
WS000000275,W00000051,SK00024,3,Certification,True,2025-10-14
WS000000276,W00000051,SK00031,3,Certification,True,2025-06-13
WS000000277,W00000051,SK00026,4,Learning Completion,True,2025-09-12
WS000000278,W00000051,SK00018,3,Manager Assessment,True,2025-04-14
WS000000279,W00000051,SK00011,3,Certification,True,2025-03-25
WS000000280,W00000051,SK00027,2,Certification,False,2025-05-29
WS000000281,W00000051,SK00013,1,Learning Completion,False,2026-04-05
WS000000282,W00000052,SK00024,1,Self Assessment,False,2025-04-10
WS000000283,W00000052,SK00006,3,Learning Completion,True,2025-05-19
WS000000284,W00000052,SK00029,5,Manager Assessment,True,2025-05-21
WS000000285,W00000052,SK00016,3,Certification,True,2025-03-21
WS000000286,W00000052,SK00033,2,Manager Assessment,True,2026-06-23
WS000000287,W00000052,SK00025,4,Self Assessment,False,2025-08-30
WS000000288,W00000054,SK00030,3,Learning Completion,True,2026-06-10
WS000000289,W00000054,SK00040,4,Self Assessment,False,2025-10-24
WS000000290,W00000054,SK00027,3,Self Assessment,False,2025-09-02
WS000000291,W00000054,SK00033,2,Self Assessment,False,2025-03-27
WS000000292,W00000054,SK00005,3,Self Assessment,False,2026-06-21
WS000000293,W00000054,SK00008,4,Self Assessment,False,2026-06-02
WS000000294,W00000056,SK00024,3,Certification,True,2025-12-05
WS000000295,W00000056,SK00017,3,Manager Assessment,True,2025-06-27
WS000000296,W00000056,SK00008,4,Learning Completion,False,2026-05-04
WS000000297,W00000056,SK00023,4,Self Assessment,False,2025-03-04
WS000000298,W00000056,SK00016,5,Certification,True,2025-07-24
WS000000299,W00000056,SK00002,2,Manager Assessment,True,2025-11-12
WS000000300,W00000056,SK00005,5,Self Assessment,False,2026-04-28
WS000000301,W00000056,SK00009,4,Manager Assessment,True,2025-12-30
WS000000302,W00000057,SK00026,3,Self Assessment,False,2026-01-29
WS000000303,W00000057,SK00027,2,Manager Assessment,True,2026-01-10
WS000000304,W00000057,SK00028,3,Learning Completion,True,2026-03-09
WS000000305,W00000057,SK00033,3,Manager Assessment,True,2025-10-26
WS000000306,W00000058,SK00026,3,Manager Assessment,True,2025-12-26
WS000000307,W00000058,SK00029,3,Self Assessment,False,2025-02-26
WS000000308,W00000058,SK00039,3,Manager Assessment,True,2025-06-11
WS000000309,W00000058,SK00027,2,Learning Completion,True,2026-03-23
WS000000310,W00000058,SK00028,1,Manager Assessment,True,2026-01-09
WS000000311,W00000058,SK00020,5,Self Assessment,False,2025-02-01
WS000000312,W00000059,SK00034,2,Manager Assessment,False,2025-01-25
WS000000313,W00000059,SK00024,3,Certification,True,2025-04-29
WS000000314,W00000059,SK00026,2,Manager Assessment,True,2025-10-18
WS000000315,W00000059,SK00029,5,Certification,True,2025-05-17
WS000000316,W00000059,SK00028,3,Learning Completion,False,2026-03-30
WS000000317,W00000059,SK00037,4,Learning Completion,False,2025-11-22
WS000000318,W00000059,SK00005,4,Certification,True,2025-10-23
WS000000319,W00000059,SK00009,4,Learning Completion,True,2025-06-26
WS000000320,W00000060,SK00024,3,Self Assessment,False,2026-04-22
WS000000321,W00000060,SK00010,3,Learning Completion,True,2025-03-28
WS000000322,W00000060,SK00006,3,Manager Assessment,True,2026-05-04
WS000000323,W00000060,SK00002,4,Self Assessment,False,2025-03-15
WS000000324,W00000060,SK00005,2,Manager Assessment,True,2026-04-21
WS000000325,W00000060,SK00009,3,Certification,False,2025-07-04
WS000000326,W00000061,SK00010,5,Manager Assessment,True,2026-06-14
WS000000327,W00000061,SK00011,4,Learning Completion,True,2025-10-07
WS000000328,W00000061,SK00020,2,Manager Assessment,True,2026-05-28
WS000000329,W00000061,SK00005,3,Self Assessment,False,2025-06-05
WS000000330,W00000061,SK00009,3,Manager Assessment,False,2025-12-10
WS000000331,W00000062,SK00026,3,Self Assessment,False,2025-10-22
WS000000332,W00000062,SK00014,2,Self Assessment,False,2025-09-06
WS000000333,W00000062,SK00023,4,Learning Completion,True,2025-03-14
WS000000334,W00000062,SK00027,2,Certification,True,2026-04-19
WS000000335,W00000062,SK00002,3,Manager Assessment,True,2025-11-21
WS000000336,W00000062,SK00033,4,Certification,False,2025-05-12
WS000000337,W00000062,SK00037,3,Certification,True,2025-09-03
WS000000338,W00000062,SK00040,2,Self Assessment,False,2025-09-09
WS000000339,W00000063,SK00026,5,Learning Completion,True,2025-07-12
WS000000340,W00000063,SK00011,3,Certification,True,2026-05-24
WS000000341,W00000063,SK00027,3,Learning Completion,True,2026-02-05
WS000000342,W00000063,SK00016,5,Self Assessment,False,2025-08-07
WS000000343,W00000063,SK00040,1,Self Assessment,False,2025-10-14
WS000000344,W00000064,SK00024,3,Certification,True,2025-07-17
WS000000345,W00000064,SK00017,2,Self Assessment,False,2026-01-29
WS000000346,W00000064,SK00026,4,Self Assessment,False,2025-10-12
WS000000347,W00000064,SK00029,3,Learning Completion,True,2025-05-10
WS000000348,W00000064,SK00028,3,Learning Completion,True,2025-12-12
WS000000349,W00000064,SK00033,3,Self Assessment,False,2025-05-26
WS000000350,W00000064,SK00009,3,Manager Assessment,True,2025-02-14
WS000000351,W00000065,SK00034,4,Manager Assessment,True,2025-11-21
WS000000352,W00000065,SK00030,5,Manager Assessment,True,2025-11-01
WS000000353,W00000065,SK00007,3,Self Assessment,False,2026-06-04
WS000000354,W00000065,SK00009,4,Self Assessment,False,2025-11-01
WS000000355,W00000066,SK00038,5,Self Assessment,False,2025-08-20
WS000000356,W00000066,SK00026,3,Certification,True,2026-01-23
WS000000357,W00000066,SK00039,4,Manager Assessment,True,2025-04-21
WS000000358,W00000066,SK00011,3,Manager Assessment,True,2026-02-25
WS000000359,W00000066,SK00027,3,Certification,True,2026-04-26
WS000000360,W00000066,SK00020,4,Learning Completion,True,2025-05-20
WS000000361,W00000066,SK00002,3,Self Assessment,False,2026-05-03
WS000000362,W00000067,SK00017,5,Self Assessment,False,2025-10-11
WS000000363,W00000067,SK00035,2,Self Assessment,False,2025-10-30
WS000000364,W00000067,SK00029,4,Certification,True,2026-05-14
WS000000365,W00000067,SK00023,3,Manager Assessment,False,2025-10-06
WS000000366,W00000067,SK00027,3,Manager Assessment,True,2026-02-07
WS000000367,W00000067,SK00028,5,Learning Completion,True,2025-10-23
WS000000368,W00000067,SK00040,5,Manager Assessment,True,2026-03-27
WS000000369,W00000067,SK00022,4,Certification,True,2025-10-03
WS000000370,W00000068,SK00034,1,Self Assessment,False,2026-02-26
WS000000371,W00000068,SK00006,3,Manager Assessment,True,2025-05-19
WS000000372,W00000068,SK00007,3,Manager Assessment,False,2026-02-19
WS000000373,W00000068,SK00015,4,Certification,True,2025-07-22
WS000000374,W00000068,SK00016,2,Certification,True,2025-02-28
WS000000375,W00000068,SK00004,1,Learning Completion,True,2025-02-06
WS000000376,W00000068,SK00005,2,Learning Completion,False,2025-06-28
WS000000377,W00000068,SK00009,1,Learning Completion,True,2026-05-21
WS000000378,W00000069,SK00007,2,Learning Completion,True,2026-06-19
WS000000379,W00000069,SK00029,5,Self Assessment,False,2026-05-30
WS000000380,W00000069,SK00027,2,Self Assessment,False,2025-04-24
WS000000381,W00000069,SK00028,4,Manager Assessment,True,2025-07-08
WS000000382,W00000069,SK00033,2,Manager Assessment,True,2025-07-15
WS000000383,W00000070,SK00024,2,Manager Assessment,True,2025-09-10
WS000000384,W00000070,SK00004,3,Manager Assessment,True,2025-09-29
WS000000385,W00000070,SK00021,2,Learning Completion,True,2025-01-10
WS000000386,W00000070,SK00036,3,Manager Assessment,True,2025-04-30
WS000000387,W00000070,SK00003,2,Self Assessment,False,2026-05-28
WS000000388,W00000071,SK00010,4,Manager Assessment,True,2026-02-28
WS000000389,W00000071,SK00031,5,Certification,True,2025-08-10
WS000000390,W00000071,SK00007,4,Certification,True,2025-03-23
WS000000391,W00000071,SK00005,3,Self Assessment,False,2026-01-04
WS000000392,W00000071,SK00022,3,Manager Assessment,True,2026-05-31
WS000000393,W00000071,SK00008,3,Manager Assessment,True,2026-06-15
WS000000394,W00000072,SK00030,3,Manager Assessment,True,2026-04-17
WS000000395,W00000072,SK00006,2,Certification,True,2025-09-16
WS000000396,W00000072,SK00032,4,Learning Completion,True,2025-02-14
WS000000397,W00000072,SK00004,4,Self Assessment,False,2025-03-01
WS000000398,W00000072,SK00029,1,Learning Completion,False,2025-01-31
WS000000399,W00000072,SK00033,2,Manager Assessment,True,2026-03-05
WS000000400,W00000072,SK00009,4,Self Assessment,False,2026-04-03
WS000000401,W00000073,SK00010,2,Self Assessment,False,2025-08-15
WS000000402,W00000073,SK00006,4,Learning Completion,False,2026-04-18
WS000000403,W00000073,SK00035,3,Certification,True,2025-08-22
WS000000404,W00000073,SK00023,3,Manager Assessment,True,2025-04-24
WS000000405,W00000073,SK00005,3,Manager Assessment,True,2025-01-15
WS000000406,W00000073,SK00012,1,Manager Assessment,True,2026-04-01
WS000000407,W00000073,SK00008,4,Self Assessment,False,2025-02-17
WS000000408,W00000074,SK00033,5,Manager Assessment,True,2025-11-21
WS000000409,W00000074,SK00026,4,Self Assessment,False,2025-11-23
WS000000410,W00000074,SK00029,4,Manager Assessment,False,2026-06-16
WS000000411,W00000074,SK00027,2,Manager Assessment,True,2025-06-27
