job_requisition_id,requisition_title,job_profile_id,job_family,career_level,business_unit,company_id,location_id,country,region,cost_center_id,supervisory_org_id,hiring_manager_worker_id,recruiter_worker_id,requisition_status,approval_status,requisition_reason,employment_type,worker_type,target_openings,filled_openings,opened_date,closed_date,target_start_date,time_to_fill_days,primary_recruiting_source,priority,gen_ai_critical_requisition,confidential_requisition
JR00000017,Consultant - Marketing,JP000119,Marketing,Consultant,Internal Services,C025,LOC000218,India,APAC,CC001287,SO001375,W00001855,W00002889,Filled,Approved,Replacement,Regular,Employee,1,1,2022-11-18,2023-01-07,2023-04-16,50,Direct Apply,High,False,False
JR00000018,Manager - Information Technology,JP000023,Information Technology,Manager,Internal Services,C026,LOC000005,India,APAC,CC001696,SO002003,W00003321,W00003799,Filled,Approved,Internal Mobility,Intern,Intern,5,5,2021-07-01,2021-10-05,2021-08-17,96,Executive Search,High,True,False
JR00000019,Senior Consultant - Mergers and Acquisitions,JP000375,Mergers and Acquisitions,Senior Consultant,Deals,C021,LOC000516,India,APAC,CC002310,SO002261,W00002867,W00002696,Draft,Draft,Growth,Regular,Employee,2,0,2025-07-09,,2025-09-06,,Talent Community,Medium,False,False
JR00000020,Manager - Technology Consulting,JP000455,Technology Consulting,Manager,Consulting,C037,LOC000127,United States,Americas,CC002342,SO000287,W00003324,W00002919,Filled,Approved,Growth,Regular,Employee,2,2,2025-10-09,2025-12-28,2025-12-31,80,Employee Referral,High,True,False
JR00000021,Senior Consultant - Technology Consulting,JP000502,Technology Consulting,Senior Consultant,Consulting,C024,LOC000224,India,APAC,CC001534,SO001877,W00004130,W00003213,Draft,Draft,Replacement,Regular,Employee,1,0,2024-08-15,,2024-09-22,,Campus,High,True,False
JR00000022,Analyst - Marketing,JP000305,Marketing,Analyst,Internal Services,C025,LOC000396,India,APAC,CC001863,SO001375,W00002669,W00003169,Open,Approved,Backfill,Contractor,Contractor,1,0,2025-01-16,,2025-02-15,,Direct Apply,High,False,False
JR00000023,Analyst - Human Capital,JP000108,Human Capital,Analyst,Consulting,C028,LOC000034,Germany,EMEA,CC000824,SO001605,W00002160,W00003521,Filled,Approved,Campus Hiring,Regular,Employee,9,9,2025-01-02,2025-02-22,2025-04-15,51,Direct Apply,Medium,False,False
JR00000024,Analyst - Technology Consulting,JP000111,Technology Consulting,Analyst,Consulting,C027,LOC000061,United States,Americas,CC000872,SO001097,W00004435,W00000744,Filled,Approved,Replacement,Regular,Employee,1,1,2025-09-06,2025-12-19,2025-12-31,104,Agency,Critical,True,False
JR00000025,Senior Manager - Regulatory Risk,JP000143,Regulatory Risk,Senior Manager,Risk Advisory,C018,LOC000587,Germany,EMEA,CC000293,SO000252,W00004357,W00004543,Open,Approved,Replacement,Regular,Employee,1,0,2022-01-19,,2022-04-22,,Direct Apply,Critical,False,False
JR00000026,Director - Legal,JP000488,Legal,Director,Internal Services,C017,LOC000585,Australia,APAC,CC002387,SO000432,W00002181,W00004643,Open,Approved,Replacement,Regular,Employee,1,0,2021-03-16,,2021-06-05,,Employee Referral,Low,False,False
JR00000027,Executive - Marketing,JP000353,Marketing,Executive,Internal Services,C018,LOC000390,Germany,EMEA,CC001317,SO000376,W00000585,W00001288,Filled,Approved,Replacement,Regular,Employee,2,2,2024-07-10,2024-09-06,2024-11-25,58,LinkedIn,Low,False,False
JR00000028,Senior Consultant - Human Capital,JP000160,Human Capital,Senior Consultant,Consulting,C028,LOC000532,Germany,EMEA,CC000998,SO002118,W00000382,W00004794,Filled,Approved,Replacement,Regular,Employee,1,1,2023-08-26,2023-09-19,2024-01-28,24,Agency,High,False,False
JR00000029,Manager - Audit Assurance,JP000200,Audit Assurance,Manager,Audit,C020,LOC000662,United Kingdom,EMEA,CC000708,SO001651,W00001663,W00003319,Filled,Approved,Growth,Regular,Employee,1,1,2024-01-26,2024-05-20,2024-03-17,115,Executive Search,High,False,False
JR00000030,Manager - Information Technology,JP000071,Information Technology,Manager,Internal Services,C007,LOC000205,Canada,Americas,CC002449,SO001545,W00004722,W00004141,Filled,Approved,Replacement,Regular,Employee,1,1,2024-11-11,2025-02-05,2025-03-12,86,Direct Apply,Critical,True,False
JR00000031,Consultant - Technology Consulting,JP000222,Technology Consulting,Consultant,Consulting,C031,LOC000484,Netherlands,EMEA,CC000727,SO001994,W00004174,W00003601,Filled,Approved,Growth,Intern,Intern,9,9,2023-10-08,2024-01-28,2024-03-06,112,Employee Referral,Critical,True,False
JR00000032,Consultant - Regulatory Risk,JP000039,Regulatory Risk,Consultant,Risk Advisory,C039,LOC000336,United States,Americas,CC000319,SO000947,W00002492,W00000976,Open,Approved,Replacement,Regular,Employee,1,0,2024-11-24,,2025-03-22,,Direct Apply,Medium,False,False
JR00000033,Senior Consultant - Human Resources,JP000112,Human Resources,Senior Consultant,Internal Services,C020,LOC000476,United Kingdom,EMEA,CC000393,SO000174,W00001622,W00004798,Filled,Approved,Replacement,Regular,Employee,1,1,2024-04-20,2024-08-02,2024-08-25,104,Internal Mobility,Medium,False,False
JR00000034,Executive - Cyber Risk,JP000172,Cyber Risk,Executive,Risk Advisory,C008,LOC000196,Australia,APAC,CC001004,SO000275,W00004609,W00001368,Filled,Approved,Growth,Regular,Employee,1,1,2024-05-30,2024-06-25,2024-07-17,26,Campus,Medium,True,False
JR00000035,Analyst - Regulatory Risk,JP000533,Regulatory Risk,Analyst,Risk Advisory,C025,LOC000396,India,APAC,CC002304,SO001821,W00004380,W00004689,Filled,Approved,Growth,Contractor,Contractor,1,1,2025-05-06,2025-08-12,2025-07-09,98,Direct Apply,Medium,False,False
JR00000036,Consultant - Data and Analytics,JP000026,Data and Analytics,Consultant,Consulting,C013,LOC000091,United Arab Emirates,EMEA,CC001968,SO001579,W00001913,W00002934,Draft,Draft,Replacement,Regular,Employee,3,0,2025-12-06,,2025-12-31,,LinkedIn,Low,True,False
JR00000037,Senior Consultant - Technology Consulting,JP000577,Technology Consulting,Senior Consultant,Consulting,C005,LOC000330,Netherlands,EMEA,CC000368,SO001201,W00000338,W00000652,Filled,Approved,Backfill,Regular,Employee,1,1,2024-07-21,2024-09-30,2024-09-13,71,Direct Apply,Critical,True,False
JR00000038,Consultant - Finance,JP000300,Finance,Consultant,Internal Services,C037,LOC000025,United States,Americas,CC001223,SO001608,W00003197,W00004711,Open,Approved,Growth,Regular,Employee,2,1,2024-09-03,,2024-10-28,,LinkedIn,High,False,False
JR00000039,Senior Consultant - Regulatory Risk,JP000452,Regulatory Risk,Senior Consultant,Risk Advisory,C027,LOC000212,United States,Americas,CC001893,SO001895,W00002035,W00001377,Draft,Draft,Replacement,Regular,Employee,1,0,2025-02-12,,2025-08-08,,Direct Apply,Medium,False,True
JR00000040,Consultant - Cyber Risk,JP000277,Cyber Risk,Consultant,Risk Advisory,C014,LOC000194,Germany,EMEA,CC000161,SO000461,W00002062,W00001689,Filled,Approved,Replacement,Intern,Intern,12,12,2021-05-04,2021-07-03,2021-08-17,60,LinkedIn,Low,True,False
JR00000041,Senior Consultant - Audit Assurance,JP000003,Audit Assurance,Senior Consultant,Audit,C005,LOC000165,Netherlands,EMEA,CC001826,SO001515,W00000661,W00000013,Closed Without Hire,Approved,Replacement,Regular,Employee,1,0,2023-01-13,2023-06-12,2023-03-22,150,Employee Referral,Medium,False,False
JR00000042,Manager - Corporate Tax,JP000059,Corporate Tax,Manager,Tax,C006,LOC000088,Brazil,Americas,CC002474,SO000397,W00004653,W00004076,Filled,Approved,Replacement,Fixed Term,Employee,1,1,2022-03-12,2022-06-14,2022-08-30,94,LinkedIn,Medium,False,False
JR00000043,Analyst - Mergers and Acquisitions,JP000402,Mergers and Acquisitions,Analyst,Deals,C021,LOC000258,India,APAC,CC001908,SO001986,W00003657,W00004299,Filled,Approved,Backfill,Regular,Employee,1,1,2022-01-04,2022-03-23,2022-02-26,78,Direct Apply,Medium,False,False
JR00000044,Senior Consultant - Data and Analytics,JP000015,Data and Analytics,Senior Consultant,Consulting,C015,LOC000155,United Kingdom,EMEA,CC000120,SO001997,W00002704,W00002990,Open,Approved,Growth,Regular,Employee,1,0,2025-07-10,,2025-10-13,,Employee Referral,High,True,False
JR00000045,Manager - Information Technology,JP000358,Information Technology,Manager,Internal Services,C028,LOC000349,Germany,EMEA,CC002444,SO001459,W00004613,W00000410,Filled,Approved,Campus Hiring,Intern,Intern,25,25,2021-11-16,2022-02-11,2022-02-28,87,Internal Mobility,Critical,True,False
JR00000046,Consultant - Regulatory Risk,JP000215,Regulatory Risk,Consultant,Risk Advisory,C016,LOC000401,India,APAC,CC001862,SO000466,W00000325,W00001557,Open,Approved,Backfill,Regular,Employee,1,0,2023-08-03,,2023-10-26,,LinkedIn,Medium,False,False
JR00000047,Senior Manager - Technology Consulting,JP000486,Technology Consulting,Senior Manager,Consulting,C024,LOC000193,India,APAC,CC000095,SO001122,W00002651,W00001350,Filled,Approved,Replacement,Regular,Employee,1,1,2024-12-09,2025-02-25,2025-05-19,78,Employee Referral,Critical,True,False
JR00000048,Senior Manager - Finance,JP000217,Finance,Senior Manager,Internal Services,C005,LOC000129,Netherlands,EMEA,CC001389,SO002286,W00003330,W00001141,Filled,Approved,Growth,Intern,Intern,12,12,2021-06-27,2021-08-16,2021-11-10,50,Employee Referral,High,False,False
JR00000049,Manager - Cyber Risk,JP000045,Cyber Risk,Manager,Risk Advisory,C005,LOC000013,Netherlands,EMEA,CC001036,SO000990,W00000213,W00000142,Draft,Draft,Backfill,Regular,Employee,1,0,2023-02-10,,2023-05-23,,Employee Referral,Critical,True,False
JR00000050,Partner - Finance,JP000394,Finance,Partner,Internal Services,C014,LOC000075,Germany,EMEA,CC001603,SO001504,W00004778,W00002836,Open,Approved,Growth,Regular,Employee,2,0,2021-11-11,,2022-04-17,,Direct Apply,Medium,False,False
JR00000051,Analyst - Strategy Consulting,JP000431,Strategy Consulting,Analyst,Consulting,C033,LOC000637,Germany,EMEA,CC000523,SO000483,W00001061,W00003199,Open,Approved,Growth,Regular,Employee,1,0,2025-06-20,,2025-07-30,,LinkedIn,Critical,True,False
JR00000052,Senior Consultant - Technology Consulting,JP000575,Technology Consulting,Senior Consultant,Consulting,C008,LOC000638,Australia,APAC,CC002036,SO001711,W00001770,W00002202,Filled,Approved,Growth,Regular,Employee,1,1,2022-12-29,2023-02-13,2023-03-19,46,Direct Apply,Critical,True,False
JR00000053,Analyst - Data and Analytics,JP000114,Data and Analytics,Analyst,Consulting,C025,LOC000715,India,APAC,CC000090,SO001878,W00000291,W00002517,Filled,Approved,Replacement,Regular,Employee,1,1,2022-07-25,2022-09-28,2022-12-18,65,Direct Apply,Critical,True,False
JR00000054,Manager - Strategy Consulting,JP000115,Strategy Consulting,Manager,Consulting,C017,LOC000398,Australia,APAC,CC001096,SO002353,W00001877,W00000512,Filled,Approved,Growth,Regular,Employee,1,1,2021-09-19,2021-10-12,2022-03-01,23,Agency,Critical,True,False
JR00000055,Senior Consultant - Mergers and Acquisitions,JP000090,Mergers and Acquisitions,Senior Consultant,Deals,C016,LOC000640,India,APAC,CC002041,SO000138,W00001217,W00000878,Open,Pending Approval,Growth,Regular,Employee,1,0,2024-06-09,,2024-11-13,,Direct Apply,Medium,False,False
JR00000056,Consultant - Operations,JP000330,Operations,Consultant,Consulting,C009,LOC000578,Mexico,Americas,CC000262,SO000218,W00002109,W00000114,On Hold,Pending Approval,Backfill,Regular,Employee,1,0,2022-08-02,,2022-11-11,,LinkedIn,High,False,False
JR00000057,Consultant - Corporate Tax,JP000589,Corporate Tax,Consultant,Tax,C033,LOC000731,Germany,EMEA,CC000151,SO000410,W00002933,W00002361,Filled,Approved,Growth,Regular,Employee,1,1,2024-05-06,2024-07-17,2024-09-11,72,Agency,High,False,False
JR00000058,Senior Consultant - Human Resources,JP000124,Human Resources,Senior Consultant,Internal Services,C038,LOC000296,Japan,APAC,CC000722,SO001676,W00000067,W00004601,Filled,Approved,Growth,Regular,Employee,1,1,2024-03-05,2024-04-18,2024-04-23,44,Employee Referral,Medium,False,False
JR00000059,Senior Consultant - Audit Assurance,JP000072,Audit Assurance,Senior Consultant,Audit,C032,LOC000247,South Africa,EMEA,CC001624,SO000718,W00004944,W00001680,Draft,Draft,Replacement,Regular,Employee,1,0,2021-10-30,,2022-01-30,,LinkedIn,Medium,False,False
JR00000060,Senior Manager - Mergers and Acquisitions,JP000299,Mergers and Acquisitions,Senior Manager,Deals,C008,LOC000259,Australia,APAC,CC001259,SO000358,W00002665,W00001593,On Hold,Approved,Internal Mobility,Regular,Employee,1,0,2021-05-23,,2021-08-22,,Internal Mobility,Critical,False,False
JR00000061,Analyst - Marketing,JP000553,Marketing,Analyst,Internal Services,C024,LOC000116,India,APAC,CC002087,SO000509,W00001544,W00002379,Closed Without Hire,Approved,Growth,Regular,Employee,1,0,2024-11-06,2024-12-11,2025-03-13,35,Direct Apply,High,False,False
JR00000062,Senior Manager - Cyber Risk,JP000136,Cyber Risk,Senior Manager,Risk Advisory,C021,LOC000468,India,APAC,CC002498,SO000899,W00004691,W00004997,Filled,Approved,Internal Mobility,Regular,Employee,1,1,2024-11-04,2024-12-20,2025-03-22,46,Employee Referral,Critical,True,False
JR00000063,Consultant - Cyber Risk,JP000277,Cyber Risk,Consultant,Risk Advisory,C002,LOC000610,Brazil,Americas,CC001683,SO001134,W00001982,W00001765,Draft,Draft,Campus Hiring,Regular,Employee,22,0,2021-05-12,,2021-09-17,,Direct Apply,Critical,True,False
JR00000064,Analyst - Cyber Risk,JP000444,Cyber Risk,Analyst,Risk Advisory,C017,LOC000734,Australia,APAC,CC000050,SO000850,W00001219,W00001423,Canceled,Approved,Backfill,Regular,Employee,1,0,2024-07-19,2024-09-21,2024-10-15,64,Direct Apply,High,True,False
JR00000065,Senior Consultant - Strategy Consulting,JP000223,Strategy Consulting,Senior Consultant,Consulting,C039,LOC000250,United States,Americas,CC001688,SO001896,W00004129,W00002082,Canceled,Rejected,Replacement,Regular,Employee,1,0,2022-11-12,2023-01-16,2023-02-14,65,Employee Referral,Critical,True,False
JR00000066,Senior Consultant - Audit Assurance,JP000072,Audit Assurance,Senior Consultant,Audit,C009,LOC000453,Mexico,Americas,CC001588,SO000628,W00004708,W00004964,Closed Without Hire,Approved,Growth,Intern,Intern,5,0,2021-05-12,2021-07-17,2021-09-21,66,LinkedIn,High,False,False
JR00000067,Analyst - Information Technology,JP000528,Information Technology,Analyst,Internal Services,C039,LOC000725,United States,Americas,CC000155,SO002271,W00001213,W00000840,Filled,Approved,Growth,Regular,Employee,1,1,2025-08-31,2025-10-31,2025-12-31,61,Employee Referral,Medium,True,False
JR00000068,Consultant - Data and Analytics,JP000104,Data and Analytics,Consultant,Consulting,C025,LOC000319,India,APAC,CC002272,SO001027,W00002211,W00003295,On Hold,Approved,Growth,Regular,Employee,1,0,2021-02-05,,2021-04-25,,Direct Apply,Medium,True,False
JR00000069,Analyst - Operations,JP000459,Operations,Analyst,Consulting,C037,LOC000254,United States,Americas,CC000852,SO000513,W00003617,W00001586,Open,Approved,Campus Hiring,Intern,Intern,8,0,2023-02-28,,2023-08-25,,LinkedIn,Medium,False,False
JR00000070,Partner - Finance,JP000524,Finance,Partner,Internal Services,C019,LOC000488,United States,Americas,CC000772,SO001617,W00001525,W00000177,Filled,Approved,Replacement,Intern,Intern,6,6,2024-07-28,2024-08-22,2024-11-05,25,Direct Apply,High,False,False
JR00000071,Senior Consultant - Technology Consulting,JP000428,Technology Consulting,Senior Consultant,Consulting,C029,LOC000084,Australia,APAC,CC000246,SO000016,W00004853,W00003372,Closed Without Hire,Approved,Growth,Regular,Employee,1,0,2021-07-28,2021-09-18,2022-01-03,52,Direct Apply,Medium,True,False
JR00000072,Consultant - Data and Analytics,JP000249,Data and Analytics,Consultant,Consulting,C014,LOC000158,Germany,EMEA,CC002293,SO000349,W00003595,W00002890,Draft,Draft,Growth,Regular,Employee,1,0,2022-07-27,,2022-09-29,,Employee Referral,Critical,True,False
JR00000073,Analyst - Finance,JP000062,Finance,Analyst,Internal Services,C036,LOC000082,United States,Americas,CC002439,SO002121,W00000970,W00001639,Filled,Approved,Growth,Contractor,Contractor,1,1,2021-02-13,2021-04-22,2021-06-30,68,LinkedIn,Medium,False,False
JR00000074,Director - Mergers and Acquisitions,JP000586,Mergers and Acquisitions,Director,Deals,C034,LOC000462,Australia,APAC,CC000959,SO001546,W00004929,W00004409,Filled,Approved,Replacement,Regular,Employee,2,2,2025-03-11,2025-04-13,2025-06-05,33,Employee Referral,Medium,False,False
JR00000075,Consultant - Legal,JP000449,Legal,Consultant,Internal Services,C038,LOC000351,Japan,APAC,CC000140,SO001036,W00001419,W00000934,Filled,Approved,Replacement,Regular,Employee,1,1,2022-09-05,2022-11-15,2023-02-19,71,Direct Apply,High,False,False
JR00000076,Consultant - Audit Assurance,JP000487,Audit Assurance,Consultant,Audit,C014,LOC000238,Germany,EMEA,CC000485,SO001637,W00004183,W00002265,Filled,Approved,Campus Hiring,Intern,Intern,22,22,2022-03-09,2022-05-29,2022-07-12,81,Internal Mobility,Medium,False,False
JR00000077,Analyst - Corporate Tax,JP000167,Corporate Tax,Analyst,Tax,C021,LOC000040,India,APAC,CC001701,SO001191,W00000648,W00003296,Filled,Approved,Growth,Regular,Employee,1,1,2023-12-07,2024-02-23,2024-03-12,78,LinkedIn,High,False,False
JR00000078,Senior Consultant - Regulatory Risk,JP000564,Regulatory Risk,Senior Consultant,Risk Advisory,C016,LOC000311,India,APAC,CC000341,SO001887,W00001677,W00002442,Filled,Approved,Backfill,Regular,Employee,1,1,2025-10-19,2025-11-25,2025-12-02,37,Direct Apply,Low,False,False
JR00000079,Analyst - Strategy Consulting,JP000022,Strategy Consulting,Analyst,Consulting,C039,LOC000461,United States,Americas,CC000653,SO000339,W00003632,W00001630,Filled,Approved,Campus Hiring,Regular,Employee,15,15,2025-06-02,2025-06-27,2025-08-28,25,Direct Apply,Critical,True,False
JR00000080,Senior Manager - Finance,JP000217,Finance,Senior Manager,Internal Services,C026,LOC000016,India,APAC,CC001319,SO001056,W00003571,W00003217,On Hold,Approved,Replacement,Regular,Employee,1,0,2021-01-13,,2021-02-18,,Agency,High,False,False
JR00000081,Analyst - Marketing,JP000177,Marketing,Analyst,Internal Services,C012,LOC000699,United States,Americas,CC001408,SO001730,W00004352,W00000818,Filled,Approved,Replacement,Regular,Employee,1,1,2021-03-21,2021-04-13,2021-07-18,23,Agency,High,False,False
JR00000082,Manager - Operations,JP000566,Operations,Manager,Consulting,C032,LOC000332,South Africa,EMEA,CC002200,SO000718,W00002850,W00002756,Draft,Draft,Replacement,Regular,Employee,3,0,2024-10-20,,2024-11-28,,Internal Mobility,Medium,False,False
JR00000083,Consultant - Audit Assurance,JP000266,Audit Assurance,Consultant,Audit,C020,LOC000333,United Kingdom,EMEA,CC002143,SO002309,W00000606,W00001105,Closed Without Hire,Approved,Backfill,Regular,Employee,2,0,2021-02-18,2021-06-02,2021-03-30,104,Direct Apply,Medium,False,False
JR00000084,Manager - Human Capital,JP000087,Human Capital,Manager,Consulting,C031,LOC000030,Netherlands,EMEA,CC001261,SO000749,W00001487,W00000269,Filled,Approved,Backfill,Regular,Employee,3,3,2024-12-30,2025-04-26,2025-05-19,117,LinkedIn,High,False,False
JR00000085,Consultant - Mergers and Acquisitions,JP000440,Mergers and Acquisitions,Consultant,Deals,C038,LOC000209,Japan,APAC,CC001133,SO001130,W00003958,W00004338,Filled,Approved,Replacement,Contractor,Contractor,1,1,2023-08-27,2023-12-20,2024-01-25,115,Campus,Low,False,False
JR00000086,Analyst - Regulatory Risk,JP000068,Regulatory Risk,Analyst,Risk Advisory,C010,LOC000467,Spain,EMEA,CC002251,SO001041,W00002815,W00003621,Filled,Pending Approval,Campus Hiring,Intern,Intern,6,6,2022-07-15,2022-09-28,2022-09-25,75,Direct Apply,Medium,False,False
JR00000087,Senior Consultant - Operations,JP000496,Operations,Senior Consultant,Consulting,C027,LOC000584,United States,Americas,CC002315,SO002226,W00001869,W00004042,Filled,Approved,Campus Hiring,Intern,Intern,19,19,2024-11-20,2025-03-17,2025-04-20,117,Campus,Medium,False,False
JR00000088,Executive - Legal,JP000001,Legal,Executive,Internal Services,C018,LOC000587,Germany,EMEA,CC001907,SO000292,W00004773,W00002042,Filled,Approved,Replacement,Regular,Employee,1,1,2025-12-24,2025-12-31,2025-12-31,7,Direct Apply,Medium,False,False
JR00000089,Manager - Operations,JP000100,Operations,Manager,Consulting,C001,LOC000367,Mexico,Americas,CC002297,SO002024,W00003419,W00002817,Filled,Approved,Campus Hiring,Regular,Employee,18,18,2021-08-21,2021-09-12,2021-09-30,22,LinkedIn,Medium,False,False
JR00000090,Consultant - Cyber Risk,JP000123,Cyber Risk,Consultant,Risk Advisory,C026,LOC000397,India,APAC,CC000983,SO001718,W00003921,W00003500,Canceled,Rejected,Backfill,Regular,Employee,1,0,2022-10-27,2023-01-06,2023-01-04,71,LinkedIn,Critical,True,False
JR00000091,Manager - Audit Assurance,JP000200,Audit Assurance,Manager,Audit,C024,LOC000312,India,APAC,CC000274,SO002360,W00000058,W00002019,Filled,Pending Approval,Backfill,Regular,Employee,1,1,2025-11-12,2025-12-31,2025-12-31,49,LinkedIn,Medium,False,False
JR00000092,Manager - Mergers and Acquisitions,JP000083,Mergers and Acquisitions,Manager,Deals,C040,LOC000015,Netherlands,EMEA,CC001301,SO000697,W00001022,W00003528,Canceled,Approved,Growth,Regular,Employee,1,0,2021-11-09,2022-01-03,2021-12-21,55,Direct Apply,High,False,False
JR00000093,Analyst - Operations,JP000134,Operations,Analyst,Consulting,C030,LOC000098,India,APAC,CC000707,SO001305,W00003634,W00004273,Filled,Approved,Backfill,Regular,Employee,1,1,2025-07-30,2025-09-12,2025-11-19,44,Employee Referral,High,False,False
JR00000094,Analyst - Finance,JP000332,Finance,Analyst,Internal Services,C040,LOC000117,Netherlands,EMEA,CC000235,SO002319,W00003692,W00004785,Open,Approved,Backfill,Regular,Employee,1,0,2023-02-01,,2023-03-28,,LinkedIn,Medium,False,False
JR00000095,Analyst - Legal,JP000398,Legal,Analyst,Internal Services,C018,LOC000485,Germany,EMEA,CC001832,SO000225,W00002915,W00004101,Filled,Approved,Replacement,Regular,Employee,1,1,2024-03-08,2024-04-22,2024-05-27,45,Executive Search,Medium,False,False
JR00000096,Senior Manager - Corporate Tax,JP000355,Corporate Tax,Senior Manager,Tax,C038,LOC000481,Japan,APAC,CC000315,SO001875,W00000282,W00001219,Filled,Approved,Growth,Fixed Term,Employee,1,1,2023-05-18,2023-08-27,2023-06-27,101,LinkedIn,High,False,False
JR00000097,Consultant - Operations,JP000330,Operations,Consultant,Consulting,C039,LOC000531,United States,Americas,CC000537,SO000415,W00001492,W00001750,Closed Without Hire,Approved,Replacement,Regular,Employee,1,0,2023-03-24,2023-07-23,2023-07-22,121,Talent Community,Medium,False,False
