offer_id,application_id,candidate_id,job_requisition_id,offer_date,offer_status,response_date,expected_start_date,decline_reason,offered_currency,offered_base_pay_amount,offered_base_pay_frequency,sign_on_bonus_amount,bonus_target_percentage,compensation_grade_id,market_position_ratio,salary_band_min,salary_band_mid,salary_band_max,gen_ai_skill_match,gen_ai_premium_applied,gen_ai_premium_amount,avg_interview_score,avg_gen_ai_assessment_score,final_recommendation,completed_interview_count
OFF000000011,APP000000042,CAN00002586,JR00001151,2021-09-23,Accepted,2021-09-27,2021-10-08,,INR,94700,Annual,12000,0.18,CG000636,1.109,52000,79000,105000,High,True,7000,65.5,92.0,Do Not Hire,4
OFF000000012,APP000000051,CAN00012383,JR00001490,2025-08-24,Accepted,2025-08-27,2025-11-08,,BRL,86700,Annual,18000,0.12,CG000221,1.196,45000,69000,93000,Critical,True,4100,100.0,94.5,Hire,2
OFF000000013,APP000000053,CAN00001812,JR00001737,2021-02-18,Accepted,2021-02-22,2021-05-01,,USD,36700,Annual,5000,0.0,CG001747,1.146,24000,32000,39000,Medium,False,0,97.0,71.67,Hire,3
OFF000000014,APP000000060,CAN00012245,JR00001837,2023-07-21,Withdrawn,2023-08-05,,,AUD,30800,Annual,0,0.0,CG000001,1.128,20000,26000,33000,High,True,1500,71.0,78.33,Neutral,3
OFF000000015,APP000000062,CAN00018787,JR00002147,2023-06-23,Accepted,2023-07-12,2023-09-07,,AUD,27400,Annual,2500,0.0,CG000037,1.052,20000,26000,33000,Medium,False,0,59.0,74.0,Do Not Hire,1
OFF000000016,APP000000064,CAN00020762,JR00000462,2022-01-16,Accepted,2022-01-30,2022-02-19,,JPY,30700,Annual,0,0.0,CG000721,1.137,19000,25000,31000,High,True,2300,75.33,90.33,Hire,3
OFF000000017,APP000000080,CAN00002463,JR00000379,2023-10-05,Declined,2023-10-19,,Timing Conflict,USD,102000,Annual,0,0.03,CG001739,1.147,59000,79000,98000,High,True,10900,89.0,93.0,Hire,2
OFF000000018,APP000000082,CAN00001410,JR00001769,2023-08-18,Accepted,2023-09-07,2023-10-22,,EUR,231000,Annual,10000,0.18,CG000501,1.098,135000,210000,280000,Medium,False,0,78.67,69.33,Hire,3
OFF000000019,APP000000083,CAN00022151,JR00001287,2024-01-14,Accepted,2024-01-19,2024-02-21,,EUR,66300,Annual,6000,0.03,CG000479,1.15,42000,56000,70000,Critical,True,1900,79.75,95.5,Hire,4
OFF000000020,APP000000085,CAN00008262,JR00000465,2023-10-24,Accepted,2023-10-29,2023-11-26,,CAD,1231000,Annual,120000,0.5,CG000387,1.196,395000,980000,1570000,High,True,58600,97.0,88.0,Strong Hire,3
OFF000000021,APP000000103,CAN00016879,JR00001611,2024-09-22,Declined,2024-09-28,,Location Constraint,AUD,369000,Annual,0,0.25,CG000007,1.191,165000,295000,430000,High,True,17600,100.0,87.0,Hire,1
OFF000000022,APP000000111,CAN00001386,JR00001319,2024-02-26,Accepted,2024-03-07,2024-03-31,,GBP,337000,Annual,25000,0.25,CG001519,1.069,175000,315000,455000,,False,0,63.5,49.0,Neutral,2
OFF000000023,APP000000113,CAN00012764,JR00001265,2023-02-07,Accepted,2023-02-23,2023-03-25,,EUR,158000,Annual,0,0.12,CG000500,1.05,97000,150000,200000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000024,APP000000118,CAN00002485,JR00000070,2024-08-25,Accepted,2024-09-14,2024-10-19,,USD,815000,Annual,100000,0.4,CG001700,1.059,310000,770000,1235000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000025,APP000000120,CAN00001829,JR00000804,2024-08-02,Accepted,2024-08-05,2024-08-29,,AUD,1385000,Annual,60000,0.5,CG000054,1.105,465000,1160000,1860000,High,True,103000,71.25,84.75,Neutral,4
OFF000000026,APP000000123,CAN00009252,JR00000539,2023-04-19,Accepted,2023-05-10,2023-07-06,,EUR,283000,Annual,6000,0.18,CG000456,1.165,145000,225000,305000,High,True,21000,84.33,83.67,Neutral,3
OFF000000027,APP000000140,CAN00023357,JR00002415,2025-04-27,Pending,,,,GBP,357000,Annual,30000,0.25,CG001600,1.135,165000,300000,435000,High,True,17000,78.75,85.0,Hire,4
OFF000000028,APP000000151,CAN00000947,JR00001869,2024-01-17,Accepted,2024-01-21,2024-02-12,,USD,201000,Annual,0,0.12,CG001751,1.15,115000,175000,235000,Low,False,0,100.0,58.5,Strong Hire,2
OFF000000029,APP000000170,CAN00022660,JR00001837,2023-06-15,Accepted,2023-07-01,2023-08-11,,AUD,28800,Annual,0,0.0,CG000001,1.106,20000,26000,33000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000030,APP000000172,CAN00002376,JR00000029,2024-05-11,Accepted,2024-05-14,2024-06-04,,GBP,158000,Annual,10000,0.12,CG001490,1.051,99000,150000,205000,Medium,False,0,61.5,76.0,Neutral,4
OFF000000031,APP000000182,CAN00005384,JR00000345,2025-03-09,Declined,2025-03-17,,Accepted Another Offer,AUD,316000,Annual,0,0.25,CG000070,1.09,160000,290000,420000,Low,False,0,74.33,42.0,Hire,3
OFF000000032,APP000000189,CAN00007438,JR00000465,2024-05-11,Accepted,2024-05-31,2024-06-02,,CAD,1231000,Annual,120000,0.5,CG000387,1.196,395000,980000,1570000,Critical,True,58600,96.67,93.33,Hire,3
OFF000000033,APP000000200,CAN00024708,JR00002090,2022-11-01,Accepted,2022-11-20,2022-12-08,,INR,30600,Annual,0,0.05,CG000624,1.054,20000,29000,37000,Low,False,0,63.0,63.5,Neutral,2
OFF000000034,APP000000206,CAN00005152,JR00001737,2021-03-26,Accepted,2021-04-12,2021-05-09,,USD,34800,Annual,0,0.0,CG001747,1.087,24000,32000,39000,Low,False,0,73.5,54.0,Hire,2
OFF000000035,APP000000207,CAN00014853,JR00000027,2024-10-13,Accepted,2024-10-20,2025-01-03,,EUR,1194000,Annual,30000,0.5,CG000522,1.131,400000,1005000,1610000,High,True,56800,75.0,87.0,Neutral,3
OFF000000036,APP000000208,CAN00003298,JR00000941,2026-01-04,Declined,2026-01-18,,Accepted Another Offer,AUD,126000,Annual,0,0.08,CG000130,1.145,73000,105000,135000,High,True,6000,90.0,85.25,Hire,4
OFF000000037,APP000000229,CAN00003156,JR00002076,2023-04-29,Accepted,2023-05-03,2023-06-13,,INR,13900,Annual,0,0.0,CG000559,1.174,8000,11000,14000,High,True,1000,91.0,91.75,Strong Hire,4
OFF000000038,APP000000233,CAN00020487,JR00001339,2024-12-12,Accepted,2024-12-25,2025-03-02,,EUR,226000,Annual,10000,0.18,CG000438,1.101,130000,205000,275000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000039,APP000000234,CAN00000661,JR00001205,2024-07-20,Accepted,2024-07-27,2024-08-21,,AUD,430000,Annual,30000,0.25,CG000124,1.13,190000,340000,495000,High,True,46100,76.0,82.75,Neutral,4
OFF000000040,APP000000257,CAN00008599,JR00002497,2021-05-23,Accepted,2021-06-13,2021-07-04,,JPY,969000,Annual,25000,0.5,CG000792,1.126,345000,860000,1380000,Low,False,0,94.0,60.0,Strong Hire,1
OFF000000041,APP000000258,CAN00011839,JR00002150,2024-07-22,Accepted,2024-07-25,2024-09-03,,INR,327000,Annual,120000,0.4,CG000638,1.165,105000,260000,415000,High,True,24200,88.0,81.33,Hire,3
OFF000000042,APP000000266,CAN00003552,JR00002125,2025-01-08,Accepted,2025-01-22,2025-01-30,,GBP,161000,Annual,10000,0.12,CG001616,1.076,99000,150000,205000,Low,False,0,72.0,44.25,Neutral,4
OFF000000043,APP000000268,CAN00021315,JR00001019,2022-12-08,Accepted,2022-12-18,2023-01-04,,GBP,723000,Annual,50000,0.4,CG001565,1.063,270000,680000,1090000,Medium,False,0,65.33,75.0,Neutral,3
OFF000000044,APP000000269,CAN00021656,JR00000574,2023-07-03,Accepted,2023-07-17,2023-07-24,,INR,11800,Annual,6000,0.0,CG000541,1.125,8000,10000,13000,High,True,600,65.0,55.0,Neutral,0
OFF000000045,APP000000273,CAN00004734,JR00002364,2025-10-08,Accepted,2025-10-24,2025-11-08,,BRL,43900,Annual,2500,0.05,CG000174,1.097,28000,40000,52000,Medium,False,0,81.5,69.0,Hire,4
OFF000000046,APP000000280,CAN00024959,JR00001677,2025-04-01,Accepted,2025-04-18,2025-05-26,,EUR,88000,Annual,0,0.08,CG001327,1.133,52000,74000,96000,High,True,4200,71.25,85.0,Neutral,4
OFF000000047,APP000000288,CAN00007347,JR00002223,2022-08-13,Accepted,2022-08-29,2022-09-06,,BRL,60200,Annual,0,0.08,CG000139,1.135,37000,53000,69000,Medium,False,0,92.0,75.67,Hire,3
OFF000000048,APP000000292,CAN00013989,JR00002308,2024-10-27,Accepted,2024-11-13,2025-01-14,,EUR,76100,Annual,0,0.03,CG000461,1.195,44000,59000,74000,High,True,5600,97.0,83.0,Strong Hire,3
OFF000000049,APP000000293,CAN00010095,JR00000312,2023-01-03,Accepted,2023-01-13,2023-03-11,,JPY,597000,Annual,75000,0.4,CG000755,1.076,220000,555000,890000,Low,False,0,72.0,49.0,Neutral,2
OFF000000050,APP000000301,CAN00002329,JR00001980,2023-11-29,Accepted,2023-12-15,2024-02-20,,AED,201000,Annual,6000,0.18,CG001437,1.129,110000,170000,230000,Critical,True,9600,73.0,92.33,Hire,3
OFF000000051,APP000000306,CAN00022758,JR00001386,2022-01-05,Accepted,2022-01-24,2022-01-25,,AUD,27400,Annual,0,0.0,CG000001,1.053,20000,26000,33000,,False,0,59.33,47.67,Neutral,3
OFF000000052,APP000000310,CAN00020221,JR00000324,2023-05-24,Accepted,2023-05-26,2023-07-04,,INR,40000,Annual,0,0.08,CG000652,1.054,27000,38000,50000,Medium,False,0,62.0,70.33,Do Not Hire,3
OFF000000053,APP000000326,CAN00006259,JR00001301,2025-03-06,Accepted,2025-03-21,2025-04-30,,EUR,64700,Annual,5000,0.03,CG000434,1.135,43000,57000,72000,Medium,False,0,94.25,77.75,Strong Hire,4
OFF000000054,APP000000339,CAN00003958,JR00002116,2025-09-08,Accepted,2025-09-22,2025-10-06,,EUR,311000,Annual,15000,0.25,CG000511,1.09,155000,285000,415000,Low,False,0,81.0,54.0,Hire,1
OFF000000055,APP000000375,CAN00022283,JR00002310,2021-07-07,Accepted,2021-07-11,2021-09-19,,INR,43500,Annual,0,0.08,CG000652,1.145,27000,38000,50000,Low,False,0,100.0,52.67,Hire,3
OFF000000056,APP000000376,CAN00008029,JR00002430,2026-02-11,Pending,,,,EUR,158000,Annual,5000,0.12,CG000536,1.09,95000,145000,195000,Low,False,0,75.0,56.25,Neutral,4
OFF000000057,APP000000380,CAN00014304,JR00000516,2022-05-29,Accepted,2022-06-13,2022-07-08,,EUR,64200,Annual,5000,0.03,CG000992,1.036,47000,62000,78000,,False,0,53.5,52.0,Do Not Hire,2
OFF000000058,APP000000384,CAN00022245,JR00000465,2025-01-08,Accepted,2025-01-17,2025-02-16,,CAD,1124000,Annual,25000,0.5,CG000387,1.147,395000,980000,1570000,,False,0,97.5,35.5,Strong Hire,2
OFF000000059,APP000000386,CAN00013408,JR00000568,2021-08-19,Accepted,2021-09-09,2021-09-10,,INR,281000,Annual,25000,0.4,CG000620,1.148,99000,245000,395000,Low,False,0,98.5,54.5,Strong Hire,2
OFF000000060,APP000000387,CAN00012346,JR00001444,2021-07-08,Accepted,2021-07-26,2021-09-26,,INR,61100,Annual,10000,0.12,CG000572,1.11,36000,55000,75000,,False,0,84.33,41.33,Hire,3
OFF000000061,APP000000416,CAN00018017,JR00000603,2023-04-21,Pending,,,,ZAR,11500,Annual,5000,0.0,CG001189,1.15,8000,10000,13000,Low,False,0,100.0,38.0,Strong Hire,1
OFF000000062,APP000000424,CAN00004157,JR00000630,2023-04-11,Accepted,2023-04-29,2023-05-05,,EUR,119000,Annual,0,0.08,CG000472,1.099,73000,105000,135000,Critical,True,3500,70.33,92.0,Neutral,3
OFF000000063,APP000000425,CAN00021071,JR00001736,2023-06-22,Accepted,2023-07-02,2023-09-01,,ZAR,13700,Annual,6000,0.0,CG001117,1.185,8000,11000,14000,High,True,700,92.0,87.0,Strong Hire,4
OFF000000064,APP000000429,CAN00020649,JR00000334,2022-11-28,Accepted,2022-12-09,2022-12-19,,USD,43500,Annual,6000,0.0,CG001666,1.151,26000,35000,44000,Critical,True,3200,78.0,92.0,Neutral,2
OFF000000065,APP000000442,CAN00007816,JR00000158,2025-09-01,Pending,,,,INR,88900,Annual,12000,0.18,CG000654,1.16,48000,73000,99000,High,True,4200,95.67,86.0,Strong Hire,3
OFF000000066,APP000000446,CAN00017738,JR00001737,2021-02-26,Accepted,2021-03-07,2021-04-14,,USD,34200,Annual,2500,0.0,CG001747,1.069,24000,32000,39000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000067,APP000000448,CAN00018570,JR00001888,2022-02-05,Pending,,,,EUR,821000,Annual,50000,0.4,CG000530,1.081,305000,760000,1220000,Low,False,0,71.67,47.33,Hire,3
OFF000000068,APP000000451,CAN00000333,JR00000749,2026-01-27,Accepted,2026-02-09,2026-04-01,,INR,50300,Annual,6000,0.08,CG000670,1.198,28000,40000,52000,High,True,2400,98.0,87.0,Hire,2
OFF000000069,APP000000455,CAN00001642,JR00000203,2024-07-09,Accepted,2024-07-12,2024-10-07,,MXN,337000,Annual,50000,0.4,CG000836,1.021,135000,330000,530000,Low,False,0,46.0,64.0,Do Not Hire,1
OFF000000070,APP000000461,CAN00004028,JR00000804,2025-09-23,Accepted,2025-10-11,2025-10-17,,AUD,1231000,Annual,100000,0.5,CG000054,1.061,465000,1160000,1860000,Medium,False,0,66.67,75.67,Hire,3
OFF000000071,APP000000464,CAN00004012,JR00000401,2025-09-27,Accepted,2025-10-18,2025-12-10,,GBP,99000,Annual,0,0.05,CG001596,1.194,55000,79000,105000,Critical,True,4700,95.0,93.67,Hire,3
OFF000000072,APP000000474,CAN00006440,JR00000755,2022-10-11,Accepted,2022-10-21,2022-11-01,,JPY,80300,Annual,0,0.05,CG000723,1.056,53000,76000,98000,Low,False,0,66.0,40.0,Neutral,1
OFF000000073,APP000000481,CAN00013753,JR00000619,2024-03-11,Pending,,,,EUR,1109000,Annual,25000,0.5,CG001062,1.132,395000,980000,1570000,Medium,False,0,92.33,79.33,Strong Hire,3
OFF000000074,APP000000486,CAN00018758,JR00002344,2025-02-10,Accepted,2025-02-21,2025-03-14,,AUD,114000,Annual,5000,0.08,CG000103,1.15,70000,99000,130000,Low,False,0,100.0,46.67,Hire,3
OFF000000075,APP000000512,CAN00001888,JR00000316,2022-06-20,Accepted,2022-07-07,2022-09-09,,EUR,120000,Annual,5000,0.08,CG000976,1.144,72000,105000,135000,Low,False,0,95.25,46.25,Hire,4
OFF000000076,APP000000514,CAN00009900,JR00000204,2022-11-05,Accepted,2022-11-14,2022-12-25,,AUD,64800,Annual,0,0.03,CG000002,1.136,42000,57000,71000,Medium,False,0,93.0,72.67,Hire,3
OFF000000077,APP000000527,CAN00004218,JR00001517,2026-01-09,Accepted,2026-01-15,2026-03-16,,EUR,111000,Annual,0,0.08,CG000535,1.056,74000,105000,140000,Medium,False,0,62.75,76.0,Do Not Hire,4
OFF000000078,APP000000533,CAN00003449,JR00000603,2025-07-31,Accepted,2025-08-07,2025-08-24,,ZAR,11100,Annual,5000,0.0,CG001189,1.113,8000,10000,13000,Medium,False,0,95.0,75.75,Strong Hire,4
OFF000000079,APP000000535,CAN00007788,JR00000804,2024-06-06,Declined,2024-06-21,,Accepted Another Offer,AUD,1327000,Annual,0,0.5,CG000054,1.144,465000,1160000,1860000,Medium,False,0,95.5,76.5,Strong Hire,4
OFF000000080,APP000000542,CAN00018428,JR00002497,2021-05-29,Accepted,2021-06-19,2021-06-14,,JPY,960000,Annual,75000,0.5,CG000792,1.116,345000,860000,1380000,Low,False,0,88.75,46.25,Hire,4
OFF000000081,APP000000544,CAN00011304,JR00000568,2021-10-27,Accepted,2021-11-02,2022-01-25,,INR,281000,Annual,50000,0.4,CG000620,1.149,99000,245000,395000,Medium,False,0,100.0,75.33,Strong Hire,3
OFF000000082,APP000000545,CAN00004966,JR00001656,2025-04-19,Accepted,2025-04-21,2025-05-18,,EUR,311000,Annual,10000,0.25,CG000952,1.054,160000,295000,425000,,False,0,59.0,30.0,Do Not Hire,1
OFF000000083,APP000000547,CAN00007256,JR00001630,2025-09-06,Accepted,2025-09-21,2025-11-09,,USD,395000,Annual,40000,0.25,CG001690,1.127,195000,350000,510000,,False,0,92.75,53.75,Hire,4
OFF000000084,APP000000593,CAN00007876,JR00000646,2025-12-15,Accepted,2025-12-25,2026-02-27,,AUD,309000,Annual,40000,0.25,CG000034,1.046,165000,295000,430000,Medium,False,0,55.0,63.0,Do Not Hire,1
OFF000000085,APP000000594,CAN00004244,JR00001389,2025-02-18,Accepted,2025-02-24,2025-05-09,,EUR,65000,Annual,3000,0.03,CG000506,1.146,41000,54000,68000,High,True,3100,76.67,82.0,Hire,3
OFF000000086,APP000000596,CAN00004394,JR00000617,2024-10-23,Accepted,2024-11-01,2024-11-09,,EUR,216000,Annual,5000,0.18,CG000501,1.028,135000,210000,280000,Low,False,0,65.0,55.0,Neutral,0
OFF000000087,APP000000601,CAN00022001,JR00001978,2024-01-06,Accepted,2024-01-16,2024-03-04,,AUD,65500,Annual,5000,0.03,CG000092,1.129,44000,58000,73000,,False,0,92.0,56.5,Strong Hire,4
OFF000000088,APP000000604,CAN00017718,JR00001447,2025-01-31,Accepted,2025-02-05,2025-04-14,,USD,36000,Annual,2500,0.0,CG001666,1.028,26000,35000,44000,,False,0,48.0,20.0,Do Not Hire,1
OFF000000089,APP000000610,CAN00023276,JR00001327,2024-01-02,Accepted,2024-01-16,2024-02-03,,EUR,755000,Annual,90000,0.4,CG000485,1.128,260000,650000,1040000,High,True,22000,73.25,87.25,Neutral,4
OFF000000090,APP000000615,CAN00008103,JR00000568,2021-08-30,Accepted,2021-09-14,2021-10-02,,INR,266000,Annual,50000,0.4,CG000620,1.085,99000,245000,395000,Medium,False,0,73.33,76.0,Hire,3
OFF000000091,APP000000621,CAN00019712,JR00001950,2022-12-22,Accepted,2023-01-02,2023-03-16,,GBP,135000,Annual,5000,0.08,CG001507,1.079,86000,125000,160000,Medium,False,0,70.0,60.0,Neutral,1
OFF000000092,APP000000638,CAN00016975,JR00002417,2025-05-20,Accepted,2025-05-23,2025-07-26,,EUR,221000,Annual,0,0.12,CG000527,1.16,110000,170000,225000,Critical,True,23700,82.67,95.33,Hire,3
OFF000000093,APP000000643,CAN00022276,JR00002461,2025-04-07,Accepted,2025-04-18,2025-05-29,,MXN,39200,Annual,0,0.05,CG000876,1.121,25000,35000,46000,Low,False,0,89.5,51.75,Hire,4
OFF000000094,APP000000651,CAN00019964,JR00001728,2025-08-06,Declined,2025-08-21,,Accepted Another Offer,AUD,34800,Annual,0,0.0,CG000046,1.111,22000,29000,36000,High,True,2600,76.67,85.0,Hire,3
OFF000000095,APP000000652,CAN00023821,JR00000424,2025-11-06,Accepted,2025-11-25,2026-01-29,,AUD,128000,Annual,0,0.08,CG000031,1.163,73000,105000,135000,High,True,6100,86.0,80.0,Hire,1
OFF000000096,APP000000666,CAN00014895,JR00000279,2022-12-20,Declined,2023-01-09,,Accepted Another Offer,AUD,88500,Annual,0,0.05,CG000129,1.134,55000,78000,100000,,False,0,97.33,54.0,Hire,3
OFF000000097,APP000000678,CAN00012797,JR00001080,2021-08-26,Accepted,2021-08-31,2021-09-17,,INR,295000,Annual,25000,0.4,CG000665,1.018,115000,290000,465000,,False,0,44.5,41.5,Do Not Hire,2
OFF000000098,APP000000692,CAN00006334,JR00001462,2022-02-04,Accepted,2022-02-12,2022-04-02,,CAD,1260000,Annual,75000,0.5,CG000324,1.096,460000,1150000,1835000,Medium,False,0,76.5,66.5,Hire,2
OFF000000099,APP000000693,CAN00011737,JR00000642,2025-02-12,Accepted,2025-03-02,2025-05-13,,AUD,105000,Annual,2500,0.08,CG000103,1.057,70000,99000,130000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000100,APP000000696,CAN00024165,JR00001462,2022-01-21,Accepted,2022-02-08,2022-02-06,,CAD,1299000,Annual,100000,0.5,CG000324,1.129,460000,1150000,1835000,Low,False,0,90.33,55.0,Hire,3
OFF000000101,APP000000701,CAN00000076,JR00002497,2021-05-17,Accepted,2021-05-25,2021-07-30,,JPY,918000,Annual,50000,0.5,CG000792,1.068,345000,860000,1380000,Low,False,0,68.0,44.0,Neutral,1
OFF000000102,APP000000704,CAN00020088,JR00000741,2023-07-13,Accepted,2023-07-30,2023-09-28,,EUR,82700,Annual,5000,0.08,CG001327,1.118,52000,74000,96000,Low,False,0,98.33,51.33,Hire,3
OFF000000103,APP000000705,CAN00002231,JR00002032,2025-11-25,Withdrawn,2025-12-12,,,CAD,1035000,Annual,0,0.5,CG000387,1.056,395000,980000,1570000,Low,False,0,65.0,55.0,Neutral,0
OFF000000104,APP000000709,CAN00006469,JR00002181,2025-12-29,Accepted,2026-01-14,2026-02-10,,INR,58800,Annual,15000,0.12,CG000545,1.069,36000,55000,75000,,False,0,79.25,39.75,Neutral,4
OFF000000105,APP000000714,CAN00007123,JR00000683,2025-02-16,Accepted,2025-03-09,2025-03-06,,INR,504000,Annual,30000,0.5,CG000585,1.184,160000,405000,645000,High,True,24000,92.5,78.0,Hire,2
OFF000000106,APP000000733,CAN00000213,JR00001144,2024-09-29,Accepted,2024-10-16,2024-11-08,,EUR,210000,Annual,15000,0.18,CG000510,1.075,125000,195000,260000,Medium,False,0,67.0,76.0,Neutral,2
OFF000000107,APP000000743,CAN00002140,JR00000876,2021-10-22,Accepted,2021-10-31,2021-11-12,,ZAR,563000,Annual,50000,0.5,CG001134,1.148,195000,490000,785000,Medium,False,0,98.67,72.67,Hire,3
OFF000000108,APP000000744,CAN00017285,JR00002159,2025-12-07,Accepted,2025-12-18,2026-01-28,,EUR,27600,Annual,0,0.0,CG000442,1.061,20000,26000,33000,Medium,False,0,63.0,67.33,Do Not Hire,3
OFF000000109,APP000000747,CAN00017695,JR00002215,2022-06-18,Accepted,2022-06-21,2022-07-14,,EUR,1120000,Annual,25000,0.5,CG001062,1.143,395000,980000,1570000,Medium,False,0,97.33,76.67,Hire,3
OFF000000110,APP000000748,CAN00019309,JR00000474,2021-08-06,Pending,,,,GBP,34300,Annual,5000,0.0,CG001531,1.107,23000,31000,38000,Medium,False,0,84.67,70.67,Hire,3
OFF000000111,APP000000756,CAN00020884,JR00001728,2025-08-10,Accepted,2025-08-26,2025-10-25,,AUD,37000,Annual,0,0.0,CG000046,1.181,22000,29000,36000,High,True,2700,93.5,91.0,Hire,2
OFF000000112,APP000000762,CAN00005171,JR00002215,2022-04-28,Accepted,2022-05-05,2022-06-24,,EUR,1087000,Annual,50000,0.5,CG001062,1.109,395000,980000,1570000,Medium,False,0,85.25,72.25,Hire,4
OFF000000113,APP000000768,CAN00019226,JR00001900,2021-09-08,Accepted,2021-09-28,2021-09-27,,AUD,61000,Annual,2500,0.03,CG000056,1.051,44000,58000,73000,Medium,False,0,62.0,71.33,Do Not Hire,3
OFF000000114,APP000000788,CAN00013628,JR00001240,2023-12-29,Accepted,2024-01-01,2024-01-21,,INR,43800,Annual,0,0.08,CG000598,1.068,29000,41000,54000,Low,False,0,69.67,43.33,Hire,3
OFF000000115,APP000000793,CAN00003130,JR00000027,2024-08-20,Accepted,2024-09-01,2024-10-02,,EUR,1233000,Annual,60000,0.5,CG000522,1.169,400000,1005000,1610000,Critical,True,58700,99.0,92.5,Hire,2
OFF000000116,APP000000794,CAN00014112,JR00001354,2022-06-10,Pending,,,,AUD,238000,Annual,0,0.18,CG000015,1.134,130000,200000,270000,High,True,11300,74.0,83.0,Hire,2
OFF000000117,APP000000798,CAN00024813,JR00000996,2024-01-28,Accepted,2024-02-16,2024-04-07,,USD,220000,Annual,12000,0.12,CG001634,1.198,115000,175000,235000,Critical,True,10500,98.75,93.75,Hire,4
OFF000000118,APP000000801,CAN00012569,JR00000465,2022-08-07,Pending,,,,CAD,1173000,Annual,60000,0.5,CG000387,1.14,395000,980000,1570000,High,True,55900,74.33,86.33,Hire,3
OFF000000119,APP000000803,CAN00000975,JR00002368,2022-02-26,Accepted,2022-03-05,2022-04-02,,EUR,73800,Annual,6000,0.03,CG001037,1.179,43000,58000,72000,High,True,5500,92.0,88.75,Strong Hire,4
OFF000000120,APP000000806,CAN00003633,JR00000060,2022-07-02,Accepted,2022-07-14,2022-07-28,,AUD,214000,Annual,5000,0.18,CG000069,1.1,130000,195000,265000,,False,0,78.67,46.67,Neutral,3
OFF000000121,APP000000828,CAN00022790,JR00000821,2021-09-19,Pending,,,,EUR,29800,Annual,2500,0.0,CG000406,1.147,20000,26000,33000,Low,False,0,98.0,53.67,Hire,3
OFF000000122,APP000000843,CAN00007801,JR00000951,2021-10-26,Accepted,2021-11-01,2021-12-19,,GBP,164000,Annual,10000,0.12,CG001616,1.09,99000,150000,205000,Low,False,0,79.0,53.0,Hire,3
OFF000000123,APP000000849,CAN00018905,JR00001748,2023-07-06,Declined,2023-07-10,,Timing Conflict,GBP,31000,Annual,0,0.0,CG001612,1.106,21000,28000,35000,Medium,False,0,65.0,55.0,Neutral,0
