succession_candidate_id,pool_id,worker_id,readiness,risk_of_loss,potential_rating,performance_rating,succession_rank,development_need,mobility_preference,last_reviewed_date,active_candidate_flag
SC00000026,SP000006,W00001931,Ready < 1 Year,Medium,Exceptional,Exceptional,1,People Leadership,Global,2026-01-24,True
SC00000027,SP000008,W00001931,Ready < 1 Year,Medium,Exceptional,Exceptional,5,Global Mobility,Local,2025-10-23,True
SC00000028,SP000001,W00000775,Ready Now,Low,High,Solid,5,Global Mobility,Remote-first,2025-12-19,True
SC00000029,SP000009,W00000775,Ready Now,Low,High,Solid,3,Financial Acumen,Global,2025-12-23,True
SC00000030,SP000001,W00003920,Ready 1-2 Years,Medium,High,High,5,Strategic Thinking,Global,2025-10-10,True
SC00000031,SP000007,W00003920,Ready 1-2 Years,Medium,High,High,2,Global Mobility,Regional,2026-02-27,True
SC00000032,SP000005,W00003942,Ready 1-2 Years,Low,Medium,Exceptional,4,Strategic Thinking,Remote-first,2025-11-05,True
SC00000033,SP000002,W00001077,Ready < 1 Year,Medium,High,High,5,Global Mobility,Local,2026-03-24,True
SC00000034,SP000006,W00001014,Ready 1-2 Years,Low,Medium,High,5,GenAI Fluency,Local,2026-01-10,True
SC00000035,SP000002,W00004776,Ready < 1 Year,Medium,Exceptional,High,2,Financial Acumen,Remote-first,2025-12-30,True
SC00000036,SP000004,W00002758,Ready 1-2 Years,High,High,High,4,Strategic Thinking,Local,2025-12-24,True
SC00000037,SP000005,W00001911,Ready Now,Medium,High,Exceptional,5,GenAI Fluency,Regional,2026-02-16,True
SC00000038,SP000001,W00003468,Ready 1-2 Years,Low,High,Solid,5,People Leadership,Global,2026-02-10,True
SC00000039,SP000004,W00002714,Ready Now,High,High,High,4,Strategic Thinking,Global,2025-12-16,True
SC00000040,SP000001,W00002783,Ready < 1 Year,Medium,Exceptional,High,4,Strategic Thinking,Regional,2025-12-11,True
SC00000041,SP000001,W00004356,Ready 3+ Years,Medium,Medium,High,1,GenAI Fluency,Local,2025-12-12,True
SC00000042,SP000006,W00003573,Ready 1-2 Years,Medium,High,Solid,2,People Leadership,Local,2026-03-12,True
SC00000043,SP000006,W00002338,Ready 1-2 Years,Low,Medium,High,3,Financial Acumen,Local,2025-12-21,True
SC00000044,SP000001,W00001957,Ready < 1 Year,High,High,High,3,Executive Presence,Global,2025-12-25,True
SC00000045,SP000006,W00001332,Ready < 1 Year,Medium,Exceptional,Exceptional,4,Financial Acumen,Local,2026-03-05,True
SC00000046,SP000006,W00000325,Ready < 1 Year,Medium,Exceptional,High,3,People Leadership,Global,2025-11-13,True
SC00000047,SP000002,W00003548,Ready 1-2 Years,Medium,High,Solid,2,People Leadership,Remote-first,2025-12-09,True
SC00000048,SP000006,W00004899,Ready < 1 Year,Medium,Medium,High,5,GenAI Fluency,Local,2026-02-27,True
SC00000049,SP000001,W00003225,Ready 3+ Years,Medium,Medium,High,2,GenAI Fluency,Local,2026-01-05,True
SC00000050,SP000005,W00004252,Ready Now,Medium,High,High,5,Financial Acumen,Local,2026-03-12,True
SC00000051,SP000003,W00000397,Ready < 1 Year,Medium,Medium,High,1,Executive Presence,Local,2025-11-15,True
SC00000052,SP000006,W00004852,Ready < 1 Year,Medium,High,High,1,Strategic Thinking,Remote-first,2025-12-31,True
SC00000053,SP000002,W00001299,Ready < 1 Year,Medium,High,High,1,Global Mobility,Local,2026-02-24,True
SC00000054,SP000006,W00004106,Ready Now,Low,Medium,High,5,GenAI Fluency,Local,2025-10-30,True
SC00000055,SP000008,W00004106,Ready Now,Low,Medium,High,2,Global Mobility,Local,2025-10-01,True
SC00000056,SP000002,W00002526,Ready 1-2 Years,Medium,Medium,Exceptional,3,Financial Acumen,Local,2025-12-23,True
SC00000057,SP000002,W00002622,Ready < 1 Year,Medium,Medium,High,3,Global Mobility,Global,2025-10-17,True
SC00000058,SP000001,W00003811,Ready 3+ Years,Low,Medium,High,1,People Leadership,Local,2026-02-20,True
SC00000059,SP000001,W00001545,Ready < 1 Year,Medium,High,Solid,1,Global Mobility,Global,2025-11-11,True
SC00000060,SP000001,W00002682,Ready < 1 Year,Medium,High,High,3,GenAI Fluency,Remote-first,2026-01-01,True
SC00000061,SP000009,W00002682,Ready < 1 Year,Medium,High,High,4,Financial Acumen,Global,2026-01-04,True
SC00000062,SP000002,W00004541,Ready 1-2 Years,Medium,Medium,High,1,Executive Presence,Remote-first,2026-01-01,True
SC00000063,SP000009,W00004541,Ready 1-2 Years,Medium,Medium,High,3,Executive Presence,Remote-first,2026-03-03,True
SC00000064,SP000005,W00000450,Ready 3+ Years,Medium,Medium,High,1,Executive Presence,Global,2025-10-09,True
SC00000065,SP000001,W00001877,Ready 1-2 Years,Low,Medium,High,2,Executive Presence,Local,2025-11-17,True
SC00000066,SP000006,W00004263,Ready < 1 Year,Medium,Exceptional,High,2,People Leadership,Local,2026-02-16,True
SC00000067,SP000007,W00004263,Ready < 1 Year,Medium,Exceptional,High,4,GenAI Fluency,Remote-first,2026-01-07,True
SC00000068,SP000001,W00004032,Ready 3+ Years,Low,High,Solid,2,People Leadership,Remote-first,2026-02-12,True
SC00000069,SP000004,W00000373,Ready Now,Low,Medium,High,5,Global Mobility,Global,2025-12-04,True
SC00000070,SP000002,W00000120,Ready Now,High,Exceptional,High,4,Financial Acumen,Regional,2025-10-12,True
SC00000071,SP000002,W00000578,Ready 1-2 Years,High,High,High,1,Financial Acumen,Local,2026-02-11,True
SC00000072,SP000002,W00003653,Ready 1-2 Years,Low,Medium,Solid,2,GenAI Fluency,Local,2025-12-20,True
SC00000073,SP000007,W00003653,Ready 1-2 Years,Low,Medium,Solid,1,Financial Acumen,Regional,2025-11-21,True
SC00000074,SP000002,W00000125,Ready 1-2 Years,Low,Medium,High,3,GenAI Fluency,Local,2026-02-01,True
SC00000075,SP000006,W00002476,Ready < 1 Year,Medium,High,Exceptional,5,Executive Presence,Local,2025-12-24,True
SC00000076,SP000005,W00004385,Ready < 1 Year,Medium,Medium,High,5,Global Mobility,Regional,2025-12-22,True
SC00000077,SP000001,W00004416,Ready < 1 Year,Medium,High,High,5,Global Mobility,Local,2026-01-27,True
SC00000078,SP000004,W00003941,Ready 1-2 Years,Medium,Exceptional,Solid,2,People Leadership,Regional,2026-02-16,True
SC00000079,SP000008,W00003941,Ready 1-2 Years,Medium,Exceptional,Solid,2,People Leadership,Local,2026-01-15,True
SC00000080,SP000003,W00003882,Ready < 1 Year,Medium,High,Exceptional,1,Financial Acumen,Regional,2025-12-09,True
SC00000081,SP000001,W00000559,Ready < 1 Year,Medium,Exceptional,High,5,Strategic Thinking,Global,2026-03-20,True
SC00000082,SP000001,W00000742,Ready < 1 Year,Low,Medium,High,3,Global Mobility,Regional,2025-12-15,True
SC00000083,SP000001,W00001884,Ready < 1 Year,Medium,Medium,High,5,Executive Presence,Regional,2026-01-27,True
SC00000084,SP000007,W00001884,Ready < 1 Year,Medium,Medium,High,3,Strategic Thinking,Regional,2025-10-07,True
SC00000085,SP000006,W00002164,Ready 1-2 Years,Medium,High,High,5,Executive Presence,Local,2025-10-22,True
SC00000086,SP000008,W00002164,Ready 1-2 Years,Medium,High,High,2,Strategic Thinking,Local,2026-01-05,True
SC00000087,SP000004,W00004329,Ready 1-2 Years,Medium,High,Solid,2,Strategic Thinking,Regional,2025-11-30,True
SC00000088,SP000007,W00004329,Ready 1-2 Years,Medium,High,Solid,2,People Leadership,Local,2026-03-21,True
SC00000089,SP000006,W00003072,Ready < 1 Year,Medium,Exceptional,High,3,Financial Acumen,Regional,2026-01-08,True
SC00000090,SP000007,W00003072,Ready < 1 Year,Medium,Exceptional,High,5,People Leadership,Local,2026-03-27,True
SC00000091,SP000005,W00001337,Ready < 1 Year,Low,High,Solid,4,People Leadership,Local,2026-03-19,True
SC00000092,SP000005,W00002089,Ready 3+ Years,Low,Medium,High,5,Strategic Thinking,Local,2026-03-26,True
SC00000093,SP000006,W00000497,Ready 3+ Years,Medium,High,Solid,5,Global Mobility,Regional,2025-10-28,True
SC00000094,SP000001,W00002744,Ready < 1 Year,Medium,High,Solid,4,GenAI Fluency,Remote-first,2025-11-14,True
SC00000095,SP000005,W00000836,Ready < 1 Year,Medium,Medium,High,1,Financial Acumen,Local,2025-10-02,True
SC00000096,SP000002,W00004003,Ready 3+ Years,Low,Low,Exceptional,2,GenAI Fluency,Regional,2025-12-26,True
SC00000097,SP000009,W00004003,Ready 3+ Years,Low,Low,Exceptional,2,Financial Acumen,Local,2026-01-17,True
SC00000098,SP000002,W00003961,Ready 1-2 Years,Low,High,Solid,3,GenAI Fluency,Local,2025-12-25,True
SC00000099,SP000002,W00004729,Ready < 1 Year,Medium,Exceptional,High,1,Executive Presence,Local,2026-03-29,True
SC00000100,SP000006,W00002285,Ready < 1 Year,Medium,High,High,4,People Leadership,Local,2026-01-07,True
SC00000101,SP000009,W00002285,Ready < 1 Year,Medium,High,High,4,Financial Acumen,Local,2026-03-09,True
SC00000102,SP000001,W00000369,Ready 3+ Years,Low,Medium,Exceptional,4,Financial Acumen,Local,2026-02-03,True
SC00000103,SP000009,W00000369,Ready 3+ Years,Low,Medium,Exceptional,1,Strategic Thinking,Remote-first,2025-11-15,True
SC00000104,SP000006,W00004794,Ready 1-2 Years,High,High,High,4,GenAI Fluency,Local,2026-01-16,True
SC00000105,SP000006,W00003598,Ready < 1 Year,Medium,High,High,3,Executive Presence,Local,2026-01-13,True
SC00000106,SP000002,W00001861,Ready Now,Low,High,Solid,3,Strategic Thinking,Regional,2026-03-19,True
SC00000107,SP000003,W00003567,Ready < 1 Year,High,High,High,5,Strategic Thinking,Remote-first,2026-02-08,True
SC00000108,SP000002,W00003577,Ready 3+ Years,Medium,High,Solid,4,GenAI Fluency,Local,2026-01-19,True
SC00000109,SP000003,W00004138,Ready 3+ Years,High,Medium,Exceptional,5,Executive Presence,Regional,2026-01-19,True
SC00000110,SP000007,W00004138,Ready 3+ Years,High,Medium,Exceptional,4,Executive Presence,Regional,2025-11-26,True
SC00000111,SP000006,W00001794,Ready < 1 Year,Medium,High,High,3,Executive Presence,Remote-first,2025-11-08,True
SC00000112,SP000002,W00000804,Ready Now,Medium,High,High,1,People Leadership,Global,2025-11-14,True
SC00000113,SP000003,W00002568,Ready 3+ Years,Low,Medium,Exceptional,1,Financial Acumen,Local,2025-10-21,True
SC00000114,SP000001,W00000550,Ready 3+ Years,Medium,Medium,High,4,People Leadership,Global,2026-02-16,True
SC00000115,SP000002,W00000732,Ready < 1 Year,High,Exceptional,High,2,Strategic Thinking,Local,2025-10-17,True
SC00000116,SP000002,W00004555,Ready 1-2 Years,Low,Low,High,2,Financial Acumen,Regional,2025-12-26,True
SC00000117,SP000003,W00001645,Ready 3+ Years,Medium,High,Solid,5,Global Mobility,Regional,2026-01-25,True
SC00000118,SP000007,W00001645,Ready 3+ Years,Medium,High,Solid,2,People Leadership,Local,2025-10-12,True
SC00000119,SP000004,W00004767,Ready 1-2 Years,Medium,Exceptional,Exceptional,2,GenAI Fluency,Local,2026-01-21,True
SC00000120,SP000006,W00003366,Ready Now,High,High,High,1,Strategic Thinking,Global,2026-03-18,True
SC00000121,SP000002,W00003304,Ready 3+ Years,Low,Low,High,3,Strategic Thinking,Regional,2025-12-23,True
SC00000122,SP000001,W00004194,Ready < 1 Year,Low,Low,High,5,People Leadership,Regional,2025-10-18,True
SC00000123,SP000006,W00004284,Ready < 1 Year,Medium,High,Exceptional,4,People Leadership,Local,2026-01-21,True
SC00000124,SP000004,W00002757,Ready Now,Medium,High,High,2,GenAI Fluency,Local,2025-12-20,True
SC00000125,SP000004,W00003885,Ready < 1 Year,Medium,Exceptional,High,5,Global Mobility,Local,2025-12-14,True
SC00000126,SP000005,W00000071,Ready 3+ Years,Low,Medium,High,4,Financial Acumen,Global,2026-03-25,True
SC00000127,SP000005,W00004633,Ready 1-2 Years,High,Exceptional,High,4,Financial Acumen,Regional,2025-12-01,True
SC00000128,SP000005,W00002504,Ready < 1 Year,Low,Medium,High,4,Strategic Thinking,Global,2025-10-21,True
SC00000129,SP000002,W00003085,Ready 1-2 Years,Low,Medium,Exceptional,4,Global Mobility,Regional,2025-11-07,True
SC00000130,SP000003,W00002140,Ready < 1 Year,Medium,Exceptional,Exceptional,3,Strategic Thinking,Remote-first,2026-03-16,True
SC00000131,SP000002,W00003091,Ready Now,Medium,Medium,High,5,Strategic Thinking,Local,2025-10-16,True
SC00000132,SP000001,W00002400,Ready Now,Medium,Exceptional,High,2,Strategic Thinking,Remote-first,2026-02-06,True
SC00000133,SP000007,W00002400,Ready Now,Medium,Exceptional,High,4,Executive Presence,Local,2026-02-01,True
SC00000134,SP000001,W00001367,Ready 1-2 Years,Low,Medium,Exceptional,4,Strategic Thinking,Local,2025-11-24,True
SC00000135,SP000001,W00003891,Ready 3+ Years,Medium,Medium,High,4,People Leadership,Local,2026-01-24,True
SC00000136,SP000003,W00004146,Ready 1-2 Years,Low,High,Solid,4,Financial Acumen,Local,2025-10-30,True
SC00000137,SP000001,W00001600,Ready 3+ Years,Medium,Low,High,2,GenAI Fluency,Regional,2025-11-05,True
SC00000138,SP000004,W00004505,Ready 3+ Years,Low,High,Solid,1,Executive Presence,Remote-first,2025-12-17,True
SC00000139,SP000002,W00002717,Ready < 1 Year,High,High,Exceptional,3,GenAI Fluency,Global,2026-01-11,True
SC00000140,SP000007,W00002717,Ready < 1 Year,High,High,Exceptional,1,Executive Presence,Local,2025-12-08,True
SC00000141,SP000001,W00004430,Ready 3+ Years,Low,Medium,High,1,Strategic Thinking,Regional,2026-02-28,True
SC00000142,SP000001,W00000460,Ready 3+ Years,Low,High,Solid,4,Strategic Thinking,Local,2025-11-03,True
SC00000143,SP000002,W00002987,Ready 1-2 Years,Medium,High,High,3,People Leadership,Local,2025-11-03,True
SC00000144,SP000001,W00003101,Ready < 1 Year,Medium,High,Exceptional,3,Strategic Thinking,Remote-first,2025-10-22,True
SC00000145,SP000007,W00003101,Ready < 1 Year,Medium,High,Exceptional,5,Executive Presence,Regional,2026-02-08,True
SC00000146,SP000005,W00000936,Ready Now,Medium,High,High,3,Executive Presence,Regional,2025-11-24,True
SC00000147,SP000009,W00000936,Ready Now,Medium,High,High,5,Strategic Thinking,Remote-first,2026-02-07,True
SC00000148,SP000006,W00002429,Ready 3+ Years,Medium,Medium,High,4,People Leadership,Local,2025-10-07,True
SC00000149,SP000009,W00002429,Ready 3+ Years,Medium,Medium,High,3,GenAI Fluency,Regional,2025-11-16,True
SC00000150,SP000001,W00004656,Ready 1-2 Years,Medium,Exceptional,High,5,GenAI Fluency,Remote-first,2025-10-27,True
SC00000151,SP000007,W00004656,Ready 1-2 Years,Medium,Exceptional,High,1,Strategic Thinking,Local,2025-11-05,True
SC00000152,SP000003,W00000338,Ready < 1 Year,Medium,High,High,3,GenAI Fluency,Regional,2025-12-10,True
SC00000153,SP000002,W00002259,Ready 1-2 Years,Medium,High,High,3,GenAI Fluency,Remote-first,2026-02-25,True
SC00000154,SP000007,W00002259,Ready 1-2 Years,Medium,High,High,5,Financial Acumen,Regional,2026-03-18,True
SC00000155,SP000002,W00000606,Ready < 1 Year,Low,Medium,High,5,Executive Presence,Local,2025-11-01,True
SC00000156,SP000007,W00000606,Ready < 1 Year,Low,Medium,High,4,Global Mobility,Local,2026-01-16,True
SC00000157,SP000002,W00004822,Ready 1-2 Years,Medium,Exceptional,Exceptional,4,GenAI Fluency,Local,2025-11-21,True
SC00000158,SP000002,W00003478,Ready Now,Medium,High,Solid,2,Strategic Thinking,Local,2026-02-04,True
SC00000159,SP000002,W00003192,Ready 3+ Years,Low,Medium,High,5,Strategic Thinking,Regional,2026-01-26,True
SC00000160,SP000004,W00002632,Ready < 1 Year,High,Exceptional,High,2,Executive Presence,Local,2025-10-03,True
SC00000161,SP000008,W00002632,Ready < 1 Year,High,Exceptional,High,1,Strategic Thinking,Local,2025-11-21,True
SC00000162,SP000003,W00002938,Ready Now,Medium,Exceptional,Exceptional,2,GenAI Fluency,Local,2026-03-17,True
SC00000163,SP000002,W00004021,Ready Now,Medium,High,High,1,Strategic Thinking,Remote-first,2026-02-23,True
SC00000164,SP000001,W00004718,Ready Now,Medium,Exceptional,Exceptional,3,People Leadership,Regional,2025-11-19,True
SC00000165,SP000001,W00002505,Ready 1-2 Years,Medium,Medium,Exceptional,1,GenAI Fluency,Regional,2025-11-26,True
SC00000166,SP000006,W00002889,Ready < 1 Year,Medium,Medium,High,2,Executive Presence,Regional,2026-03-02,True
SC00000167,SP000007,W00002889,Ready < 1 Year,Medium,Medium,High,2,People Leadership,Global,2025-11-04,True
SC00000168,SP000001,W00003586,Ready Now,Medium,High,Exceptional,2,Financial Acumen,Regional,2026-02-03,True
SC00000169,SP000009,W00003586,Ready Now,Medium,High,Exceptional,4,Financial Acumen,Regional,2026-02-27,True
SC00000170,SP000002,W00003591,Ready 3+ Years,Medium,High,Solid,3,Financial Acumen,Local,2026-01-29,True
SC00000171,SP000001,W00001729,Ready < 1 Year,Low,High,Solid,5,Financial Acumen,Regional,2025-10-25,True
SC00000172,SP000007,W00001729,Ready < 1 Year,Low,High,Solid,3,Executive Presence,Local,2025-12-18,True
SC00000173,SP000002,W00003481,Ready Now,Medium,High,Exceptional,4,Strategic Thinking,Remote-first,2025-12-28,True
SC00000174,SP000002,W00004122,Ready < 1 Year,High,High,High,4,Executive Presence,Remote-first,2025-10-05,True
SC00000175,SP000006,W00001551,Ready < 1 Year,Medium,High,High,2,Executive Presence,Local,2026-02-08,True
SC00000176,SP000004,W00003690,Ready 3+ Years,Medium,Medium,Exceptional,2,Executive Presence,Remote-first,2026-02-24,True
SC00000177,SP000007,W00003690,Ready 3+ Years,Medium,Medium,Exceptional,5,GenAI Fluency,Local,2026-01-21,True
SC00000178,SP000001,W00002418,Ready < 1 Year,High,Exceptional,High,1,Executive Presence,Local,2025-10-16,True
SC00000179,SP000001,W00002985,Ready Now,Medium,High,High,1,Executive Presence,Regional,2026-02-23,True
SC00000180,SP000002,W00001598,Ready 3+ Years,Medium,High,Solid,5,Global Mobility,Local,2026-01-01,True
SC00000181,SP000005,W00003793,Ready 1-2 Years,Low,High,Solid,5,Executive Presence,Local,2025-11-14,True
SC00000182,SP000001,W00001556,Ready < 1 Year,Low,Medium,High,2,GenAI Fluency,Regional,2025-11-23,True
SC00000183,SP000001,W00004355,Ready 1-2 Years,Low,Medium,High,2,Strategic Thinking,Regional,2025-10-19,True
SC00000184,SP000003,W00004593,Ready < 1 Year,Medium,High,Exceptional,4,Global Mobility,Local,2026-02-18,True
SC00000185,SP000002,W00002983,Ready < 1 Year,Medium,High,High,1,Strategic Thinking,Regional,2025-11-24,True
SC00000186,SP000007,W00002983,Ready < 1 Year,Medium,High,High,2,Global Mobility,Global,2025-12-27,True
SC00000187,SP000001,W00002463,Ready 1-2 Years,High,High,High,4,Strategic Thinking,Regional,2026-01-15,True
SC00000188,SP000002,W00003158,Ready Now,Medium,Exceptional,High,2,Strategic Thinking,Local,2026-01-26,True
SC00000189,SP000004,W00002194,Ready 1-2 Years,Low,Medium,High,3,Global Mobility,Local,2026-03-05,True
SC00000190,SP000006,W00000159,Ready 1-2 Years,Low,High,Solid,3,Financial Acumen,Regional,2026-03-16,True
SC00000191,SP000006,W00001712,Ready < 1 Year,Medium,High,High,5,People Leadership,Regional,2026-03-17,True
SC00000192,SP000002,W00002045,Ready < 1 Year,Medium,Exceptional,High,2,Global Mobility,Regional,2026-03-21,True
SC00000193,SP000001,W00004831,Ready < 1 Year,High,High,High,2,Global Mobility,Local,2025-11-14,True
SC00000194,SP000007,W00004831,Ready < 1 Year,High,High,High,4,Global Mobility,Local,2025-10-14,True
SC00000195,SP000004,W00000363,Ready 3+ Years,Medium,Medium,High,4,Financial Acumen,Regional,2026-03-01,True
SC00000196,SP000004,W00000227,Ready 3+ Years,Low,Medium,Solid,5,People Leadership,Local,2026-01-02,True
SC00000197,SP000004,W00002909,Ready 3+ Years,Medium,High,Solid,5,Executive Presence,Regional,2026-01-06,True
SC00000198,SP000008,W00002909,Ready 3+ Years,Medium,High,Solid,1,Financial Acumen,Regional,2025-11-12,True
SC00000199,SP000005,W00001986,Ready 1-2 Years,High,High,High,2,Global Mobility,Local,2025-11-19,True
SC00000200,SP000009,W00001986,Ready 1-2 Years,High,High,High,4,People Leadership,Regional,2025-10-29,True
SC00000201,SP000002,W00002115,Ready < 1 Year,Medium,High,Exceptional,1,People Leadership,Regional,2026-02-27,True
SC00000202,SP000003,W00003905,Ready < 1 Year,Low,High,Solid,3,GenAI Fluency,Regional,2025-10-14,True
SC00000203,SP000001,W00004867,Ready < 1 Year,Medium,Exceptional,High,2,Financial Acumen,Local,2026-01-17,True
SC00000204,SP000001,W00000900,Ready Now,Medium,Exceptional,Exceptional,1,Global Mobility,Local,2025-10-04,True
SC00000205,SP000007,W00000900,Ready Now,Medium,Exceptional,Exceptional,4,Strategic Thinking,Global,2025-11-29,True
SC00000206,SP000006,W00003391,Ready Now,Medium,High,Solid,4,Executive Presence,Remote-first,2025-10-07,True
SC00000207,SP000006,W00003330,Ready < 1 Year,High,High,High,4,Executive Presence,Global,2025-10-04,True
SC00000208,SP000002,W00004923,Ready 3+ Years,Medium,High,Low,3,People Leadership,Global,2025-11-22,True
SC00000209,SP000002,W00002725,Ready Now,Medium,Exceptional,Exceptional,4,People Leadership,Remote-first,2025-11-26,True
SC00000210,SP000003,W00001422,Ready Now,Medium,Exceptional,High,3,People Leadership,Regional,2025-12-14,True
SC00000211,SP000002,W00001111,Ready Now,Medium,High,Solid,3,Strategic Thinking,Regional,2026-03-19,True
SC00000212,SP000002,W00003450,Ready 1-2 Years,Medium,Exceptional,High,3,Global Mobility,Global,2026-01-11,True
SC00000213,SP000006,W00000575,Ready 3+ Years,Low,Medium,High,4,GenAI Fluency,Regional,2025-11-07,True
SC00000214,SP000006,W00002926,Ready < 1 Year,Medium,High,Solid,3,Financial Acumen,Local,2026-01-13,True
SC00000215,SP000008,W00002926,Ready < 1 Year,Medium,High,Solid,5,GenAI Fluency,Local,2026-02-16,True
SC00000216,SP000006,W00004700,Ready 1-2 Years,Medium,Medium,High,5,People Leadership,Regional,2025-10-01,True
SC00000217,SP000001,W00004290,Ready 1-2 Years,Low,High,Solid,4,People Leadership,Global,2026-02-25,True
SC00000218,SP000004,W00003020,Ready < 1 Year,Medium,Low,Exceptional,2,Executive Presence,Remote-first,2026-03-29,True
SC00000219,SP000002,W00004889,Ready < 1 Year,High,Exceptional,High,5,Global Mobility,Regional,2025-11-01,True
SC00000220,SP000006,W00002597,Ready 1-2 Years,Low,Medium,High,4,Global Mobility,Local,2025-10-20,True
SC00000221,SP000002,W00001432,Ready 3+ Years,Low,High,Solid,3,Global Mobility,Global,2025-10-28,True
SC00000222,SP000002,W00004688,Ready 1-2 Years,Medium,High,Solid,1,People Leadership,Local,2026-01-23,True
SC00000223,SP000008,W00004688,Ready 1-2 Years,Medium,High,Solid,4,Financial Acumen,Regional,2025-11-11,True
SC00000224,SP000002,W00000478,Ready 3+ Years,Medium,High,Solid,1,GenAI Fluency,Remote-first,2026-01-08,True
SC00000225,SP000001,W00002306,Ready < 1 Year,Medium,High,High,2,People Leadership,Remote-first,2025-12-27,True
SC00000226,SP000006,W00004842,Ready Now,Low,Low,High,1,Financial Acumen,Local,2026-01-09,True
SC00000227,SP000001,W00002588,Ready 3+ Years,Medium,Medium,High,3,Global Mobility,Remote-first,2025-12-30,True
SC00000228,SP000002,W00004959,Ready Now,Medium,Low,Exceptional,4,Financial Acumen,Remote-first,2025-12-31,True
SC00000229,SP000002,W00002808,Ready Now,Medium,High,High,1,GenAI Fluency,Regional,2026-03-06,True
SC00000230,SP000001,W00004710,Ready < 1 Year,Low,Medium,High,5,Global Mobility,Local,2025-10-26,True
SC00000231,SP000005,W00004997,Ready 3+ Years,Medium,High,Solid,3,Executive Presence,Local,2026-02-27,True
SC00000232,SP000005,W00001380,Ready < 1 Year,Medium,High,High,4,GenAI Fluency,Regional,2026-01-16,True
SC00000233,SP000009,W00001380,Ready < 1 Year,Medium,High,High,4,Global Mobility,Local,2026-02-23,True
SC00000234,SP000004,W00004888,Ready 1-2 Years,High,Medium,Exceptional,3,People Leadership,Local,2026-02-24,True
SC00000235,SP000002,W00001438,Ready < 1 Year,Low,Medium,High,3,Global Mobility,Remote-first,2026-02-13,True
SC00000236,SP000009,W00001438,Ready < 1 Year,Low,Medium,High,5,Strategic Thinking,Local,2025-12-19,True
SC00000237,SP000001,W00003979,Ready < 1 Year,Medium,High,High,1,People Leadership,Local,2026-03-20,True
SC00000238,SP000003,W00000999,Ready 1-2 Years,High,Exceptional,High,1,Strategic Thinking,Global,2025-11-11,True
