talent_review_id,worker_id,performance_review_id,review_year,performance_category,potential_category,nine_box_position,promotion_readiness,succession_candidate,ready_now_successor,critical_role,retention_risk,flight_risk,promotion_count_to_date,promotion_velocity,recent_manager_changes,compa_ratio,gen_ai_impact_level,gen_ai_role_category,gen_ai_premium_applied,completed_learning_count,gen_ai_learning_count,certifications_earned,learning_hours_completed,completed_pdp_count,active_pdp_count,ai_focused_pdp_count
TR00000035,W00000010,PR00000038,2025,Low,Exceptional,Inconsistent Potential,Ready in 2 Years,False,False,False,Low,Low,1,Slow,0,1.162,Medium,AI-Augmented Professional,False,3,0,1,25.17,0,4,0
TR00000036,W00000012,PR00000040,2021,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,False,Low,Low,0,None,1,0.892,Medium,AI-Augmented Professional,True,1,0,0,2.88,0,0,0
TR00000037,W00000012,PR00000041,2022,Solid,Medium,Core Contributor,Ready in 1 Year,False,False,False,Low,Low,0,None,3,0.892,Medium,AI-Augmented Professional,True,2,0,0,5.88,0,1,0
TR00000038,W00000012,PR00000042,2023,Low,High,Inconsistent Potential,Ready in 3+ Years,False,False,False,Medium,Medium,0,None,3,0.892,Medium,AI-Augmented Professional,True,2,0,0,5.88,0,2,0
TR00000039,W00000012,PR00000043,2024,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,0,None,2,0.892,Medium,AI-Augmented Professional,True,2,0,0,5.88,0,2,0
TR00000040,W00000012,PR00000044,2025,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,0,None,2,0.892,Medium,AI-Augmented Professional,True,4,1,0,14.46,1,2,0
TR00000041,W00000013,PR00000045,2021,Solid,Exceptional,Emerging Talent,Ready in 2 Years,False,False,True,Medium,High,1,Slow,1,0.984,High,AI Product / Transformation,True,1,1,0,5.64,1,0,0
TR00000042,W00000013,PR00000046,2022,Solid,High,Emerging Talent,Ready in 1 Year,True,False,True,Medium,High,1,Slow,1,0.984,High,AI Product / Transformation,True,3,1,0,14.34,1,0,0
TR00000043,W00000013,PR00000047,2023,Solid,High,Emerging Talent,Ready in 2 Years,False,False,True,Medium,High,1,Slow,1,0.984,High,AI Product / Transformation,True,3,1,0,14.34,2,0,0
TR00000044,W00000013,PR00000048,2024,Solid,Low,Solid Contributor,Ready in 3+ Years,False,False,True,Low,Low,1,Slow,1,0.984,High,AI Product / Transformation,True,5,2,0,25.68,2,0,0
TR00000045,W00000013,PR00000049,2025,Solid,High,Emerging Talent,Ready in 2 Years,False,False,True,Medium,High,1,Slow,0,0.984,High,AI Product / Transformation,True,6,3,0,31.68,2,1,0
TR00000046,W00000014,PR00000050,2022,High,Exceptional,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,0,None,0,0.955,Medium,AI-Augmented Professional,False,1,0,1,13.65,0,1,0
TR00000047,W00000014,PR00000051,2023,High,High,Top Talent,Ready Now,True,True,True,Medium,Medium,0,None,0,0.955,Medium,AI-Augmented Professional,False,2,0,2,32.45,0,2,0
TR00000048,W00000014,PR00000052,2024,High,High,Top Talent,Ready Now,True,True,True,Medium,Medium,1,Moderate,3,0.955,Medium,AI-Augmented Professional,False,4,0,2,41.67,0,2,0
TR00000049,W00000014,PR00000053,2025,Exceptional,High,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,1,Moderate,3,0.955,Medium,AI-Augmented Professional,False,4,0,2,41.67,0,2,0
TR00000050,W00000015,PR00000054,2021,Solid,Medium,Core Contributor,Ready in 1 Year,False,False,False,Low,Low,0,None,0,1.3,Low,AI User,False,1,0,1,18.4,1,0,0
TR00000051,W00000015,PR00000055,2022,Solid,High,Emerging Talent,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.3,Low,AI User,False,1,0,1,18.4,2,0,0
TR00000052,W00000015,PR00000056,2023,High,Exceptional,Top Talent,Ready Now,True,True,True,Medium,Medium,0,None,0,1.3,Low,AI User,False,2,0,1,24.16,2,1,0
TR00000053,W00000015,PR00000057,2024,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.3,Low,AI User,False,3,0,1,26.16,3,1,0
TR00000054,W00000015,PR00000058,2025,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.3,Low,AI User,False,3,0,1,26.16,3,1,0
TR00000055,W00000016,PR00000059,2021,High,High,Top Talent,Ready in 2 Years,True,False,True,Medium,Medium,0,None,1,0.966,Medium,AI-Augmented Professional,False,1,0,0,1.98,0,1,0
TR00000056,W00000016,PR00000060,2022,Low,Medium,Performance Risk,Ready in 2 Years,False,False,False,Low,Low,0,None,1,0.966,Medium,AI-Augmented Professional,False,1,0,0,1.98,0,1,0
TR00000057,W00000016,PR00000061,2023,High,High,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,0,None,1,0.966,Medium,AI-Augmented Professional,False,3,2,1,19.32,1,1,0
TR00000058,W00000016,PR00000062,2024,Low,Medium,Performance Risk,Ready in 2 Years,False,False,False,Low,Low,0,None,1,0.966,Medium,AI-Augmented Professional,False,4,2,1,25.26,1,2,0
TR00000059,W00000016,PR00000063,2025,Solid,High,Emerging Talent,Ready in 1 Year,True,False,False,Low,Low,0,None,1,0.966,Medium,AI-Augmented Professional,False,5,2,1,28.26,2,2,0
TR00000060,W00000017,PR00000064,2021,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,1,Fast,0,0.933,Medium,AI-Augmented Professional,False,1,0,0,5.46,0,0,0
TR00000061,W00000017,PR00000065,2022,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,1,Moderate,0,0.933,Medium,AI-Augmented Professional,False,2,0,1,24.06,0,1,0
TR00000062,W00000017,PR00000066,2023,Low,Low,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,1,Moderate,0,0.933,Medium,AI-Augmented Professional,False,3,1,1,29.88,1,1,0
TR00000063,W00000017,PR00000067,2024,Low,Low,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,1,Moderate,0,0.933,Medium,AI-Augmented Professional,False,4,1,1,35.76,1,1,0
TR00000064,W00000017,PR00000068,2025,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,False,Low,Low,1,Slow,0,0.933,Medium,AI-Augmented Professional,False,4,1,1,35.76,1,2,0
TR00000065,W00000018,PR00000070,2022,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,True,Medium,High,0,None,2,0.851,High,AI Product / Transformation,False,0,0,0,0.0,1,0,1
TR00000066,W00000018,PR00000071,2023,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,True,High,High,0,None,2,0.851,High,AI Product / Transformation,False,3,3,1,22.86,2,0,1
TR00000067,W00000018,PR00000072,2024,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,True,Medium,High,0,None,0,0.851,High,AI Product / Transformation,False,5,3,1,47.74,2,0,1
TR00000068,W00000018,PR00000073,2025,High,Medium,High Professional,Ready in 1 Year,True,False,True,Medium,High,0,None,0,0.851,High,AI Product / Transformation,False,5,3,1,47.74,2,1,1
TR00000069,W00000019,PR00000074,2021,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,False,Low,Low,1,Slow,0,1.078,Medium,AI-Augmented Professional,True,0,0,0,0.0,0,0,0
TR00000070,W00000019,PR00000075,2022,High,Exceptional,Top Talent,Ready in 2 Years,True,False,True,Medium,Medium,2,Slow,0,1.078,Medium,AI-Augmented Professional,True,0,0,0,0.0,0,1,0
TR00000071,W00000019,PR00000076,2023,Solid,Exceptional,Emerging Talent,Ready in 2 Years,False,False,False,Low,Low,3,Slow,0,1.078,Medium,AI-Augmented Professional,True,2,0,0,9.6,1,1,0
TR00000072,W00000019,PR00000077,2024,Low,Exceptional,Inconsistent Potential,Ready in 3+ Years,False,False,False,Low,Low,4,Moderate,0,1.078,Medium,AI-Augmented Professional,True,4,0,0,19.8,2,1,0
TR00000073,W00000020,PR00000079,2025,Solid,High,Emerging Talent,Ready Now,True,True,True,Medium,High,2,Fast,0,1.082,High,AI Product / Transformation,False,4,2,1,22.89,0,1,0
TR00000074,W00000021,PR00000080,2021,Solid,Medium,Core Contributor,Ready in 1 Year,False,False,False,Low,Low,0,None,0,0.948,Medium,AI-Augmented Professional,False,1,0,1,14.4,1,0,0
TR00000075,W00000021,PR00000081,2022,Solid,Exceptional,Emerging Talent,Ready in 2 Years,False,False,False,Low,Low,0,None,0,0.948,Medium,AI-Augmented Professional,False,2,0,1,17.4,1,0,0
TR00000076,W00000021,PR00000082,2023,High,Exceptional,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,0,None,1,0.948,Medium,AI-Augmented Professional,False,3,0,1,23.28,2,0,0
TR00000077,W00000021,PR00000083,2024,Low,Medium,Performance Risk,Ready in 2 Years,False,False,False,Low,Low,0,None,1,0.948,Medium,AI-Augmented Professional,False,4,0,1,26.16,2,0,0
TR00000078,W00000021,PR00000084,2025,Exceptional,High,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,1,Slow,0,0.948,Medium,AI-Augmented Professional,False,4,0,1,26.16,3,0,0
TR00000079,W00000022,PR00000085,2021,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,False,Medium,High,1,Slow,2,0.871,Medium,AI-Augmented Professional,False,1,0,0,3.68,0,1,0
TR00000080,W00000022,PR00000086,2022,Exceptional,Exceptional,Top Talent,Ready in 2 Years,True,False,True,High,High,1,Slow,2,0.871,Medium,AI-Augmented Professional,False,3,0,0,14.63,0,2,0
TR00000081,W00000022,PR00000087,2023,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,1,Slow,0,0.871,Medium,AI-Augmented Professional,False,4,0,0,16.45,0,2,0
TR00000082,W00000022,PR00000088,2024,Exceptional,High,Top Talent,Ready in 1 Year,True,False,True,Medium,High,1,Slow,0,0.871,Medium,AI-Augmented Professional,False,4,0,0,16.45,1,2,0
TR00000083,W00000022,PR00000089,2025,Exceptional,Exceptional,Top Talent,Ready in 1 Year,True,False,True,Medium,High,1,Slow,0,0.871,Medium,AI-Augmented Professional,False,6,0,0,25.77,2,2,0
TR00000084,W00000023,PR00000090,2023,Solid,Exceptional,Emerging Talent,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,0.943,Medium,AI-Augmented Professional,False,2,0,0,5.76,1,0,1
TR00000085,W00000023,PR00000091,2024,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,2,Fast,0,0.943,Medium,AI-Augmented Professional,False,3,0,0,10.36,1,1,1
TR00000086,W00000023,PR00000092,2025,Low,High,Inconsistent Potential,Ready in 3+ Years,False,False,False,Low,Low,2,Fast,1,0.943,Medium,AI-Augmented Professional,False,3,0,0,10.36,1,2,1
TR00000087,W00000024,PR00000093,2023,Exceptional,Medium,High Professional,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.061,Low,AI User,False,4,1,1,18.45,0,0,0
TR00000088,W00000024,PR00000094,2024,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.061,Low,AI User,False,5,1,1,20.41,0,1,0
TR00000089,W00000024,PR00000095,2025,Solid,Medium,Core Contributor,Ready in 1 Year,False,False,False,Low,Low,0,None,1,1.061,Low,AI User,False,7,1,1,30.01,1,1,0
TR00000090,W00000025,PR00000096,2023,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,False,Low,Low,1,Fast,2,0.8,Low,AI User,False,1,1,0,5.52,0,0,0
TR00000091,W00000025,PR00000098,2025,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,2,Fast,0,0.8,Low,AI User,False,1,1,0,5.52,0,0,0
TR00000092,W00000026,PR00000099,2025,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,False,Low,Low,0,None,1,0.909,Medium,AI-Augmented Professional,False,4,0,0,13.27,0,1,0
TR00000093,W00000027,PR00000100,2022,Low,Low,Performance Risk,Ready in 3+ Years,False,False,True,Low,Low,0,None,0,1.291,Critical,AI Builder,False,2,0,0,16.98,1,0,0
TR00000094,W00000027,PR00000101,2023,Exceptional,Medium,High Professional,Ready in 1 Year,True,False,True,Medium,Medium,1,Fast,2,1.291,Critical,AI Builder,False,3,0,0,21.58,2,0,0
TR00000095,W00000027,PR00000102,2024,Solid,Exceptional,Emerging Talent,Ready Now,True,True,True,Medium,High,1,Moderate,2,1.291,Critical,AI Builder,False,5,1,0,34.18,2,1,0
TR00000096,W00000027,PR00000103,2025,High,High,Top Talent,Ready in 1 Year,True,False,True,Medium,High,1,Moderate,0,1.291,Critical,AI Builder,False,5,1,0,34.18,2,1,0
TR00000097,W00000028,PR00000104,2022,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,True,Low,Low,0,None,0,0.927,Critical,AI Builder,False,0,0,0,0.0,0,0,0
TR00000098,W00000028,PR00000105,2023,Solid,Exceptional,Emerging Talent,Ready in 2 Years,False,False,True,Medium,High,0,None,0,0.927,Critical,AI Builder,False,0,0,0,0.0,0,0,0
TR00000099,W00000028,PR00000106,2024,High,Medium,High Professional,Ready in 3+ Years,False,False,True,Medium,Medium,1,Moderate,2,0.927,Critical,AI Builder,False,0,0,0,0.0,0,1,0
TR00000100,W00000028,PR00000107,2025,High,Exceptional,Top Talent,Ready Now,True,True,True,High,High,2,Moderate,3,0.927,Critical,AI Builder,False,1,0,0,5.58,1,1,0
TR00000101,W00000029,PR00000109,2022,High,Medium,High Professional,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.026,Low,AI User,False,3,2,0,13.02,0,0,0
TR00000102,W00000029,PR00000110,2023,Solid,High,Emerging Talent,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.026,Low,AI User,False,4,2,0,16.66,0,0,0
TR00000103,W00000029,PR00000111,2024,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.026,Low,AI User,False,5,3,0,22.42,1,0,0
TR00000104,W00000029,PR00000112,2025,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.026,Low,AI User,False,6,3,0,26.97,1,1,0
TR00000105,W00000030,PR00000113,2021,Solid,Exceptional,Emerging Talent,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,0.933,Medium,AI-Augmented Professional,True,3,1,1,29.74,0,0,0
TR00000106,W00000030,PR00000114,2022,Low,High,Inconsistent Potential,Ready in 3+ Years,False,False,False,Low,Low,0,None,1,0.933,Medium,AI-Augmented Professional,True,3,1,1,29.74,0,0,0
TR00000107,W00000030,PR00000115,2023,Solid,Exceptional,Emerging Talent,Ready in 3+ Years,False,False,False,Medium,Medium,0,None,2,0.933,Medium,AI-Augmented Professional,True,4,1,1,32.65,0,1,0
TR00000108,W00000030,PR00000117,2025,High,Low,Expert Contributor,Ready in 2 Years,False,False,False,Low,Low,0,None,0,0.933,Medium,AI-Augmented Professional,True,6,2,1,47.17,1,1,0
TR00000109,W00000031,PR00000118,2021,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,True,Medium,High,0,None,0,0.884,High,AI Risk / Compliance,False,1,0,0,3.92,0,0,0
TR00000110,W00000031,PR00000119,2022,Solid,High,Emerging Talent,Ready Now,True,True,True,Medium,High,0,None,0,0.884,High,AI Risk / Compliance,False,2,0,0,8.82,1,0,0
TR00000111,W00000031,PR00000120,2023,Solid,Medium,Core Contributor,Ready Now,False,False,True,Medium,High,0,None,0,0.884,High,AI Risk / Compliance,False,4,1,0,18.6,1,1,0
TR00000112,W00000031,PR00000121,2024,High,Low,Expert Contributor,Ready in 1 Year,False,False,True,Medium,High,0,None,0,0.884,High,AI Risk / Compliance,False,4,1,0,18.6,1,1,0
TR00000113,W00000031,PR00000122,2025,High,Medium,High Professional,Ready in 3+ Years,False,False,True,Medium,High,0,None,1,0.884,High,AI Risk / Compliance,False,4,1,0,18.6,1,1,0
TR00000114,W00000032,PR00000123,2025,Low,Medium,Performance Risk,Ready in 2 Years,False,False,True,Low,Low,3,Fast,0,0.93,High,AI Builder,False,1,0,0,2.88,0,1,0
TR00000115,W00000033,PR00000125,2022,High,Medium,High Professional,Ready in 2 Years,False,False,False,Low,Low,2,Fast,0,0.929,Medium,AI-Augmented Professional,False,0,0,0,0.0,0,0,0
TR00000116,W00000033,PR00000126,2023,High,Low,Expert Contributor,Ready in 3+ Years,False,False,False,Low,Low,2,Fast,1,0.929,Medium,AI-Augmented Professional,False,1,1,1,9.8,1,0,0
TR00000117,W00000033,PR00000127,2024,Exceptional,Medium,High Professional,Ready in 2 Years,False,False,False,Low,Low,3,Fast,1,0.929,Medium,AI-Augmented Professional,False,5,1,1,29.06,1,0,0
TR00000118,W00000033,PR00000128,2025,Low,Medium,Performance Risk,Ready in 2 Years,False,False,False,Low,Low,3,Fast,1,0.929,Medium,AI-Augmented Professional,False,5,1,1,29.06,2,0,0
TR00000119,W00000034,PR00000129,2022,Solid,High,Emerging Talent,Ready in 3+ Years,False,False,True,Medium,Realized Attrition,0,None,0,1.039,Critical,AI Builder,False,0,0,0,0.0,0,0,0
TR00000120,W00000034,PR00000130,2023,Exceptional,Medium,High Professional,Ready in 1 Year,True,False,True,Medium,Realized Attrition,0,None,0,1.039,Critical,AI Builder,False,0,0,0,0.0,0,0,0
TR00000121,W00000034,PR00000131,2024,Exceptional,Exceptional,Top Talent,Ready Now,True,True,True,Medium,Realized Attrition,1,Moderate,0,1.039,Critical,AI Builder,False,0,0,0,0.0,1,0,0
TR00000122,W00000034,PR00000132,2025,Exceptional,Exceptional,Top Talent,Ready in 2 Years,True,False,True,Medium,Realized Attrition,1,Moderate,0,1.039,Critical,AI Builder,False,1,0,0,5.46,1,0,0
TR00000123,W00000035,PR00000133,2024,Solid,High,Emerging Talent,Ready in 1 Year,True,False,True,Medium,High,0,None,1,0.941,High,AI Governance,False,0,0,0,0.0,0,1,0
TR00000124,W00000035,PR00000134,2025,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,True,Medium,Medium,0,None,3,0.941,High,AI Governance,False,1,1,0,5.46,1,1,0
TR00000125,W00000036,PR00000135,2021,High,Medium,High Professional,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.155,Medium,AI-Augmented Professional,False,1,0,0,4.55,0,0,0
TR00000126,W00000036,PR00000136,2022,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.155,Medium,AI-Augmented Professional,False,2,1,0,14.05,0,0,0
TR00000127,W00000036,PR00000137,2023,Solid,High,Emerging Talent,Ready in 2 Years,False,False,False,Low,Low,0,None,0,1.155,Medium,AI-Augmented Professional,False,4,1,0,21.0,0,0,0
TR00000128,W00000036,PR00000138,2024,Low,High,Inconsistent Potential,Ready in 3+ Years,False,False,False,Low,Low,0,None,1,1.155,Medium,AI-Augmented Professional,False,4,1,0,21.0,0,1,0
TR00000129,W00000036,PR00000139,2025,High,High,Top Talent,Ready in 2 Years,True,False,True,Medium,Medium,0,None,2,1.155,Medium,AI-Augmented Professional,False,5,2,0,26.94,0,1,0
TR00000130,W00000037,PR00000140,2021,Exceptional,High,Top Talent,Ready in 2 Years,True,False,True,Medium,Medium,0,None,0,0.956,Low,AI User,False,0,0,0,0.0,0,1,0
TR00000131,W00000037,PR00000141,2022,High,High,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,0,None,0,0.956,Low,AI User,False,1,0,1,9.7,1,1,0
TR00000132,W00000037,PR00000142,2023,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,1,Slow,0,0.956,Low,AI User,False,5,0,2,39.64,2,1,0
TR00000133,W00000037,PR00000143,2024,High,Medium,High Professional,Ready Now,True,True,False,Low,Low,1,Slow,1,0.956,Low,AI User,False,7,1,2,52.62,2,1,0
TR00000134,W00000037,PR00000144,2025,Solid,High,Emerging Talent,Ready Now,True,True,False,Medium,Medium,2,Slow,3,0.956,Low,AI User,False,9,1,2,61.06,3,1,0
TR00000135,W00000038,PR00000145,2024,Exceptional,Exceptional,Top Talent,Ready in 2 Years,True,False,True,Medium,Medium,0,None,0,0.922,Low,AI User,False,1,0,0,2.76,0,1,0
TR00000136,W00000038,PR00000146,2025,Solid,Low,Solid Contributor,Ready in 3+ Years,False,False,False,Low,Low,1,Fast,2,0.922,Low,AI User,False,1,0,0,2.76,0,1,0
TR00000137,W00000039,PR00000147,2021,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.111,Low,AI User,True,1,0,0,2.85,0,0,0
TR00000138,W00000039,PR00000148,2022,Solid,Medium,Core Contributor,Ready in 1 Year,False,False,False,Low,Low,0,None,0,1.111,Low,AI User,True,2,0,0,5.79,0,0,0
