cost_center_id,cost_center_name,company_id,business_unit,function,is_active
CC000066,Audit Assurance Americas,C022,Audit,Assurance,True
CC000067,Risk Advisory Internal Audit APAC,C025,Risk Advisory,Internal Audit,True
CC000068,Consulting Human Capital EMEA,C040,Consulting,Human Capital,True
CC000069,Risk Advisory Cyber Risk EMEA,C028,Risk Advisory,Cyber Risk,True
CC000070,Tax Indirect Tax Americas,C037,Tax,Indirect Tax,True
CC000071,Deals M&A EMEA,C010,Deals,M&A,True
CC000072,Audit External Audit EMEA,C020,Audit,External Audit,True
CC000073,Audit External Audit APAC,C025,Audit,External Audit,True
CC000074,Audit Assurance APAC,C017,Audit,Assurance,True
CC000075,Risk Advisory Internal Audit EMEA,C031,Risk Advisory,Internal Audit,True
CC000076,Risk Advisory Cyber Risk APAC,C025,Risk Advisory,Cyber Risk,False
CC000077,Audit External Audit EMEA,C018,Audit,External Audit,True
CC000078,Internal Services Finance EMEA,C014,Internal Services,Finance,True
CC000079,Consulting Human Capital APAC,C004,Consulting,Human Capital,True
CC000080,Consulting Strategy Americas,C039,Consulting,Strategy,True
CC000081,Consulting Operations EMEA,C003,Consulting,Operations,True
CC000082,Deals Transaction Services APAC,C034,Deals,Transaction Services,True
CC000083,Audit External Audit APAC,C017,Audit,External Audit,False
CC000084,Consulting Operations APAC,C021,Consulting,Operations,True
CC000085,Tax Transfer Pricing EMEA,C032,Tax,Transfer Pricing,True
CC000086,Tax Indirect Tax APAC,C004,Tax,Indirect Tax,True
CC000087,Consulting Strategy EMEA,C014,Consulting,Strategy,True
CC000088,Consulting Human Capital EMEA,C031,Consulting,Human Capital,True
CC000089,Consulting Data and Analytics EMEA,C010,Consulting,Data and Analytics,True
CC000090,Tax Indirect Tax APAC,C025,Tax,Indirect Tax,True
CC000091,Tax Transfer Pricing APAC,C021,Tax,Transfer Pricing,True
CC000092,Risk Advisory Regulatory Risk EMEA,C014,Risk Advisory,Regulatory Risk,True
CC000093,Consulting Operations EMEA,C015,Consulting,Operations,True
CC000094,Internal Services Legal APAC,C035,Internal Services,Legal,True
CC000095,Tax Transfer Pricing APAC,C024,Tax,Transfer Pricing,False
CC000096,Risk Advisory Internal Audit Americas,C019,Risk Advisory,Internal Audit,True
CC000097,Consulting Strategy EMEA,C020,Consulting,Strategy,True
CC000098,Internal Services HR EMEA,C040,Internal Services,HR,True
CC000099,Risk Advisory Internal Audit APAC,C021,Risk Advisory,Internal Audit,True
CC000100,Internal Services Legal APAC,C017,Internal Services,Legal,True
CC000101,Consulting Human Capital EMEA,C020,Consulting,Human Capital,True
CC000102,Consulting Human Capital EMEA,C013,Consulting,Human Capital,True
CC000103,Consulting Data and Analytics APAC,C004,Consulting,Data and Analytics,True
CC000104,Audit Controls APAC,C029,Audit,Controls,True
CC000105,Tax Indirect Tax APAC,C008,Tax,Indirect Tax,True
CC000106,Consulting Strategy APAC,C017,Consulting,Strategy,False
CC000107,Risk Advisory Cyber Risk EMEA,C028,Risk Advisory,Cyber Risk,True
CC000108,Consulting Operations Americas,C037,Consulting,Operations,True
CC000109,Deals Valuation Americas,C009,Deals,Valuation,True
CC000110,Tax Transfer Pricing Americas,C009,Tax,Transfer Pricing,True
CC000111,Risk Advisory Regulatory Risk APAC,C016,Risk Advisory,Regulatory Risk,True
CC000112,Tax Corporate Tax APAC,C016,Tax,Corporate Tax,True
CC000113,Tax Transfer Pricing APAC,C016,Tax,Transfer Pricing,True
CC000114,Internal Services IT Americas,C006,Internal Services,IT,True
CC000115,Consulting Strategy APAC,C016,Consulting,Strategy,True
CC000116,Consulting Strategy Americas,C019,Consulting,Strategy,True
CC000117,Consulting Operations EMEA,C032,Consulting,Operations,True
CC000118,Audit External Audit APAC,C026,Audit,External Audit,True
CC000119,Audit Assurance APAC,C034,Audit,Assurance,True
CC000120,Risk Advisory Regulatory Risk EMEA,C015,Risk Advisory,Regulatory Risk,True
CC000121,Consulting Data and Analytics APAC,C025,Consulting,Data and Analytics,True
CC000122,Audit Assurance Americas,C022,Audit,Assurance,True
CC000123,Deals M&A APAC,C008,Deals,M&A,True
CC000124,Consulting Human Capital EMEA,C013,Consulting,Human Capital,True
CC000125,Audit External Audit APAC,C035,Audit,External Audit,True
CC000126,Audit Controls EMEA,C032,Audit,Controls,True
CC000127,Consulting Data and Analytics APAC,C016,Consulting,Data and Analytics,True
CC000128,Consulting Data and Analytics APAC,C023,Consulting,Data and Analytics,True
CC000129,Risk Advisory Regulatory Risk APAC,C021,Risk Advisory,Regulatory Risk,False
CC000130,Risk Advisory Cyber Risk Americas,C006,Risk Advisory,Cyber Risk,True
CC000131,Deals Valuation Americas,C027,Deals,Valuation,True
CC000132,Consulting Human Capital APAC,C004,Consulting,Human Capital,True
CC000133,Risk Advisory Cyber Risk EMEA,C003,Risk Advisory,Cyber Risk,True
CC000134,Audit External Audit EMEA,C020,Audit,External Audit,True
CC000135,Consulting Operations APAC,C021,Consulting,Operations,True
CC000136,Consulting Operations EMEA,C033,Consulting,Operations,True
CC000137,Tax Corporate Tax Americas,C009,Tax,Corporate Tax,True
CC000138,Tax Transfer Pricing EMEA,C014,Tax,Transfer Pricing,True
CC000139,Risk Advisory Internal Audit APAC,C021,Risk Advisory,Internal Audit,True
CC000140,Consulting Human Capital APAC,C038,Consulting,Human Capital,True
CC000141,Tax Corporate Tax EMEA,C011,Tax,Corporate Tax,True
CC000142,Audit External Audit Americas,C009,Audit,External Audit,True
CC000143,Tax Corporate Tax APAC,C038,Tax,Corporate Tax,True
CC000144,Tax Indirect Tax Americas,C009,Tax,Indirect Tax,True
CC000145,Audit External Audit EMEA,C028,Audit,External Audit,True
CC000146,Consulting Strategy Americas,C022,Consulting,Strategy,True
CC000147,Tax Corporate Tax Americas,C022,Tax,Corporate Tax,True
CC000148,Consulting Human Capital Americas,C036,Consulting,Human Capital,True
CC000149,Tax Transfer Pricing EMEA,C032,Tax,Transfer Pricing,True
CC000150,Internal Services HR APAC,C008,Internal Services,HR,True
CC000151,Consulting Data and Analytics EMEA,C033,Consulting,Data and Analytics,True
CC000152,Risk Advisory Internal Audit EMEA,C018,Risk Advisory,Internal Audit,True
CC000153,Internal Services Finance EMEA,C031,Internal Services,Finance,True
CC000154,Internal Services Legal APAC,C026,Internal Services,Legal,True
CC000155,Risk Advisory Cyber Risk Americas,C039,Risk Advisory,Cyber Risk,True
CC000156,Internal Services HR APAC,C035,Internal Services,HR,True
CC000157,Consulting Data and Analytics APAC,C034,Consulting,Data and Analytics,True
CC000158,Internal Services IT APAC,C035,Internal Services,IT,True
CC000159,Audit External Audit Americas,C001,Audit,External Audit,True
CC000160,Consulting Operations EMEA,C032,Consulting,Operations,True
CC000161,Consulting Technology Consulting EMEA,C014,Consulting,Technology Consulting,True
CC000162,Deals Valuation Americas,C027,Deals,Valuation,True
CC000163,Internal Services Legal APAC,C008,Internal Services,Legal,True
CC000164,Audit External Audit APAC,C035,Audit,External Audit,True
CC000165,Audit Controls APAC,C029,Audit,Controls,True
CC000166,Deals Valuation APAC,C016,Deals,Valuation,True
CC000167,Audit Assurance Americas,C022,Audit,Assurance,True
CC000168,Risk Advisory Cyber Risk EMEA,C015,Risk Advisory,Cyber Risk,True
CC000169,Tax Corporate Tax EMEA,C028,Tax,Corporate Tax,True
CC000170,Consulting Human Capital APAC,C023,Consulting,Human Capital,True
CC000171,Consulting Technology Consulting EMEA,C013,Consulting,Technology Consulting,True
CC000172,Tax Transfer Pricing EMEA,C003,Tax,Transfer Pricing,True
CC000173,Consulting Strategy EMEA,C010,Consulting,Strategy,True
CC000174,Consulting Strategy EMEA,C013,Consulting,Strategy,True
CC000175,Audit External Audit EMEA,C013,Audit,External Audit,True
CC000176,Risk Advisory Cyber Risk Americas,C007,Risk Advisory,Cyber Risk,True
CC000177,Tax Transfer Pricing Americas,C027,Tax,Transfer Pricing,True
CC000178,Tax Transfer Pricing Americas,C022,Tax,Transfer Pricing,True
CC000179,Audit External Audit Americas,C006,Audit,External Audit,True
CC000180,Audit Assurance EMEA,C013,Audit,Assurance,True
CC000181,Risk Advisory Internal Audit EMEA,C014,Risk Advisory,Internal Audit,True
CC000182,Risk Advisory Cyber Risk Americas,C002,Risk Advisory,Cyber Risk,True
CC000183,Internal Services IT Americas,C027,Internal Services,IT,True
CC000184,Audit Assurance APAC,C017,Audit,Assurance,False
CC000185,Tax Indirect Tax APAC,C038,Tax,Indirect Tax,True
CC000186,Tax Indirect Tax APAC,C021,Tax,Indirect Tax,True
CC000187,Risk Advisory Regulatory Risk Americas,C036,Risk Advisory,Regulatory Risk,True
CC000188,Internal Services Finance EMEA,C013,Internal Services,Finance,True
CC000189,Audit Controls EMEA,C032,Audit,Controls,True
CC000190,Consulting Operations APAC,C004,Consulting,Operations,True
CC000191,Consulting Data and Analytics APAC,C029,Consulting,Data and Analytics,False
CC000192,Consulting Data and Analytics Americas,C002,Consulting,Data and Analytics,True
CC000193,Consulting Technology Consulting EMEA,C003,Consulting,Technology Consulting,True
CC000194,Consulting Technology Consulting Americas,C009,Consulting,Technology Consulting,False
CC000195,Risk Advisory Regulatory Risk APAC,C030,Risk Advisory,Regulatory Risk,False
CC000196,Risk Advisory Internal Audit EMEA,C005,Risk Advisory,Internal Audit,True
CC000197,Deals M&A EMEA,C020,Deals,M&A,True
CC000198,Internal Services Finance EMEA,C015,Internal Services,Finance,True
CC000199,Risk Advisory Internal Audit Americas,C002,Risk Advisory,Internal Audit,True
CC000200,Tax Corporate Tax APAC,C023,Tax,Corporate Tax,True
CC000201,Consulting Technology Consulting APAC,C004,Consulting,Technology Consulting,False
CC000202,Internal Services IT EMEA,C005,Internal Services,IT,True
CC000203,Consulting Technology Consulting EMEA,C010,Consulting,Technology Consulting,True
CC000204,Audit Controls Americas,C007,Audit,Controls,True
CC000205,Consulting Strategy EMEA,C040,Consulting,Strategy,True
CC000206,Consulting Data and Analytics EMEA,C013,Consulting,Data and Analytics,True
CC000207,Audit Assurance Americas,C039,Audit,Assurance,True
CC000208,Risk Advisory Cyber Risk EMEA,C018,Risk Advisory,Cyber Risk,True
CC000209,Audit External Audit APAC,C035,Audit,External Audit,True
CC000210,Audit Assurance APAC,C026,Audit,Assurance,True
CC000211,Consulting Data and Analytics EMEA,C018,Consulting,Data and Analytics,True
CC000212,Risk Advisory Regulatory Risk EMEA,C020,Risk Advisory,Regulatory Risk,True
CC000213,Audit Controls EMEA,C013,Audit,Controls,True
CC000214,Audit External Audit EMEA,C005,Audit,External Audit,True
CC000215,Deals Valuation Americas,C006,Deals,Valuation,True
CC000216,Consulting Data and Analytics Americas,C022,Consulting,Data and Analytics,True
CC000217,Risk Advisory Cyber Risk Americas,C019,Risk Advisory,Cyber Risk,True
CC000218,Consulting Technology Consulting EMEA,C040,Consulting,Technology Consulting,True
CC000219,Internal Services Marketing APAC,C038,Internal Services,Marketing,True
CC000220,Consulting Strategy APAC,C029,Consulting,Strategy,True
CC000221,Risk Advisory Internal Audit EMEA,C014,Risk Advisory,Internal Audit,True
CC000222,Consulting Human Capital Americas,C037,Consulting,Human Capital,True
CC000223,Internal Services Finance APAC,C024,Internal Services,Finance,True
CC000224,Deals M&A EMEA,C040,Deals,M&A,True
CC000225,Consulting Technology Consulting Americas,C019,Consulting,Technology Consulting,True
CC000226,Audit Assurance Americas,C002,Audit,Assurance,True
CC000227,Audit External Audit APAC,C023,Audit,External Audit,True
CC000228,Deals Transaction Services EMEA,C020,Deals,Transaction Services,True
CC000229,Audit External Audit EMEA,C011,Audit,External Audit,True
CC000230,Risk Advisory Regulatory Risk APAC,C030,Risk Advisory,Regulatory Risk,True
CC000231,Tax Corporate Tax EMEA,C031,Tax,Corporate Tax,True
CC000232,Risk Advisory Regulatory Risk Americas,C027,Risk Advisory,Regulatory Risk,True
CC000233,Risk Advisory Internal Audit Americas,C001,Risk Advisory,Internal Audit,True
CC000234,Risk Advisory Internal Audit Americas,C007,Risk Advisory,Internal Audit,True
CC000235,Internal Services Legal EMEA,C040,Internal Services,Legal,True
CC000236,Internal Services IT Americas,C039,Internal Services,IT,True
CC000237,Consulting Strategy EMEA,C031,Consulting,Strategy,True
CC000238,Tax Indirect Tax Americas,C036,Tax,Indirect Tax,True
CC000239,Risk Advisory Regulatory Risk APAC,C035,Risk Advisory,Regulatory Risk,True
CC000240,Audit Controls Americas,C039,Audit,Controls,True
CC000241,Tax Corporate Tax Americas,C002,Tax,Corporate Tax,True
CC000242,Internal Services Marketing EMEA,C014,Internal Services,Marketing,True
CC000243,Risk Advisory Internal Audit APAC,C034,Risk Advisory,Internal Audit,True
CC000244,Tax Corporate Tax Americas,C039,Tax,Corporate Tax,True
CC000245,Consulting Human Capital APAC,C004,Consulting,Human Capital,True
CC000246,Consulting Operations APAC,C029,Consulting,Operations,True
CC000247,Tax Transfer Pricing APAC,C023,Tax,Transfer Pricing,True
CC000248,Consulting Data and Analytics EMEA,C013,Consulting,Data and Analytics,True
CC000249,Consulting Technology Consulting APAC,C017,Consulting,Technology Consulting,True
CC000250,Deals Transaction Services APAC,C023,Deals,Transaction Services,True
CC000251,Tax Corporate Tax EMEA,C018,Tax,Corporate Tax,True
CC000252,Consulting Strategy EMEA,C018,Consulting,Strategy,True
CC000253,Risk Advisory Regulatory Risk APAC,C029,Risk Advisory,Regulatory Risk,True
CC000254,Consulting Operations APAC,C024,Consulting,Operations,True
CC000255,Risk Advisory Internal Audit Americas,C037,Risk Advisory,Internal Audit,True
CC000256,Consulting Strategy Americas,C037,Consulting,Strategy,True
CC000257,Audit Controls APAC,C026,Audit,Controls,True
CC000258,Internal Services HR APAC,C025,Internal Services,HR,True
CC000259,Audit Assurance Americas,C022,Audit,Assurance,True
CC000260,Audit Assurance Americas,C007,Audit,Assurance,True
CC000261,Risk Advisory Cyber Risk EMEA,C015,Risk Advisory,Cyber Risk,True
CC000262,Internal Services Legal Americas,C009,Internal Services,Legal,True
CC000263,Risk Advisory Internal Audit EMEA,C033,Risk Advisory,Internal Audit,True
CC000264,Audit Controls Americas,C002,Audit,Controls,True
CC000265,Risk Advisory Cyber Risk Americas,C007,Risk Advisory,Cyber Risk,True
CC000266,Audit External Audit Americas,C036,Audit,External Audit,True
CC000267,Audit Controls Americas,C012,Audit,Controls,True
CC000268,Consulting Strategy EMEA,C040,Consulting,Strategy,True
CC000269,Consulting Operations APAC,C029,Consulting,Operations,True
CC000270,Risk Advisory Cyber Risk Americas,C022,Risk Advisory,Cyber Risk,True
CC000271,Consulting Human Capital APAC,C025,Consulting,Human Capital,True
CC000272,Risk Advisory Regulatory Risk EMEA,C020,Risk Advisory,Regulatory Risk,True
CC000273,Deals M&A Americas,C022,Deals,M&A,True
CC000274,Tax Indirect Tax APAC,C024,Tax,Indirect Tax,True
CC000275,Consulting Strategy Americas,C027,Consulting,Strategy,True
CC000276,Consulting Data and Analytics EMEA,C018,Consulting,Data and Analytics,True
CC000277,Consulting Operations EMEA,C040,Consulting,Operations,True
CC000278,Consulting Data and Analytics EMEA,C015,Consulting,Data and Analytics,True
CC000279,Internal Services IT EMEA,C015,Internal Services,IT,True
CC000280,Consulting Technology Consulting APAC,C021,Consulting,Technology Consulting,True
CC000281,Tax Indirect Tax EMEA,C040,Tax,Indirect Tax,True
CC000282,Consulting Strategy APAC,C025,Consulting,Strategy,True
CC000283,Audit External Audit APAC,C029,Audit,External Audit,True
CC000284,Consulting Human Capital Americas,C007,Consulting,Human Capital,True
CC000285,Consulting Operations EMEA,C005,Consulting,Operations,True
CC000286,Risk Advisory Internal Audit EMEA,C040,Risk Advisory,Internal Audit,True
CC000287,Tax Transfer Pricing APAC,C035,Tax,Transfer Pricing,True
CC000288,Audit Assurance Americas,C039,Audit,Assurance,True
CC000289,Consulting Data and Analytics Americas,C009,Consulting,Data and Analytics,True
CC000290,Consulting Technology Consulting Americas,C036,Consulting,Technology Consulting,True
CC000291,Consulting Operations APAC,C038,Consulting,Operations,True
CC000292,Audit External Audit Americas,C039,Audit,External Audit,False
CC000293,Tax Corporate Tax EMEA,C018,Tax,Corporate Tax,True
CC000294,Consulting Operations APAC,C030,Consulting,Operations,True
CC000295,Audit External Audit EMEA,C014,Audit,External Audit,True
CC000296,Risk Advisory Cyber Risk Americas,C007,Risk Advisory,Cyber Risk,True
CC000297,Consulting Operations APAC,C025,Consulting,Operations,True
CC000298,Audit Controls APAC,C008,Audit,Controls,True
CC000299,Internal Services Legal EMEA,C015,Internal Services,Legal,True
CC000300,Risk Advisory Internal Audit Americas,C006,Risk Advisory,Internal Audit,True
CC000301,Audit Controls EMEA,C015,Audit,Controls,True
CC000302,Risk Advisory Regulatory Risk APAC,C030,Risk Advisory,Regulatory Risk,True
CC000303,Internal Services Marketing Americas,C022,Internal Services,Marketing,True
CC000304,Audit Controls EMEA,C011,Audit,Controls,True
CC000305,Deals Transaction Services EMEA,C014,Deals,Transaction Services,True
CC000306,Tax Corporate Tax EMEA,C033,Tax,Corporate Tax,True
CC000307,Consulting Strategy Americas,C019,Consulting,Strategy,True
CC000308,Consulting Operations EMEA,C032,Consulting,Operations,True
CC000309,Audit External Audit EMEA,C010,Audit,External Audit,True
CC000310,Consulting Data and Analytics EMEA,C020,Consulting,Data and Analytics,True
CC000311,Audit Controls Americas,C037,Audit,Controls,True
CC000312,Tax Transfer Pricing APAC,C030,Tax,Transfer Pricing,True
CC000313,Audit Controls APAC,C008,Audit,Controls,True
CC000314,Risk Advisory Cyber Risk Americas,C001,Risk Advisory,Cyber Risk,True
CC000315,Consulting Strategy APAC,C038,Consulting,Strategy,True
CC000316,Tax Indirect Tax Americas,C012,Tax,Indirect Tax,True
CC000317,Deals M&A Americas,C019,Deals,M&A,True
CC000318,Deals Valuation APAC,C026,Deals,Valuation,True
CC000319,Audit Controls Americas,C039,Audit,Controls,True
CC000320,Risk Advisory Internal Audit EMEA,C032,Risk Advisory,Internal Audit,True
CC000321,Consulting Strategy APAC,C016,Consulting,Strategy,True
CC000322,Consulting Human Capital APAC,C029,Consulting,Human Capital,True
CC000323,Tax Transfer Pricing APAC,C023,Tax,Transfer Pricing,True
CC000324,Consulting Operations APAC,C021,Consulting,Operations,True
CC000325,Audit Controls APAC,C030,Audit,Controls,True
CC000326,Tax Corporate Tax APAC,C008,Tax,Corporate Tax,True
CC000327,Internal Services HR APAC,C023,Internal Services,HR,True
CC000328,Consulting Strategy Americas,C006,Consulting,Strategy,True
CC000329,Risk Advisory Cyber Risk Americas,C037,Risk Advisory,Cyber Risk,False
CC000330,Audit Assurance EMEA,C003,Audit,Assurance,True
CC000331,Risk Advisory Cyber Risk EMEA,C032,Risk Advisory,Cyber Risk,True
CC000332,Audit Controls APAC,C024,Audit,Controls,True
CC000333,Consulting Strategy EMEA,C003,Consulting,Strategy,True
CC000334,Consulting Technology Consulting Americas,C036,Consulting,Technology Consulting,True
CC000335,Tax Transfer Pricing APAC,C030,Tax,Transfer Pricing,True
CC000336,Audit Assurance Americas,C001,Audit,Assurance,True
CC000337,Deals Transaction Services EMEA,C020,Deals,Transaction Services,True
CC000338,Tax Corporate Tax Americas,C027,Tax,Corporate Tax,False
CC000339,Audit External Audit APAC,C008,Audit,External Audit,True
CC000340,Risk Advisory Regulatory Risk EMEA,C033,Risk Advisory,Regulatory Risk,True
CC000341,Tax Indirect Tax APAC,C016,Tax,Indirect Tax,True
CC000342,Deals Transaction Services EMEA,C010,Deals,Transaction Services,True
CC000343,Consulting Technology Consulting Americas,C019,Consulting,Technology Consulting,True
CC000344,Tax Corporate Tax EMEA,C013,Tax,Corporate Tax,True
CC000345,Consulting Data and Analytics Americas,C039,Consulting,Data and Analytics,True
CC000346,Consulting Operations Americas,C006,Consulting,Operations,True
CC000347,Audit Assurance EMEA,C003,Audit,Assurance,True
CC000348,Risk Advisory Regulatory Risk EMEA,C010,Risk Advisory,Regulatory Risk,True
CC000349,Consulting Human Capital Americas,C001,Consulting,Human Capital,True
CC000350,Tax Transfer Pricing Americas,C009,Tax,Transfer Pricing,True
CC000351,Audit Assurance EMEA,C010,Audit,Assurance,True
CC000352,Deals Valuation APAC,C026,Deals,Valuation,True
CC000353,Audit External Audit Americas,C006,Audit,External Audit,True
CC000354,Consulting Strategy Americas,C009,Consulting,Strategy,True
CC000355,Tax Indirect Tax Americas,C007,Tax,Indirect Tax,True
CC000356,Consulting Human Capital APAC,C017,Consulting,Human Capital,True
CC000357,Consulting Data and Analytics Americas,C036,Consulting,Data and Analytics,True
CC000358,Deals Transaction Services EMEA,C011,Deals,Transaction Services,True
CC000359,Tax Corporate Tax Americas,C039,Tax,Corporate Tax,True
CC000360,Consulting Strategy EMEA,C011,Consulting,Strategy,True
CC000361,Tax Transfer Pricing EMEA,C040,Tax,Transfer Pricing,True
CC000362,Audit Assurance APAC,C029,Audit,Assurance,True
CC000363,Tax Transfer Pricing APAC,C038,Tax,Transfer Pricing,True
CC000364,Tax Corporate Tax APAC,C008,Tax,Corporate Tax,True
CC000365,Tax Transfer Pricing EMEA,C015,Tax,Transfer Pricing,True
CC000366,Consulting Strategy APAC,C034,Consulting,Strategy,True
CC000367,Deals M&A EMEA,C014,Deals,M&A,True
CC000368,Risk Advisory Regulatory Risk EMEA,C005,Risk Advisory,Regulatory Risk,True
CC000369,Consulting Human Capital EMEA,C013,Consulting,Human Capital,True
CC000370,Risk Advisory Internal Audit APAC,C030,Risk Advisory,Internal Audit,True
CC000371,Audit Assurance APAC,C023,Audit,Assurance,True
CC000372,Tax Indirect Tax APAC,C026,Tax,Indirect Tax,True
CC000373,Consulting Technology Consulting APAC,C023,Consulting,Technology Consulting,True
CC000374,Tax Indirect Tax Americas,C039,Tax,Indirect Tax,True
CC000375,Consulting Strategy EMEA,C028,Consulting,Strategy,True
CC000376,Internal Services HR Americas,C022,Internal Services,HR,True
CC000377,Tax Indirect Tax Americas,C001,Tax,Indirect Tax,True
CC000378,Internal Services Finance Americas,C027,Internal Services,Finance,True
CC000379,Internal Services Marketing EMEA,C033,Internal Services,Marketing,True
CC000380,Tax Corporate Tax EMEA,C033,Tax,Corporate Tax,True
CC000381,Deals Transaction Services EMEA,C018,Deals,Transaction Services,True
CC000382,Consulting Strategy EMEA,C014,Consulting,Strategy,True
CC000383,Audit Assurance Americas,C007,Audit,Assurance,True
CC000384,Consulting Technology Consulting APAC,C038,Consulting,Technology Consulting,True
CC000385,Tax Indirect Tax Americas,C002,Tax,Indirect Tax,False
CC000386,Consulting Technology Consulting APAC,C030,Consulting,Technology Consulting,True
CC000387,Consulting Data and Analytics EMEA,C040,Consulting,Data and Analytics,True
CC000388,Risk Advisory Cyber Risk Americas,C007,Risk Advisory,Cyber Risk,True
CC000389,Deals M&A APAC,C035,Deals,M&A,True
CC000390,Consulting Human Capital EMEA,C014,Consulting,Human Capital,True
CC000391,Audit Controls APAC,C021,Audit,Controls,True
CC000392,Consulting Technology Consulting EMEA,C031,Consulting,Technology Consulting,False
CC000393,Consulting Human Capital EMEA,C020,Consulting,Human Capital,True
CC000394,Audit Controls EMEA,C011,Audit,Controls,True
CC000395,Tax Transfer Pricing APAC,C030,Tax,Transfer Pricing,True
CC000396,Tax Indirect Tax APAC,C029,Tax,Indirect Tax,True
CC000397,Consulting Strategy APAC,C030,Consulting,Strategy,True
CC000398,Audit Controls EMEA,C013,Audit,Controls,True
