absence_request_id,worker_id,absence_plan_id,absence_type,request_date,absence_start_date,absence_end_date,duration_days,approval_status,is_paid_leave
AR000000034,W00004788,AP00010,Bereavement Leave,2021-11-29,2022-01-12,2022-01-12,1,Cancelled,True
AR000000035,W00002891,AP00021,Vacation,2022-07-12,2022-09-03,2022-09-15,13,Approved,True
AR000000036,W00002022,AP00021,Vacation,2021-06-11,2021-07-03,2021-07-04,2,Approved,True
AR000000037,W00004197,AP00058,Personal Leave,2025-08-01,2025-08-14,2025-08-17,4,Approved,True
AR000000038,W00003584,AP00038,Personal Leave,2022-03-12,2022-05-06,2022-05-06,1,Approved,True
AR000000039,W00001258,AP00009,Parental Leave,2022-12-12,2022-12-26,2023-02-20,57,Pending,True
AR000000040,W00003829,AP00031,Vacation,2022-10-13,2022-11-25,2022-11-28,4,Approved,True
AR000000041,W00002215,AP00063,Personal Leave,2024-02-22,2024-03-20,2024-03-24,5,Approved,True
AR000000042,W00002071,AP00028,Personal Leave,2022-09-19,2022-11-08,2022-11-08,1,Approved,True
AR000000043,W00001022,AP00035,Bereavement Leave,2021-12-19,2022-01-04,2022-01-05,2,Approved,True
AR000000044,W00003243,AP00025,Bereavement Leave,2021-08-02,2021-09-20,2021-09-21,2,Approved,True
AR000000045,W00004640,AP00030,Bereavement Leave,2025-08-04,2025-08-08,2025-08-08,1,Approved,True
AR000000046,W00001841,AP00041,Vacation,2023-03-31,2023-04-05,2023-04-07,3,Approved,True
AR000000047,W00001801,AP00005,Bereavement Leave,2025-07-15,2025-09-01,2025-09-02,2,Approved,True
AR000000048,W00002241,AP00003,Personal Leave,2022-11-30,2023-01-08,2023-01-12,5,Approved,True
AR000000049,W00003016,AP00040,Bereavement Leave,2021-10-09,2021-12-07,2021-12-08,2,Approved,True
AR000000050,W00003624,AP00028,Personal Leave,2022-02-08,2022-02-13,2022-02-17,5,Approved,True
AR000000051,W00001552,AP00030,Bereavement Leave,2023-03-07,2023-04-28,2023-05-01,4,Cancelled,True
AR000000052,W00003241,AP00011,Vacation,2024-08-13,2024-10-07,2024-10-21,15,Approved,True
AR000000053,W00000822,AP00051,Vacation,2022-10-16,2022-11-18,2022-11-30,13,Approved,True
AR000000054,W00003099,AP00061,Vacation,2022-11-19,2022-12-07,2022-12-10,4,Approved,True
AR000000055,W00004552,AP00008,Personal Leave,2025-04-10,2025-05-27,2025-05-31,5,Denied,True
AR000000056,W00000835,AP00063,Personal Leave,2022-02-22,2022-03-20,2022-03-23,4,Approved,True
AR000000057,W00001020,AP00002,Sick Leave,2021-03-29,2021-05-06,2021-05-09,4,Approved,True
AR000000058,W00001419,AP00050,Bereavement Leave,2023-05-10,2023-06-18,2023-06-19,2,Approved,True
AR000000059,W00004286,AP00040,Bereavement Leave,2020-12-21,2021-01-05,2021-01-08,4,Approved,True
AR000000060,W00004648,AP00003,Personal Leave,2021-11-16,2021-11-22,2021-11-26,5,Approved,True
AR000000061,W00001393,AP00011,Vacation,2021-06-15,2021-08-03,2021-08-07,5,Approved,True
AR000000062,W00001920,AP00052,Sick Leave,2023-07-05,2023-09-01,2023-09-05,5,Pending,True
AR000000063,W00001893,AP00062,Sick Leave,2021-12-05,2021-12-23,2021-12-27,5,Approved,True
AR000000064,W00002372,AP00001,Vacation,2023-03-31,2023-05-07,2023-05-11,5,Pending,True
AR000000065,W00004718,AP00011,Vacation,2023-08-02,2023-08-03,2023-08-11,9,Approved,True
AR000000066,W00004239,AP00057,Sick Leave,2023-12-28,2023-12-30,2023-12-30,1,Approved,True
AR000000067,W00003177,AP00015,Bereavement Leave,2022-03-07,2022-03-12,2022-03-16,5,Approved,True
AR000000068,W00002374,AP00017,Sick Leave,2022-09-14,2022-10-15,2022-10-16,2,Approved,True
AR000000069,W00004995,AP00033,Personal Leave,2025-01-21,2025-02-18,2025-02-21,4,Approved,True
AR000000070,W00001554,AP00065,Bereavement Leave,2021-09-25,2021-09-30,2021-10-03,4,Approved,True
AR000000071,W00003634,AP00058,Personal Leave,2022-03-21,2022-05-19,2022-05-21,3,Approved,True
AR000000072,W00003791,AP00062,Sick Leave,2023-04-25,2023-05-20,2023-05-24,5,Approved,True
AR000000073,W00000177,AP00003,Personal Leave,2023-03-13,2023-03-29,2023-03-29,1,Approved,True
AR000000074,W00003208,AP00009,Parental Leave,2025-06-11,2025-07-21,2025-09-13,55,Approved,True
AR000000075,W00000916,AP00025,Bereavement Leave,2024-06-23,2024-08-17,2024-08-17,1,Cancelled,True
AR000000076,W00001232,AP00054,Parental Leave,2025-06-24,2025-07-27,2025-08-27,32,Approved,True
AR000000077,W00002475,AP00002,Sick Leave,2023-11-04,2023-11-25,2023-11-29,5,Pending,True
AR000000078,W00002467,AP00050,Bereavement Leave,2023-01-13,2023-01-19,2023-01-22,4,Approved,True
AR000000079,W00000957,AP00007,Sick Leave,2025-07-20,2025-08-21,2025-08-21,1,Pending,True
AR000000080,W00000707,AP00065,Bereavement Leave,2023-04-13,2023-06-06,2023-06-08,3,Approved,True
AR000000081,W00001138,AP00005,Bereavement Leave,2024-05-03,2024-06-13,2024-06-16,4,Approved,True
AR000000082,W00001629,AP00021,Vacation,2022-07-20,2022-09-13,2022-09-24,12,Approved,True
AR000000083,W00004025,AP00051,Vacation,2025-08-30,2025-10-09,2025-10-16,8,Approved,True
AR000000084,W00003483,AP00006,Vacation,2022-06-17,2022-07-03,2022-07-15,13,Approved,True
AR000000085,W00004266,AP00013,Personal Leave,2022-06-20,2022-06-23,2022-06-25,3,Approved,True
AR000000086,W00004472,AP00006,Vacation,2021-08-26,2021-09-21,2021-09-29,9,Approved,True
AR000000087,W00003537,AP00050,Bereavement Leave,2023-02-09,2023-03-30,2023-03-30,1,Approved,True
AR000000088,W00002585,AP00020,Bereavement Leave,2024-04-14,2024-05-18,2024-05-20,3,Approved,True
AR000000089,W00000920,AP00054,Parental Leave,2022-12-18,2023-02-10,2023-04-18,68,Approved,True
AR000000090,W00004411,AP00009,Parental Leave,2021-09-06,2021-10-23,2022-02-19,120,Approved,True
AR000000091,W00002268,AP00029,Parental Leave,2025-03-13,2025-04-09,2025-05-08,30,Approved,True
AR000000092,W00002765,AP00042,Sick Leave,2021-02-23,2021-03-05,2021-03-09,5,Approved,True
AR000000093,W00002474,AP00049,Parental Leave,2025-02-22,2025-04-22,2025-07-15,85,Approved,True
AR000000094,W00002933,AP00008,Personal Leave,2025-10-12,2025-11-30,2025-12-03,4,Approved,True
AR000000095,W00004743,AP00028,Personal Leave,2025-04-17,2025-05-13,2025-05-17,5,Cancelled,True
AR000000096,W00003207,AP00006,Vacation,2022-01-13,2022-02-01,2022-02-12,12,Approved,True
AR000000097,W00004933,AP00063,Personal Leave,2024-08-25,2024-09-26,2024-09-27,2,Approved,True
AR000000098,W00002210,AP00021,Vacation,2021-07-27,2021-09-17,2021-09-26,10,Denied,True
AR000000099,W00001164,AP00037,Sick Leave,2025-08-13,2025-08-25,2025-08-25,1,Approved,True
AR000000100,W00000043,AP00051,Vacation,2024-06-21,2024-08-01,2024-08-02,2,Approved,True
AR000000101,W00001565,AP00014,Parental Leave,2025-08-10,2025-09-06,2025-12-28,114,Approved,True
AR000000102,W00003646,AP00034,Parental Leave,2022-03-01,2022-03-09,2022-06-14,98,Approved,True
AR000000103,W00004557,AP00012,Sick Leave,2024-04-08,2024-05-19,2024-05-19,1,Cancelled,True
AR000000104,W00001759,AP00021,Vacation,2025-10-17,2025-11-25,2025-12-07,13,Approved,True
AR000000105,W00004239,AP00042,Sick Leave,2025-01-23,2025-01-31,2025-02-01,2,Approved,True
AR000000106,W00002267,AP00060,Bereavement Leave,2024-03-28,2024-05-27,2024-05-27,1,Approved,True
AR000000107,W00002030,AP00029,Parental Leave,2023-03-16,2023-04-16,2023-07-04,80,Approved,True
AR000000108,W00001477,AP00010,Bereavement Leave,2024-03-28,2024-05-07,2024-05-10,4,Approved,True
AR000000109,W00004939,AP00025,Bereavement Leave,2025-01-05,2025-01-11,2025-01-14,4,Approved,True
AR000000110,W00002760,AP00014,Parental Leave,2024-09-22,2024-11-02,2024-12-18,47,Pending,True
AR000000111,W00003134,AP00062,Sick Leave,2023-01-07,2023-01-23,2023-01-23,1,Approved,True
AR000000112,W00001247,AP00018,Personal Leave,2021-02-24,2021-02-28,2021-03-04,5,Approved,True
AR000000113,W00000898,AP00031,Vacation,2022-12-03,2023-01-23,2023-01-27,5,Approved,True
AR000000114,W00003328,AP00023,Personal Leave,2021-06-11,2021-08-08,2021-08-11,4,Approved,True
AR000000115,W00000455,AP00050,Bereavement Leave,2024-06-30,2024-07-10,2024-07-12,3,Approved,True
AR000000116,W00000771,AP00061,Vacation,2023-01-22,2023-02-13,2023-02-15,3,Approved,True
AR000000117,W00002667,AP00005,Bereavement Leave,2025-04-19,2025-04-30,2025-05-03,4,Approved,True
AR000000118,W00002555,AP00027,Sick Leave,2022-09-18,2022-11-05,2022-11-08,4,Approved,True
AR000000119,W00000111,AP00009,Parental Leave,2023-12-12,2024-01-29,2024-04-27,90,Approved,True
AR000000120,W00002404,AP00062,Sick Leave,2021-04-01,2021-04-20,2021-04-23,4,Approved,True
AR000000121,W00002437,AP00058,Personal Leave,2025-08-28,2025-10-20,2025-10-22,3,Approved,True
AR000000122,W00000736,AP00026,Vacation,2023-05-25,2023-06-18,2023-06-24,7,Approved,True
AR000000123,W00000005,AP00059,Parental Leave,2023-12-19,2024-01-30,2024-05-08,100,Approved,True
AR000000124,W00002083,AP00036,Vacation,2025-08-27,2025-08-29,2025-09-12,15,Approved,True
AR000000125,W00001544,AP00031,Vacation,2025-01-14,2025-01-21,2025-01-22,2,Approved,True
AR000000126,W00002813,AP00058,Personal Leave,2021-03-29,2021-05-22,2021-05-22,1,Approved,True
AR000000127,W00001486,AP00029,Parental Leave,2021-12-07,2022-01-21,2022-04-03,73,Approved,True
AR000000128,W00004571,AP00034,Parental Leave,2023-10-14,2023-11-26,2024-03-10,106,Approved,True
AR000000129,W00000436,AP00043,Personal Leave,2023-11-11,2023-12-11,2023-12-11,1,Approved,True
AR000000130,W00000484,AP00042,Sick Leave,2022-01-26,2022-02-27,2022-03-02,4,Approved,True
AR000000131,W00000321,AP00008,Personal Leave,2024-05-16,2024-06-17,2024-06-20,4,Approved,True
AR000000132,W00000371,AP00055,Bereavement Leave,2024-11-27,2025-01-21,2025-01-24,4,Approved,True
AR000000133,W00000995,AP00044,Parental Leave,2023-07-06,2023-08-07,2023-10-04,59,Cancelled,True
AR000000134,W00002279,AP00044,Parental Leave,2025-06-18,2025-08-08,2025-11-22,107,Approved,True
AR000000135,W00003191,AP00042,Sick Leave,2021-06-04,2021-06-18,2021-06-22,5,Approved,True
AR000000136,W00002156,AP00018,Personal Leave,2023-07-03,2023-07-19,2023-07-19,1,Approved,True
AR000000137,W00001477,AP00014,Parental Leave,2021-04-05,2021-04-24,2021-06-11,49,Approved,True
AR000000138,W00003281,AP00046,Vacation,2024-12-02,2025-01-30,2025-02-10,12,Approved,True
AR000000139,W00000814,AP00016,Vacation,2022-09-01,2022-09-05,2022-09-06,2,Approved,True
AR000000140,W00003304,AP00043,Personal Leave,2024-10-08,2024-12-05,2024-12-05,1,Approved,True
AR000000141,W00001248,AP00034,Parental Leave,2024-03-19,2024-04-20,2024-08-11,114,Approved,True
AR000000142,W00002631,AP00013,Personal Leave,2024-11-23,2025-01-11,2025-01-14,4,Approved,True
AR000000143,W00000604,AP00025,Bereavement Leave,2024-01-02,2024-01-10,2024-01-14,5,Cancelled,True
AR000000144,W00002758,AP00036,Vacation,2024-05-24,2024-06-24,2024-06-26,3,Approved,True
AR000000145,W00003735,AP00013,Personal Leave,2024-06-23,2024-07-12,2024-07-16,5,Approved,True
AR000000146,W00000293,AP00040,Bereavement Leave,2024-04-18,2024-05-30,2024-05-30,1,Approved,True
AR000000147,W00002259,AP00050,Bereavement Leave,2024-04-05,2024-04-11,2024-04-15,5,Approved,True
AR000000148,W00003199,AP00010,Bereavement Leave,2024-09-12,2024-09-23,2024-09-25,3,Approved,True
AR000000149,W00004766,AP00017,Sick Leave,2024-10-23,2024-11-08,2024-11-11,4,Approved,True
AR000000150,W00002882,AP00014,Parental Leave,2024-01-11,2024-02-04,2024-04-29,86,Pending,True
AR000000151,W00001772,AP00044,Parental Leave,2025-03-27,2025-05-06,2025-08-21,108,Approved,True
AR000000152,W00002217,AP00014,Parental Leave,2024-06-11,2024-07-13,2024-09-01,51,Approved,True
AR000000153,W00004075,AP00059,Parental Leave,2021-10-28,2021-10-30,2022-01-08,71,Approved,True
AR000000154,W00003382,AP00053,Personal Leave,2022-11-06,2022-11-30,2022-12-01,2,Approved,True
AR000000155,W00003230,AP00008,Personal Leave,2025-11-30,2025-12-06,2025-12-10,5,Approved,True
AR000000156,W00003499,AP00010,Bereavement Leave,2025-06-04,2025-07-28,2025-07-28,1,Approved,True
AR000000157,W00000365,AP00048,Personal Leave,2024-01-27,2024-02-28,2024-03-03,5,Denied,True
AR000000158,W00002855,AP00036,Vacation,2024-03-04,2024-04-14,2024-04-16,3,Approved,True
AR000000159,W00003048,AP00033,Personal Leave,2023-02-26,2023-04-08,2023-04-08,1,Approved,True
AR000000160,W00004353,AP00037,Sick Leave,2023-11-08,2023-12-15,2023-12-19,5,Approved,True
AR000000161,W00003292,AP00004,Parental Leave,2022-06-24,2022-08-22,2022-11-19,90,Approved,True
AR000000162,W00000644,AP00038,Personal Leave,2025-07-08,2025-08-19,2025-08-19,1,Approved,True
AR000000163,W00004472,AP00059,Parental Leave,2021-07-16,2021-07-25,2021-08-27,34,Approved,True
AR000000164,W00003608,AP00059,Parental Leave,2025-06-30,2025-08-22,2025-12-07,108,Approved,True
AR000000165,W00001337,AP00019,Parental Leave,2024-07-02,2024-07-21,2024-10-10,82,Pending,True
AR000000166,W00002748,AP00016,Vacation,2021-07-19,2021-08-10,2021-08-20,11,Approved,True
AR000000167,W00001596,AP00044,Parental Leave,2025-01-19,2025-02-12,2025-06-04,113,Approved,True
AR000000168,W00000546,AP00026,Vacation,2024-07-18,2024-08-05,2024-08-05,1,Denied,True
AR000000169,W00003475,AP00006,Vacation,2021-04-22,2021-06-21,2021-07-01,11,Approved,True
AR000000170,W00002389,AP00003,Personal Leave,2022-01-30,2022-03-25,2022-03-25,1,Approved,True
AR000000171,W00003710,AP00039,Parental Leave,2021-04-17,2021-06-15,2021-07-19,35,Pending,True
AR000000172,W00000644,AP00003,Personal Leave,2025-07-11,2025-08-25,2025-08-26,2,Cancelled,True
AR000000173,W00002769,AP00043,Personal Leave,2021-05-11,2021-06-02,2021-06-02,1,Denied,True
AR000000174,W00003428,AP00005,Bereavement Leave,2022-01-08,2022-02-07,2022-02-11,5,Approved,True
AR000000175,W00004704,AP00011,Vacation,2022-12-06,2023-01-13,2023-01-25,13,Approved,True
AR000000176,W00001858,AP00028,Personal Leave,2023-07-27,2023-08-19,2023-08-20,2,Approved,True
AR000000177,W00001956,AP00031,Vacation,2023-05-28,2023-06-07,2023-06-10,4,Pending,True
AR000000178,W00002989,AP00047,Sick Leave,2021-05-09,2021-06-25,2021-06-29,5,Approved,True
AR000000179,W00001650,AP00018,Personal Leave,2022-02-04,2022-02-18,2022-02-21,4,Cancelled,True
AR000000180,W00003557,AP00051,Vacation,2022-01-21,2022-03-12,2022-03-21,10,Approved,True
AR000000181,W00000116,AP00043,Personal Leave,2024-03-14,2024-04-17,2024-04-19,3,Approved,True
AR000000182,W00000264,AP00056,Vacation,2023-05-02,2023-05-25,2023-05-30,6,Approved,True
AR000000183,W00002182,AP00046,Vacation,2024-07-06,2024-08-20,2024-08-31,12,Approved,True
AR000000184,W00004980,AP00026,Vacation,2023-05-23,2023-05-29,2023-06-09,12,Approved,True
AR000000185,W00004277,AP00030,Bereavement Leave,2023-06-29,2023-08-02,2023-08-03,2,Approved,True
AR000000186,W00002878,AP00050,Bereavement Leave,2022-06-14,2022-06-29,2022-06-29,1,Cancelled,True
AR000000187,W00003153,AP00028,Personal Leave,2021-01-27,2021-01-30,2021-02-03,5,Cancelled,True
AR000000188,W00002187,AP00044,Parental Leave,2021-07-31,2021-09-21,2022-01-07,109,Approved,True
AR000000189,W00002057,AP00023,Personal Leave,2022-05-28,2022-06-10,2022-06-11,2,Cancelled,True
AR000000190,W00002338,AP00033,Personal Leave,2021-08-17,2021-09-14,2021-09-18,5,Pending,True
AR000000191,W00003567,AP00025,Bereavement Leave,2022-12-09,2022-12-16,2022-12-18,3,Approved,True
AR000000192,W00000548,AP00023,Personal Leave,2023-06-26,2023-06-28,2023-06-30,3,Pending,True
AR000000193,W00001070,AP00052,Sick Leave,2025-06-18,2025-07-19,2025-07-20,2,Approved,True
AR000000194,W00001253,AP00043,Personal Leave,2021-07-23,2021-09-17,2021-09-20,4,Approved,True
AR000000195,W00003902,AP00044,Parental Leave,2024-05-26,2024-06-09,2024-09-25,109,Approved,True
AR000000196,W00002359,AP00052,Sick Leave,2024-10-11,2024-10-24,2024-10-27,4,Approved,True
AR000000197,W00004553,AP00035,Bereavement Leave,2025-04-02,2025-05-02,2025-05-02,1,Approved,True
AR000000198,W00004591,AP00028,Personal Leave,2025-01-18,2025-01-20,2025-01-21,2,Approved,True
AR000000199,W00004054,AP00056,Vacation,2021-06-14,2021-06-19,2021-06-30,12,Approved,True
AR000000200,W00004375,AP00034,Parental Leave,2023-01-14,2023-01-27,2023-04-26,90,Approved,True
AR000000201,W00001167,AP00014,Parental Leave,2021-06-09,2021-06-28,2021-09-05,70,Approved,True
AR000000202,W00002099,AP00017,Sick Leave,2024-10-28,2024-12-09,2024-12-12,4,Pending,True
AR000000203,W00002950,AP00008,Personal Leave,2023-09-26,2023-11-20,2023-11-23,4,Approved,True
AR000000204,W00002454,AP00044,Parental Leave,2022-02-01,2022-03-24,2022-06-05,74,Approved,True
AR000000205,W00004799,AP00024,Parental Leave,2022-03-08,2022-03-10,2022-05-15,67,Approved,True
AR000000206,W00003756,AP00028,Personal Leave,2024-10-03,2024-10-30,2024-10-30,1,Approved,True
AR000000207,W00004704,AP00003,Personal Leave,2021-02-24,2021-03-13,2021-03-15,3,Approved,True
AR000000208,W00002585,AP00035,Bereavement Leave,2021-11-17,2022-01-11,2022-01-15,5,Approved,True
AR000000209,W00001544,AP00049,Parental Leave,2024-12-13,2025-02-06,2025-03-12,35,Cancelled,True
AR000000210,W00003163,AP00041,Vacation,2023-01-18,2023-03-17,2023-03-18,2,Approved,True
AR000000211,W00001103,AP00006,Vacation,2023-01-26,2023-02-10,2023-02-14,5,Approved,True
AR000000212,W00003752,AP00052,Sick Leave,2025-03-22,2025-04-05,2025-04-07,3,Cancelled,True
AR000000213,W00003044,AP00017,Sick Leave,2023-01-05,2023-02-27,2023-03-03,5,Approved,True
AR000000214,W00000245,AP00021,Vacation,2022-05-23,2022-05-24,2022-05-31,8,Pending,True
AR000000215,W00003796,AP00042,Sick Leave,2021-10-25,2021-11-11,2021-11-14,4,Approved,True
AR000000216,W00002415,AP00032,Sick Leave,2023-03-14,2023-03-27,2023-03-31,5,Approved,True
AR000000217,W00003009,AP00020,Bereavement Leave,2023-10-09,2023-11-03,2023-11-07,5,Approved,True
AR000000218,W00002048,AP00035,Bereavement Leave,2023-07-16,2023-08-28,2023-08-28,1,Approved,True
AR000000219,W00002543,AP00032,Sick Leave,2022-01-28,2022-03-22,2022-03-24,3,Approved,True
AR000000220,W00001546,AP00019,Parental Leave,2021-02-11,2021-03-27,2021-05-15,50,Denied,True
AR000000221,W00003398,AP00061,Vacation,2025-02-13,2025-04-13,2025-04-19,7,Approved,True
AR000000222,W00001477,AP00016,Vacation,2025-10-26,2025-12-02,2025-12-03,2,Approved,True
AR000000223,W00003907,AP00027,Sick Leave,2024-01-22,2024-02-14,2024-02-18,5,Approved,True
AR000000224,W00004811,AP00039,Parental Leave,2025-08-25,2025-09-05,2025-10-30,56,Approved,True
AR000000225,W00004878,AP00047,Sick Leave,2025-10-05,2025-12-03,2025-12-07,5,Pending,True
AR000000226,W00004029,AP00020,Bereavement Leave,2023-02-23,2023-03-11,2023-03-11,1,Approved,True
AR000000227,W00000969,AP00020,Bereavement Leave,2024-07-31,2024-08-03,2024-08-04,2,Approved,True
AR000000228,W00002249,AP00014,Parental Leave,2022-06-25,2022-07-25,2022-10-07,75,Approved,True
AR000000229,W00004065,AP00063,Personal Leave,2022-01-17,2022-02-11,2022-02-13,3,Approved,True
AR000000230,W00002110,AP00064,Parental Leave,2024-03-16,2024-04-21,2024-08-12,114,Approved,True
AR000000231,W00000023,AP00040,Bereavement Leave,2024-04-27,2024-06-03,2024-06-06,4,Approved,True
AR000000232,W00003018,AP00043,Personal Leave,2025-09-15,2025-10-19,2025-10-20,2,Approved,True
AR000000233,W00000996,AP00051,Vacation,2021-05-20,2021-05-27,2021-06-01,6,Denied,True
AR000000234,W00001203,AP00001,Vacation,2025-09-05,2025-10-24,2025-10-28,5,Approved,True
AR000000235,W00004799,AP00039,Parental Leave,2022-03-17,2022-04-26,2022-06-05,41,Approved,True
AR000000236,W00003787,AP00031,Vacation,2025-01-26,2025-02-06,2025-02-12,7,Denied,True
AR000000237,W00003625,AP00010,Bereavement Leave,2022-03-07,2022-04-22,2022-04-26,5,Approved,True
AR000000238,W00003691,AP00018,Personal Leave,2024-03-05,2024-04-14,2024-04-15,2,Cancelled,True
AR000000239,W00000810,AP00056,Vacation,2024-04-14,2024-06-06,2024-06-13,8,Approved,True
AR000000240,W00001616,AP00030,Bereavement Leave,2021-08-10,2021-09-29,2021-10-01,3,Pending,True
AR000000241,W00004610,AP00035,Bereavement Leave,2025-08-01,2025-09-14,2025-09-17,4,Approved,True
AR000000242,W00001162,AP00032,Sick Leave,2022-07-08,2022-08-02,2022-08-04,3,Pending,True
AR000000243,W00004737,AP00056,Vacation,2024-12-04,2025-01-06,2025-01-09,4,Approved,True
AR000000244,W00000212,AP00003,Personal Leave,2024-02-03,2024-03-22,2024-03-24,3,Approved,True
AR000000245,W00002365,AP00052,Sick Leave,2025-02-12,2025-03-23,2025-03-27,5,Approved,True
AR000000246,W00002739,AP00007,Sick Leave,2023-04-06,2023-04-14,2023-04-18,5,Approved,True
AR000000247,W00004373,AP00047,Sick Leave,2024-04-18,2024-06-13,2024-06-17,5,Approved,True
AR000000248,W00003694,AP00002,Sick Leave,2022-10-18,2022-11-08,2022-11-10,3,Approved,True
AR000000249,W00003777,AP00031,Vacation,2021-09-02,2021-10-26,2021-11-03,9,Pending,True
AR000000250,W00002375,AP00053,Personal Leave,2021-11-03,2021-11-08,2021-11-12,5,Approved,True
AR000000251,W00002971,AP00065,Bereavement Leave,2023-07-15,2023-08-27,2023-08-31,5,Pending,True
AR000000252,W00002698,AP00061,Vacation,2022-01-17,2022-01-22,2022-02-01,11,Approved,True
AR000000253,W00002657,AP00048,Personal Leave,2023-06-14,2023-08-03,2023-08-04,2,Approved,True
AR000000254,W00003793,AP00065,Bereavement Leave,2022-04-26,2022-06-09,2022-06-13,5,Approved,True
AR000000255,W00000422,AP00004,Parental Leave,2024-11-17,2024-12-06,2025-02-08,65,Approved,True
AR000000256,W00004460,AP00057,Sick Leave,2025-10-18,2025-10-30,2025-11-03,5,Denied,True
AR000000257,W00000051,AP00061,Vacation,2025-01-28,2025-02-13,2025-02-17,5,Cancelled,True
AR000000258,W00000545,AP00044,Parental Leave,2024-04-02,2024-05-31,2024-07-25,56,Pending,True
AR000000259,W00003454,AP00042,Sick Leave,2023-04-14,2023-06-13,2023-06-15,3,Approved,True
AR000000260,W00000673,AP00065,Bereavement Leave,2021-09-06,2021-10-28,2021-10-31,4,Approved,True
AR000000261,W00003103,AP00051,Vacation,2025-05-25,2025-07-19,2025-07-29,11,Approved,True
AR000000262,W00002829,AP00053,Personal Leave,2025-04-07,2025-05-25,2025-05-28,4,Approved,True
AR000000263,W00000287,AP00037,Sick Leave,2023-02-10,2023-03-11,2023-03-12,2,Pending,True
AR000000264,W00001337,AP00034,Parental Leave,2025-11-22,2025-12-01,2026-02-03,65,Approved,True
AR000000265,W00003230,AP00001,Vacation,2022-05-13,2022-05-28,2022-06-03,7,Denied,True
AR000000266,W00003005,AP00042,Sick Leave,2023-02-01,2023-03-30,2023-04-02,4,Approved,True
