assessment_id,worker_id,skill_id,assessment_date,assessor_type,previous_level,current_level,assessment_method
SA000000104,W00000017,SK00026,2026-05-26,System,1,2,Course Assessment
SA000000106,W00000017,SK00027,2026-03-01,Manager,3,3,Manager Review
SA000000107,W00000017,SK00028,2024-11-05,Self,3,4,Self Review
SA000000105,W00000017,SK00029,2025-06-13,Self,2,2,Project Evidence
SA000000103,W00000017,SK00033,2025-01-05,System,3,3,Course Assessment
SA000000110,W00000017,SK00036,2025-09-22,System,1,2,Certification Exam
SA000000116,W00000018,SK00002,2024-09-12,System,4,4,Certification Exam
SA000000117,W00000018,SK00002,2024-12-21,Manager,3,4,Manager Review
SA000000115,W00000018,SK00003,2025-09-07,Manager,3,4,Manager Review
SA000000111,W00000018,SK00024,2025-09-06,Self,2,3,Project Evidence
SA000000119,W00000018,SK00025,2024-12-10,System,4,4,Certification Exam
SA000000118,W00000018,SK00025,2025-12-29,Self,4,4,Project Evidence
SA000000113,W00000018,SK00026,2025-08-05,Self,2,3,Project Evidence
SA000000112,W00000018,SK00032,2026-05-28,Manager,1,2,Manager Review
SA000000114,W00000018,SK00036,2025-06-14,System,4,4,Course Assessment
SA000000128,W00000019,SK00021,2024-07-15,Self,4,4,Self Review
SA000000121,W00000019,SK00026,2025-05-21,Self,2,2,Project Evidence
SA000000122,W00000019,SK00026,2026-04-15,Self,2,2,Self Review
SA000000127,W00000019,SK00028,2026-05-21,Self,3,4,Self Review
SA000000126,W00000019,SK00028,2026-06-18,Self,4,4,Self Review
SA000000125,W00000019,SK00029,2025-07-19,Manager,2,3,Manager Review
SA000000123,W00000019,SK00029,2026-06-01,System,3,3,Course Assessment
SA000000124,W00000019,SK00029,2026-06-23,Self,3,3,Self Review
SA000000120,W00000019,SK00033,2025-06-06,Manager,2,2,Manager Review
SA000000134,W00000020,SK00004,2024-11-30,Manager,2,2,Manager Review
SA000000133,W00000020,SK00004,2026-06-19,Self,2,2,Self Review
SA000000132,W00000020,SK00015,2025-12-07,System,3,3,Course Assessment
SA000000129,W00000020,SK00024,2026-03-01,Manager,2,2,Manager Review
SA000000130,W00000020,SK00035,2025-06-15,System,2,2,Course Assessment
SA000000135,W00000020,SK00036,2024-10-15,Self,2,2,Self Review
SA000000131,W00000020,SK00039,2025-01-10,System,3,4,Course Assessment
SA000000140,W00000021,SK00002,2026-01-31,System,2,2,Certification Exam
SA000000137,W00000021,SK00007,2024-07-15,System,4,4,Certification Exam
SA000000138,W00000021,SK00008,2024-08-10,Manager,2,2,Manager Review
SA000000142,W00000021,SK00009,2025-10-12,Self,3,3,Project Evidence
SA000000141,W00000021,SK00009,2026-06-07,System,3,3,Certification Exam
SA000000139,W00000021,SK00021,2026-03-25,Self,3,3,Project Evidence
SA000000136,W00000021,SK00031,2025-11-27,System,1,1,Certification Exam
SA000000146,W00000022,SK00013,2024-11-15,Self,1,1,Self Review
SA000000147,W00000022,SK00025,2024-07-24,Self,4,4,Self Review
SA000000148,W00000022,SK00025,2024-08-27,Self,4,4,Self Review
SA000000143,W00000022,SK00026,2024-08-23,Manager,3,4,Manager Review
SA000000144,W00000022,SK00027,2026-05-10,Manager,1,2,Manager Review
SA000000145,W00000022,SK00033,2026-06-23,Self,3,3,Self Review
SA000000151,W00000023,SK00026,2025-08-23,Self,1,2,Project Evidence
SA000000156,W00000023,SK00027,2024-12-24,Manager,3,3,Manager Review
SA000000154,W00000023,SK00027,2026-03-21,System,2,3,Course Assessment
SA000000155,W00000023,SK00027,2026-05-05,System,3,3,Course Assessment
SA000000153,W00000023,SK00029,2026-05-07,Self,3,4,Self Review
SA000000149,W00000023,SK00030,2024-09-17,System,4,4,Certification Exam
SA000000150,W00000023,SK00031,2026-01-27,System,1,2,Course Assessment
SA000000158,W00000023,SK00033,2025-10-28,System,3,4,Course Assessment
SA000000157,W00000023,SK00033,2026-05-10,Self,3,4,Project Evidence
SA000000152,W00000023,SK00035,2026-05-22,Self,3,3,Project Evidence
SA000000162,W00000024,SK00011,2026-06-21,System,2,2,Course Assessment
SA000000164,W00000024,SK00016,2025-03-25,System,3,3,Course Assessment
SA000000165,W00000024,SK00016,2025-07-15,Manager,2,3,Manager Review
SA000000161,W00000024,SK00018,2025-10-15,Self,3,3,Self Review
SA000000166,W00000024,SK00020,2026-05-12,Self,5,5,Project Evidence
SA000000160,W00000024,SK00026,2024-08-31,Self,4,4,Self Review
SA000000163,W00000024,SK00027,2025-10-28,System,5,5,Course Assessment
SA000000159,W00000024,SK00038,2024-07-04,Manager,3,3,Manager Review
SA000000173,W00000025,SK00003,2024-10-06,System,1,1,Course Assessment
SA000000172,W00000025,SK00003,2025-04-03,Manager,1,1,Manager Review
SA000000174,W00000025,SK00009,2025-06-08,Manager,4,4,Manager Review
SA000000167,W00000025,SK00018,2025-04-29,System,2,3,Course Assessment
SA000000169,W00000025,SK00027,2025-03-29,System,3,3,Certification Exam
SA000000170,W00000025,SK00028,2025-04-30,Manager,5,5,Manager Review
SA000000171,W00000025,SK00028,2026-01-04,System,4,5,Course Assessment
SA000000168,W00000025,SK00035,2025-11-13,Self,4,4,Self Review
SA000000180,W00000026,SK00015,2025-09-09,Manager,2,2,Manager Review
SA000000178,W00000026,SK00026,2025-06-13,Self,5,5,Self Review
SA000000177,W00000026,SK00026,2026-04-05,Manager,5,5,Manager Review
SA000000179,W00000026,SK00029,2025-04-27,Manager,4,4,Manager Review
SA000000176,W00000026,SK00034,2024-10-15,System,4,4,Course Assessment
SA000000175,W00000026,SK00034,2025-07-19,Self,4,4,Self Review
SA000000181,W00000026,SK00040,2026-02-13,Manager,1,2,Manager Review
SA000000188,W00000027,SK00005,2026-05-13,System,5,5,Course Assessment
SA000000189,W00000027,SK00008,2026-04-21,Self,2,3,Self Review
SA000000185,W00000027,SK00009,2024-08-02,System,3,3,Certification Exam
SA000000183,W00000027,SK00010,2025-06-27,Manager,3,3,Manager Review
SA000000184,W00000027,SK00015,2024-09-22,Self,3,4,Self Review
SA000000187,W00000027,SK00019,2024-09-25,Self,3,3,Project Evidence
SA000000186,W00000027,SK00019,2025-01-03,System,2,3,Course Assessment
SA000000182,W00000027,SK00030,2026-03-25,Self,5,5,Project Evidence
SA000000195,W00000028,SK00005,2025-08-25,System,3,3,Course Assessment
SA000000193,W00000028,SK00007,2025-07-08,System,3,3,Certification Exam
SA000000196,W00000028,SK00008,2025-10-24,Self,4,4,Self Review
SA000000191,W00000028,SK00010,2025-05-07,Manager,5,5,Manager Review
SA000000190,W00000028,SK00010,2026-02-03,Manager,4,5,Manager Review
SA000000194,W00000028,SK00037,2024-11-05,Self,3,3,Self Review
SA000000192,W00000028,SK00038,2026-03-20,System,4,4,Certification Exam
SA000000201,W00000029,SK00005,2025-01-05,System,2,2,Certification Exam
SA000000202,W00000029,SK00005,2026-04-28,Self,2,2,Self Review
SA000000198,W00000029,SK00006,2024-12-30,Self,2,3,Self Review
SA000000203,W00000029,SK00008,2025-08-03,Self,5,5,Project Evidence
SA000000197,W00000029,SK00010,2025-06-27,Manager,3,4,Manager Review
SA000000200,W00000029,SK00021,2025-12-14,Self,4,4,Self Review
SA000000199,W00000029,SK00023,2024-08-13,Self,2,3,Project Evidence
SA000000209,W00000030,SK00008,2025-01-18,System,2,2,Certification Exam
SA000000207,W00000030,SK00011,2025-06-08,System,3,3,Course Assessment
SA000000206,W00000030,SK00015,2025-03-19,Manager,4,4,Manager Review
SA000000205,W00000030,SK00015,2025-03-22,System,4,4,Course Assessment
SA000000204,W00000030,SK00026,2026-06-16,Self,2,2,Self Review
SA000000208,W00000030,SK00027,2025-09-18,System,3,3,Course Assessment
SA000000213,W00000031,SK00026,2025-07-18,System,2,3,Certification Exam
SA000000211,W00000031,SK00026,2025-08-03,Self,3,3,Self Review
SA000000212,W00000031,SK00026,2025-10-21,System,3,3,Certification Exam
SA000000215,W00000031,SK00027,2024-11-26,Self,2,2,Self Review
SA000000216,W00000031,SK00028,2026-01-16,Manager,4,4,Manager Review
SA000000214,W00000031,SK00032,2025-09-08,System,3,4,Course Assessment
SA000000217,W00000031,SK00033,2026-05-05,System,3,3,Certification Exam
SA000000210,W00000031,SK00038,2026-06-18,Manager,2,3,Manager Review
SA000000227,W00000032,SK00001,2024-11-05,Self,4,4,Project Evidence
SA000000226,W00000032,SK00003,2025-04-07,Manager,4,4,Manager Review
SA000000225,W00000032,SK00004,2026-01-13,System,1,1,Certification Exam
SA000000221,W00000032,SK00007,2026-02-16,System,4,4,Course Assessment
SA000000224,W00000032,SK00029,2024-11-30,Self,2,3,Self Review
SA000000223,W00000032,SK00029,2024-12-24,System,3,3,Course Assessment
SA000000222,W00000032,SK00029,2025-10-12,System,2,3,Certification Exam
SA000000219,W00000032,SK00030,2024-07-12,System,4,4,Certification Exam
SA000000220,W00000032,SK00030,2026-05-13,System,4,4,Course Assessment
SA000000218,W00000032,SK00034,2025-11-28,System,3,3,Certification Exam
SA000000231,W00000035,SK00010,2025-03-17,Manager,3,3,Manager Review
SA000000234,W00000035,SK00019,2025-12-14,System,3,4,Certification Exam
SA000000232,W00000035,SK00023,2024-08-29,Self,2,2,Self Review
SA000000233,W00000035,SK00023,2025-11-26,Manager,1,2,Manager Review
SA000000228,W00000035,SK00024,2025-06-08,Self,2,3,Project Evidence
SA000000229,W00000035,SK00024,2025-08-17,System,3,3,Course Assessment
SA000000236,W00000035,SK00028,2025-12-11,System,2,2,Course Assessment
SA000000235,W00000035,SK00028,2026-05-07,Self,1,2,Self Review
SA000000230,W00000035,SK00033,2024-10-28,Self,1,1,Self Review
SA000000242,W00000036,SK00007,2024-08-10,Manager,3,4,Manager Review
SA000000245,W00000036,SK00013,2025-08-29,Self,3,4,Self Review
SA000000243,W00000036,SK00016,2026-04-19,Self,2,2,Self Review
SA000000240,W00000036,SK00018,2024-10-02,System,3,4,Certification Exam
SA000000239,W00000036,SK00018,2025-07-13,Self,3,4,Self Review
SA000000241,W00000036,SK00018,2026-05-20,System,4,4,Certification Exam
SA000000246,W00000036,SK00025,2024-07-26,System,2,3,Certification Exam
SA000000247,W00000036,SK00025,2025-12-17,System,3,3,Course Assessment
SA000000238,W00000036,SK00026,2025-12-07,System,4,4,Course Assessment
SA000000237,W00000036,SK00031,2024-12-27,System,2,2,Certification Exam
SA000000244,W00000036,SK00037,2025-06-02,Self,2,3,Self Review
SA000000252,W00000037,SK00023,2024-12-24,Self,3,4,Self Review
SA000000251,W00000037,SK00023,2026-02-06,Manager,4,4,Manager Review
SA000000253,W00000037,SK00028,2025-07-18,System,2,2,Course Assessment
SA000000249,W00000037,SK00029,2024-12-22,System,4,5,Course Assessment
SA000000250,W00000037,SK00029,2025-10-09,Self,5,5,Project Evidence
SA000000248,W00000037,SK00029,2026-04-22,Manager,5,5,Manager Review
SA000000254,W00000037,SK00033,2025-01-22,Self,4,5,Project Evidence
SA000000260,W00000038,SK00017,2024-09-27,Self,1,1,Self Review
SA000000263,W00000038,SK00021,2024-12-17,Self,4,4,Self Review
SA000000255,W00000038,SK00024,2025-11-04,System,3,3,Certification Exam
SA000000261,W00000038,SK00026,2025-03-16,System,4,4,Certification Exam
SA000000262,W00000038,SK00029,2024-12-09,Self,5,5,Self Review
SA000000257,W00000038,SK00030,2025-02-23,Manager,2,2,Manager Review
SA000000256,W00000038,SK00030,2025-04-03,Self,2,2,Self Review
SA000000258,W00000038,SK00033,2025-12-12,Self,1,2,Self Review
SA000000259,W00000038,SK00038,2025-12-20,System,1,2,Course Assessment
SA000000270,W00000039,SK00011,2024-08-04,Self,2,2,Self Review
SA000000271,W00000039,SK00011,2026-04-24,Self,2,2,Self Review
SA000000269,W00000039,SK00018,2025-02-26,Self,2,2,Project Evidence
SA000000267,W00000039,SK00023,2024-07-23,Manager,3,4,Manager Review
SA000000266,W00000039,SK00023,2024-08-14,Manager,4,4,Manager Review
SA000000268,W00000039,SK00023,2025-02-16,Self,4,4,Self Review
SA000000264,W00000039,SK00031,2025-04-02,Self,3,3,Self Review
SA000000265,W00000039,SK00031,2026-01-18,System,2,3,Course Assessment
SA000000272,W00000040,SK00022,2025-11-06,System,3,4,Certification Exam
SA000000273,W00000040,SK00026,2026-04-03,Manager,2,2,Manager Review
SA000000274,W00000040,SK00027,2026-01-08,Self,4,5,Self Review
SA000000275,W00000040,SK00028,2024-10-17,Self,2,2,Self Review
SA000000278,W00000041,SK00006,2025-04-14,Manager,3,3,Manager Review
SA000000279,W00000041,SK00007,2024-09-11,Manager,1,1,Manager Review
SA000000276,W00000041,SK00010,2025-06-28,System,3,4,Certification Exam
SA000000277,W00000041,SK00023,2024-09-05,Manager,4,4,Manager Review
SA000000286,W00000042,SK00005,2026-04-22,Self,2,3,Project Evidence
SA000000283,W00000042,SK00007,2024-12-22,Self,2,3,Project Evidence
SA000000282,W00000042,SK00007,2025-02-17,Self,3,3,Project Evidence
SA000000284,W00000042,SK00007,2025-08-04,Self,2,3,Project Evidence
SA000000287,W00000042,SK00009,2024-08-04,Manager,1,2,Manager Review
SA000000288,W00000042,SK00009,2025-10-12,Self,2,2,Self Review
SA000000289,W00000042,SK00009,2026-06-15,Manager,2,2,Manager Review
SA000000280,W00000042,SK00010,2025-01-01,System,4,4,Course Assessment
SA000000281,W00000042,SK00026,2025-09-30,System,1,2,Certification Exam
SA000000285,W00000042,SK00028,2026-04-30,Manager,3,3,Manager Review
SA000000292,W00000043,SK00007,2025-04-05,System,3,3,Course Assessment
SA000000290,W00000043,SK00017,2025-07-23,System,2,2,Course Assessment
SA000000296,W00000043,SK00021,2024-09-08,Manager,3,3,Manager Review
SA000000291,W00000043,SK00026,2025-08-08,Manager,4,4,Manager Review
SA000000294,W00000043,SK00027,2026-06-23,Manager,3,3,Manager Review
SA000000295,W00000043,SK00028,2025-08-25,System,4,4,Course Assessment
SA000000293,W00000043,SK00029,2025-06-29,System,2,3,Course Assessment
SA000000297,W00000044,SK00024,2026-05-18,System,1,2,Course Assessment
SA000000300,W00000044,SK00026,2024-08-01,Manager,5,5,Manager Review
SA000000299,W00000044,SK00026,2025-08-14,System,5,5,Course Assessment
SA000000298,W00000044,SK00026,2026-06-02,Manager,4,5,Manager Review
SA000000302,W00000044,SK00027,2025-04-03,System,2,2,Course Assessment
SA000000301,W00000044,SK00029,2026-03-22,Self,3,3,Project Evidence
SA000000303,W00000044,SK00033,2026-03-30,System,1,2,Course Assessment
SA000000310,W00000045,SK00002,2025-09-08,System,3,3,Course Assessment
SA000000311,W00000045,SK00005,2025-02-01,Self,2,2,Self Review
SA000000312,W00000045,SK00005,2026-06-15,System,1,2,Course Assessment
SA000000306,W00000045,SK00006,2025-10-20,Manager,1,2,Manager Review
SA000000308,W00000045,SK00007,2025-02-25,Manager,1,2,Manager Review
SA000000307,W00000045,SK00007,2025-05-22,Self,1,2,Project Evidence
SA000000315,W00000045,SK00008,2026-02-17,Self,2,3,Self Review
SA000000309,W00000045,SK00014,2024-11-16,Self,1,2,Self Review
SA000000314,W00000045,SK00025,2025-03-31,Self,3,3,Self Review
SA000000313,W00000045,SK00025,2026-06-23,System,3,3,Certification Exam
SA000000304,W00000045,SK00034,2024-11-28,Self,2,3,Self Review
SA000000305,W00000045,SK00034,2025-04-03,Self,2,3,Self Review
SA000000319,W00000046,SK00001,2025-01-23,Self,3,4,Project Evidence
SA000000320,W00000046,SK00001,2025-12-31,Self,3,4,Project Evidence
SA000000321,W00000046,SK00008,2024-10-09,System,1,1,Certification Exam
SA000000316,W00000046,SK00026,2024-12-25,Self,3,3,Project Evidence
SA000000318,W00000046,SK00027,2026-01-01,Self,3,3,Project Evidence
SA000000317,W00000046,SK00029,2024-07-14,Manager,3,4,Manager Review
SA000000327,W00000047,SK00002,2025-07-04,Self,4,4,Project Evidence
SA000000324,W00000047,SK00008,2025-09-19,Manager,3,3,Manager Review
SA000000329,W00000047,SK00009,2025-12-08,System,3,3,Course Assessment
SA000000322,W00000047,SK00010,2024-12-27,System,3,4,Course Assessment
SA000000325,W00000047,SK00011,2024-07-28,System,2,2,Certification Exam
SA000000326,W00000047,SK00021,2024-12-05,Self,1,2,Project Evidence
SA000000323,W00000047,SK00026,2025-06-05,System,4,4,Course Assessment
SA000000328,W00000047,SK00040,2025-09-23,Self,2,2,Self Review
SA000000339,W00000048,SK00005,2026-01-03,Self,3,3,Self Review
SA000000331,W00000048,SK00010,2025-07-28,System,3,3,Course Assessment
SA000000332,W00000048,SK00010,2025-09-14,Manager,3,3,Manager Review
SA000000330,W00000048,SK00010,2026-03-16,System,3,3,Course Assessment
SA000000338,W00000048,SK00021,2025-12-02,Manager,3,4,Manager Review
SA000000333,W00000048,SK00026,2025-01-24,Self,3,3,Self Review
SA000000334,W00000048,SK00026,2026-04-26,System,3,3,Course Assessment
SA000000336,W00000048,SK00027,2024-07-29,Self,4,4,Self Review
SA000000337,W00000048,SK00028,2024-10-22,System,3,3,Course Assessment
SA000000335,W00000048,SK00029,2025-07-27,Self,2,3,Self Review
SA000000344,W00000049,SK00003,2025-03-09,System,3,3,Course Assessment
SA000000345,W00000049,SK00005,2024-10-15,Manager,3,3,Manager Review
SA000000346,W00000049,SK00005,2025-07-30,System,3,3,Course Assessment
SA000000341,W00000049,SK00007,2024-12-01,Manager,3,3,Manager Review
SA000000347,W00000049,SK00012,2025-05-17,Self,2,3,Self Review
SA000000343,W00000049,SK00016,2025-09-28,Manager,3,3,Manager Review
SA000000342,W00000049,SK00029,2024-08-06,System,2,3,Course Assessment
SA000000340,W00000049,SK00034,2025-05-05,Self,2,2,Self Review
SA000000357,W00000050,SK00005,2026-05-30,System,3,4,Course Assessment
SA000000350,W00000050,SK00006,2025-05-15,Manager,4,5,Manager Review
SA000000351,W00000050,SK00006,2025-07-19,Self,5,5,Project Evidence
SA000000352,W00000050,SK00006,2026-05-12,Manager,5,5,Manager Review
SA000000353,W00000050,SK00007,2025-12-31,Self,2,2,Project Evidence
SA000000354,W00000050,SK00008,2025-12-13,System,2,2,Certification Exam
SA000000358,W00000050,SK00009,2025-01-31,Manager,1,1,Manager Review
SA000000349,W00000050,SK00010,2025-03-26,Manager,1,2,Manager Review
SA000000356,W00000050,SK00028,2024-12-08,System,1,2,Course Assessment
SA000000355,W00000050,SK00028,2025-10-02,System,1,2,Certification Exam
SA000000348,W00000050,SK00034,2026-03-25,Self,1,1,Project Evidence
SA000000364,W00000051,SK00011,2025-01-17,System,2,3,Certification Exam
SA000000363,W00000051,SK00011,2026-03-17,Self,3,3,Self Review
SA000000367,W00000051,SK00013,2024-12-31,System,1,1,Course Assessment
SA000000366,W00000051,SK00013,2026-03-17,Self,1,1,Project Evidence
SA000000362,W00000051,SK00018,2025-01-06,Self,3,3,Self Review
SA000000359,W00000051,SK00024,2025-10-24,Self,2,3,Self Review
SA000000361,W00000051,SK00026,2024-08-21,System,3,4,Certification Exam
SA000000365,W00000051,SK00027,2026-04-20,Manager,2,2,Manager Review
SA000000360,W00000051,SK00031,2024-08-23,Self,3,3,Self Review
SA000000370,W00000052,SK00006,2026-02-21,System,3,3,Certification Exam
SA000000373,W00000052,SK00016,2025-12-28,System,2,3,Course Assessment
SA000000368,W00000052,SK00024,2025-04-14,Self,1,1,Self Review
SA000000369,W00000052,SK00024,2025-08-24,System,1,1,Course Assessment
SA000000375,W00000052,SK00025,2026-02-14,Self,4,4,Self Review
SA000000372,W00000052,SK00029,2025-09-16,Self,4,5,Self Review
SA000000371,W00000052,SK00029,2025-11-27,Manager,5,5,Manager Review
SA000000374,W00000052,SK00033,2026-02-05,Manager,2,2,Manager Review
SA000000384,W00000054,SK00005,2024-07-03,Manager,3,3,Manager Review
SA000000385,W00000054,SK00008,2024-12-02,System,4,4,Certification Exam
SA000000380,W00000054,SK00027,2026-03-26,System,3,3,Certification Exam
SA000000376,W00000054,SK00030,2026-06-04,Self,2,3,Project Evidence
SA000000382,W00000054,SK00033,2024-10-08,Self,2,2,Self Review
SA000000381,W00000054,SK00033,2025-09-06,Manager,2,2,Manager Review
SA000000383,W00000054,SK00033,2026-01-18,Self,2,2,Self Review
SA000000378,W00000054,SK00040,2024-09-23,Manager,3,4,Manager Review
SA000000377,W00000054,SK00040,2025-01-04,Self,4,4,Self Review
SA000000379,W00000054,SK00040,2025-11-29,Manager,4,4,Manager Review
