performance_review_id,worker_id,review_year,review_cycle,review_type,overall_rating,overall_rating_label,potential_rating,promotion_readiness,gen_ai_readiness,manager_rating,self_rating,calibration_adjustment,review_status,review_completion_date
PR00000052,W00000014,2024,2024 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,High,4,4,None,Completed,2025-02-13
PR00000053,W00000014,2025,2025 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Medium,5,5,None,Completed,2026-03-04
PR00000054,W00000015,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Low,3,3,None,Completed,2022-01-16
PR00000055,W00000015,2022,2022 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Expert,2,3,Upward,Completed,2023-04-28
PR00000056,W00000015,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,High,4,5,None,Completed,2024-03-05
PR00000057,W00000015,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,High,3,3,None,Completed,2025-03-11
PR00000058,W00000015,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,4,None,Completed,2026-01-10
PR00000059,W00000016,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,Low,4,4,None,Completed,2022-03-27
PR00000060,W00000016,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Medium,2,2,None,Completed,2023-03-20
PR00000061,W00000016,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,High,4,4,None,Completed,2024-04-08
PR00000062,W00000016,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Medium,2,3,None,Completed,2025-03-27
PR00000063,W00000016,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Low,3,3,None,Completed,2026-03-25
PR00000064,W00000017,2021,2021 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 3+ Years,High,1,1,None,Completed,2022-03-21
PR00000065,W00000017,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,Expert,2,2,None,Completed,2023-04-21
PR00000066,W00000017,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,High,2,2,None,Completed,2024-02-27
PR00000067,W00000017,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,Low,2,2,None,Completed,2025-01-26
PR00000068,W00000017,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,4,None,Completed,2026-02-15
PR00000069,W00000018,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Canceled,
PR00000070,W00000018,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Expert,2,2,Upward,Completed,2023-02-05
PR00000071,W00000018,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Low,3,3,None,Completed,2024-02-14
PR00000072,W00000018,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,3,None,Completed,2025-02-09
PR00000073,W00000018,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,High,4,4,None,Completed,2026-01-02
PR00000074,W00000019,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,4,None,Completed,2022-03-08
PR00000075,W00000019,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 2 Years,High,3,4,Upward,Completed,2023-03-06
PR00000076,W00000019,2023,2023 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 2 Years,Expert,3,2,None,Completed,2024-02-28
PR00000077,W00000019,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Exceptional,Ready in 3+ Years,High,2,3,None,Completed,2025-02-10
PR00000078,W00000019,2025,2025 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,High,5,5,None,Not Started,
PR00000079,W00000020,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready Now,Expert,3,4,None,Completed,2026-02-09
PR00000080,W00000021,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Low,3,4,None,Completed,2022-03-09
PR00000081,W00000021,2022,2022 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 2 Years,High,2,4,Upward,Completed,2023-02-14
PR00000082,W00000021,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,High,4,3,None,Completed,2024-02-02
PR00000083,W00000021,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Low,2,2,None,Completed,2025-01-27
PR00000084,W00000021,2025,2025 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Low,5,5,None,Completed,2026-02-20
PR00000085,W00000022,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Medium,3,3,None,Completed,2022-03-27
PR00000086,W00000022,2022,2022 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 2 Years,Medium,4,5,Upward,Completed,2023-03-02
PR00000087,W00000022,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,2,4,Upward,Completed,2024-03-01
PR00000088,W00000022,2024,2024 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,High,5,5,None,Completed,2025-01-24
PR00000089,W00000022,2025,2025 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 1 Year,Low,5,5,None,Completed,2026-01-21
PR00000090,W00000023,2023,2023 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 3+ Years,High,3,3,None,Completed,2024-04-20
PR00000091,W00000023,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2025-01-17
PR00000092,W00000023,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 3+ Years,Low,3,2,Downward,Completed,2026-02-17
PR00000093,W00000024,2023,2023 Annual Review,Annual,5,Outstanding,Moderate,Ready in 2 Years,Low,5,5,None,Completed,2024-02-10
PR00000094,W00000024,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Low,4,4,Downward,Completed,2025-01-07
PR00000095,W00000024,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Low,2,4,Upward,Completed,2026-02-13
PR00000096,W00000025,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,2,3,Upward,Completed,2024-03-28
PR00000097,W00000025,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,2,3,Upward,In Progress,
PR00000098,W00000025,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Low,3,4,None,Completed,2026-02-27
PR00000099,W00000026,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Low,3,4,None,Completed,2026-02-17
PR00000100,W00000027,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,Medium,2,2,None,Completed,2023-03-11
PR00000101,W00000027,2023,2023 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,High,5,5,None,Completed,2024-04-28
PR00000102,W00000027,2024,2024 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready Now,Medium,3,3,None,Completed,2025-03-03
PR00000103,W00000027,2025,2025 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Medium,3,4,Upward,Completed,2026-02-27
PR00000104,W00000028,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,3,None,Completed,2023-03-20
PR00000105,W00000028,2023,2023 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 2 Years,Expert,3,4,None,Completed,2024-02-16
PR00000106,W00000028,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,Expert,4,4,None,Completed,2025-01-18
PR00000107,W00000028,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,Medium,4,5,None,Completed,2026-02-17
PR00000108,W00000029,2021,2021 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 2 Years,Medium,2,1,None,In Progress,
PR00000109,W00000029,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,4,None,Completed,2023-02-28
PR00000110,W00000029,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,High,3,3,None,Completed,2024-03-28
PR00000111,W00000029,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Low,3,3,None,Completed,2025-04-26
PR00000112,W00000029,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Medium,3,4,None,Completed,2026-03-19
PR00000113,W00000030,2021,2021 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 3+ Years,High,3,4,None,Completed,2022-01-05
PR00000114,W00000030,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 3+ Years,Medium,2,3,None,Completed,2023-03-02
PR00000115,W00000030,2023,2023 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 3+ Years,Low,3,3,None,Completed,2024-02-26
PR00000116,W00000030,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 3+ Years,Expert,2,2,None,In Progress,
PR00000117,W00000030,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 2 Years,Medium,4,4,None,Completed,2026-02-02
PR00000118,W00000031,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Medium,3,3,None,Completed,2022-03-03
PR00000119,W00000031,2022,2022 Annual Review,Annual,3,Meets Expectations,High,Ready Now,Medium,3,3,None,Completed,2023-04-17
PR00000120,W00000031,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,High,4,3,Downward,Completed,2024-01-16
PR00000121,W00000031,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 1 Year,Medium,4,4,None,Completed,2025-01-21
PR00000122,W00000031,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,Medium,4,4,None,Completed,2026-02-25
PR00000123,W00000032,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Medium,2,2,None,Completed,2026-02-21
PR00000124,W00000033,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Medium,3,3,None,Canceled,
PR00000125,W00000033,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Medium,3,4,Upward,Completed,2023-04-14
PR00000126,W00000033,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 3+ Years,Medium,4,4,None,Completed,2024-03-15
PR00000127,W00000033,2024,2024 Annual Review,Annual,5,Outstanding,Moderate,Ready in 2 Years,Medium,5,5,None,Completed,2025-01-17
PR00000128,W00000033,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Low,2,3,None,Completed,2026-04-16
PR00000129,W00000034,2022,2022 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,High,3,4,None,Completed,2023-03-15
PR00000130,W00000034,2023,2023 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,Expert,5,5,None,Completed,2024-03-22
PR00000131,W00000034,2024,2024 Annual Review,Annual,5,Outstanding,Exceptional,Ready Now,High,5,5,None,Completed,2025-01-12
PR00000132,W00000034,2025,2025 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 2 Years,Expert,5,5,None,Completed,2026-04-20
PR00000133,W00000035,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Low,3,3,None,Completed,2025-01-18
PR00000134,W00000035,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,3,None,Completed,2026-01-08
PR00000135,W00000036,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Low,4,4,None,Completed,2022-03-22
PR00000136,W00000036,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,4,None,Completed,2023-02-13
PR00000137,W00000036,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Low,3,4,None,Completed,2024-03-14
PR00000138,W00000036,2024,2024 Annual Review,Annual,1,Needs Improvement,High,Ready in 3+ Years,Medium,1,2,None,Completed,2025-03-14
PR00000139,W00000036,2025,2025 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,Expert,4,4,None,Completed,2026-01-22
PR00000140,W00000037,2021,2021 Annual Review,Annual,5,Outstanding,High,Ready in 2 Years,Medium,4,5,Upward,Completed,2022-04-12
PR00000141,W00000037,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Low,4,4,None,Completed,2023-02-25
PR00000142,W00000037,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,High,2,3,None,Completed,2024-02-23
PR00000143,W00000037,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready Now,High,4,4,None,Completed,2025-03-24
PR00000144,W00000037,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready Now,Low,3,3,None,Completed,2026-04-01
PR00000145,W00000038,2024,2024 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 2 Years,Low,5,5,None,Completed,2025-02-09
PR00000146,W00000038,2025,2025 Annual Review,Annual,3,Meets Expectations,Low,Ready in 3+ Years,Medium,3,3,None,Completed,2026-03-25
PR00000147,W00000039,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,3,None,Completed,2022-03-04
PR00000148,W00000039,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Medium,3,3,None,Completed,2023-04-14
PR00000149,W00000039,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,Medium,4,3,Downward,Completed,2024-04-20
PR00000150,W00000039,2024,2024 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 3+ Years,Expert,2,2,Downward,Completed,2025-02-14
PR00000151,W00000039,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,1,Downward,Completed,2026-02-25
PR00000152,W00000040,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,4,None,Completed,2022-02-26
PR00000153,W00000040,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Low,3,4,None,Completed,2023-03-12
PR00000154,W00000040,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,High,2,3,Upward,Completed,2024-02-08
PR00000155,W00000040,2024,2024 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,High,4,5,Upward,Completed,2025-03-21
PR00000156,W00000040,2025,2025 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,Medium,5,5,None,Completed,2026-01-16
PR00000157,W00000042,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,Medium,4,4,None,Completed,2022-03-09
PR00000158,W00000042,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,Medium,4,4,None,Completed,2023-03-07
PR00000159,W00000042,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,High,2,2,None,Completed,2024-02-04
PR00000160,W00000042,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,Expert,4,5,None,Completed,2025-03-02
PR00000161,W00000042,2025,2025 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,High,5,5,None,Completed,2026-03-25
PR00000162,W00000043,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,4,None,Completed,2022-01-17
PR00000163,W00000043,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2023-04-19
PR00000164,W00000043,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,5,None,Completed,2024-03-19
PR00000165,W00000043,2024,2024 Annual Review,Annual,5,Outstanding,Exceptional,Ready Now,High,5,5,None,Completed,2025-03-02
PR00000166,W00000043,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,High,4,5,None,Completed,2026-02-28
PR00000167,W00000044,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,3,None,Completed,2024-02-12
PR00000168,W00000044,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,Medium,2,2,None,Completed,2025-01-03
PR00000169,W00000044,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Medium,5,4,Downward,Completed,2026-03-06
PR00000170,W00000045,2021,2021 Annual Review,Annual,5,Outstanding,Moderate,Ready in 3+ Years,High,5,5,None,In Progress,
PR00000171,W00000045,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Low,4,4,None,Completed,2023-02-22
PR00000172,W00000045,2023,2023 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 2 Years,Medium,3,4,None,Completed,2024-03-19
PR00000173,W00000045,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,Low,4,4,None,Completed,2025-03-14
PR00000174,W00000045,2025,2025 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,High,3,4,Upward,Completed,2026-03-06
PR00000175,W00000046,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Medium,4,4,None,Completed,2022-03-02
PR00000176,W00000046,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Low,4,5,None,Completed,2023-01-10
PR00000177,W00000046,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,3,3,None,Completed,2024-03-20
PR00000178,W00000046,2024,2024 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Medium,4,4,None,Completed,2025-03-08
PR00000179,W00000046,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Expert,4,3,None,Completed,2026-01-21
PR00000180,W00000047,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 3+ Years,Expert,4,4,None,Completed,2022-03-18
PR00000181,W00000047,2022,2022 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 2 Years,Expert,1,1,None,Completed,2023-01-15
PR00000182,W00000047,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,High,4,4,None,Completed,2024-03-21
PR00000183,W00000047,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Expert,4,4,None,Completed,2025-02-08
PR00000184,W00000047,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,High,3,4,Upward,Completed,2026-02-01
PR00000185,W00000048,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 2 Years,Medium,4,4,None,Completed,2022-03-20
PR00000186,W00000048,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,High,4,4,None,Completed,2023-03-06
PR00000187,W00000048,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready Now,High,3,3,None,Completed,2024-03-21
PR00000188,W00000048,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,4,None,Completed,2025-02-07
PR00000189,W00000048,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Medium,4,5,None,Completed,2026-01-23
PR00000190,W00000049,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,3,4,None,In Progress,
PR00000191,W00000050,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,Medium,5,3,Downward,Completed,2026-02-15
PR00000192,W00000051,2021,2021 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,High,2,2,None,Completed,2022-01-12
