compensation_grade_id,global_grade,career_level,job_family,market_reference_zone,salary_band_min,salary_band_mid,salary_band_max,bonus_target,currency,country,geo_differential,gen_ai_impact_level,gen_ai_skill_premium,gen_ai_role_category
CG000015,G06,Senior Manager,Corporate Tax,Oceania Premium,130000,200000,270000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000016,G07,Director,Corporate Tax,Oceania Premium,165000,295000,430000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000017,G08,Partner,Corporate Tax,Oceania Premium,260000,655000,1045000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000018,G09,Executive,Corporate Tax,Oceania Premium,420000,1045000,1675000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000019,G01,Intern,Technology Consulting,Oceania Premium,22000,29000,36000,0.0,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000020,G02,Analyst,Technology Consulting,Oceania Premium,47000,63000,79000,0.03,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000021,G03,Consultant,Technology Consulting,Oceania Premium,61000,87000,115000,0.05,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000022,G04,Senior Consultant,Technology Consulting,Oceania Premium,81000,115000,150000,0.08,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000023,G05,Manager,Technology Consulting,Oceania Premium,105000,160000,215000,0.12,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000024,G06,Senior Manager,Technology Consulting,Oceania Premium,145000,225000,300000,0.18,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000025,G07,Director,Technology Consulting,Oceania Premium,180000,330000,475000,0.25,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000026,G08,Partner,Technology Consulting,Oceania Premium,290000,725000,1160000,0.4,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000027,G09,Executive,Technology Consulting,Oceania Premium,465000,1160000,1860000,0.5,AUD,Australia,0.83,High,0.08,AI Product / Transformation
CG000028,G01,Intern,Strategy Consulting,Oceania Premium,20000,26000,33000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000029,G02,Analyst,Strategy Consulting,Oceania Premium,42000,57000,71000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000030,G03,Consultant,Strategy Consulting,Oceania Premium,55000,78000,100000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000031,G04,Senior Consultant,Strategy Consulting,Oceania Premium,73000,105000,135000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000032,G05,Manager,Strategy Consulting,Oceania Premium,93000,145000,195000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000033,G06,Senior Manager,Strategy Consulting,Oceania Premium,130000,200000,270000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000034,G07,Director,Strategy Consulting,Oceania Premium,165000,295000,430000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000035,G08,Partner,Strategy Consulting,Oceania Premium,260000,655000,1045000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000036,G09,Executive,Strategy Consulting,Oceania Premium,420000,1045000,1675000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000037,G01,Intern,Human Capital,Oceania Premium,20000,26000,33000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000038,G02,Analyst,Human Capital,Oceania Premium,42000,57000,71000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000039,G03,Consultant,Human Capital,Oceania Premium,55000,78000,100000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000040,G04,Senior Consultant,Human Capital,Oceania Premium,73000,105000,135000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000041,G05,Manager,Human Capital,Oceania Premium,93000,145000,195000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000042,G06,Senior Manager,Human Capital,Oceania Premium,130000,200000,270000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000043,G07,Director,Human Capital,Oceania Premium,165000,295000,430000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000044,G08,Partner,Human Capital,Oceania Premium,260000,655000,1045000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000045,G09,Executive,Human Capital,Oceania Premium,420000,1045000,1675000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000046,G01,Intern,Cyber Risk,Oceania Premium,22000,29000,36000,0.0,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000047,G02,Analyst,Cyber Risk,Oceania Premium,47000,63000,79000,0.03,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000048,G03,Consultant,Cyber Risk,Oceania Premium,61000,87000,115000,0.05,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000049,G04,Senior Consultant,Cyber Risk,Oceania Premium,81000,115000,150000,0.08,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000050,G05,Manager,Cyber Risk,Oceania Premium,105000,160000,215000,0.12,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000051,G06,Senior Manager,Cyber Risk,Oceania Premium,145000,225000,300000,0.18,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000052,G07,Director,Cyber Risk,Oceania Premium,180000,330000,475000,0.25,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000053,G08,Partner,Cyber Risk,Oceania Premium,290000,725000,1160000,0.4,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000054,G09,Executive,Cyber Risk,Oceania Premium,465000,1160000,1860000,0.5,AUD,Australia,0.83,High,0.08,AI Risk / Compliance
CG000055,G01,Intern,Regulatory Risk,Oceania Premium,20000,27000,34000,0.0,AUD,Australia,0.83,High,0.08,AI Governance
CG000056,G02,Analyst,Regulatory Risk,Oceania Premium,44000,58000,73000,0.03,AUD,Australia,0.83,High,0.08,AI Governance
CG000057,G03,Consultant,Regulatory Risk,Oceania Premium,56000,81000,105000,0.05,AUD,Australia,0.83,High,0.08,AI Governance
CG000058,G04,Senior Consultant,Regulatory Risk,Oceania Premium,75000,110000,140000,0.08,AUD,Australia,0.83,High,0.08,AI Governance
CG000059,G05,Manager,Regulatory Risk,Oceania Premium,96000,150000,200000,0.12,AUD,Australia,0.83,High,0.08,AI Governance
CG000060,G06,Senior Manager,Regulatory Risk,Oceania Premium,135000,205000,280000,0.18,AUD,Australia,0.83,High,0.08,AI Governance
CG000061,G07,Director,Regulatory Risk,Oceania Premium,170000,305000,440000,0.25,AUD,Australia,0.83,High,0.08,AI Governance
CG000062,G08,Partner,Regulatory Risk,Oceania Premium,270000,670000,1075000,0.4,AUD,Australia,0.83,High,0.08,AI Governance
CG000063,G09,Executive,Regulatory Risk,Oceania Premium,430000,1075000,1720000,0.5,AUD,Australia,0.83,High,0.08,AI Governance
CG000064,G01,Intern,Mergers and Acquisitions,Oceania Premium,19000,26000,32000,0.0,AUD,Australia,0.83,Low,0.03,AI User
CG000065,G02,Analyst,Mergers and Acquisitions,Oceania Premium,42000,56000,69000,0.03,AUD,Australia,0.83,Low,0.03,AI User
CG000066,G03,Consultant,Mergers and Acquisitions,Oceania Premium,54000,77000,100000,0.05,AUD,Australia,0.83,Low,0.03,AI User
CG000067,G04,Senior Consultant,Mergers and Acquisitions,Oceania Premium,72000,105000,135000,0.08,AUD,Australia,0.83,Low,0.03,AI User
CG000068,G05,Manager,Mergers and Acquisitions,Oceania Premium,92000,140000,190000,0.12,AUD,Australia,0.83,Low,0.03,AI User
CG000069,G06,Senior Manager,Mergers and Acquisitions,Oceania Premium,130000,195000,265000,0.18,AUD,Australia,0.83,Low,0.03,AI User
CG000070,G07,Director,Mergers and Acquisitions,Oceania Premium,160000,290000,420000,0.25,AUD,Australia,0.83,Low,0.03,AI User
CG000071,G08,Partner,Mergers and Acquisitions,Oceania Premium,255000,640000,1025000,0.4,AUD,Australia,0.83,Low,0.03,AI User
CG000072,G09,Executive,Mergers and Acquisitions,Oceania Premium,410000,1025000,1640000,0.5,AUD,Australia,0.83,Low,0.03,AI User
CG000073,G01,Intern,Finance,Oceania Premium,19000,26000,32000,0.0,AUD,Australia,0.83,Low,0.03,AI User
CG000074,G02,Analyst,Finance,Oceania Premium,42000,56000,69000,0.03,AUD,Australia,0.83,Low,0.03,AI User
CG000075,G03,Consultant,Finance,Oceania Premium,54000,77000,100000,0.05,AUD,Australia,0.83,Low,0.03,AI User
CG000076,G04,Senior Consultant,Finance,Oceania Premium,72000,105000,135000,0.08,AUD,Australia,0.83,Low,0.03,AI User
CG000077,G05,Manager,Finance,Oceania Premium,92000,140000,190000,0.12,AUD,Australia,0.83,Low,0.03,AI User
CG000078,G06,Senior Manager,Finance,Oceania Premium,130000,195000,265000,0.18,AUD,Australia,0.83,Low,0.03,AI User
CG000079,G07,Director,Finance,Oceania Premium,160000,290000,420000,0.25,AUD,Australia,0.83,Low,0.03,AI User
CG000080,G08,Partner,Finance,Oceania Premium,255000,640000,1025000,0.4,AUD,Australia,0.83,Low,0.03,AI User
CG000081,G09,Executive,Finance,Oceania Premium,410000,1025000,1640000,0.5,AUD,Australia,0.83,Low,0.03,AI User
CG000082,G01,Intern,Human Resources,Oceania Premium,19000,25000,31000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000083,G02,Analyst,Human Resources,Oceania Premium,40000,54000,67000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000084,G03,Consultant,Human Resources,Oceania Premium,52000,75000,97000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000085,G04,Senior Consultant,Human Resources,Oceania Premium,70000,99000,130000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000086,G05,Manager,Human Resources,Oceania Premium,89000,135000,185000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000087,G06,Senior Manager,Human Resources,Oceania Premium,125000,190000,255000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000088,G07,Director,Human Resources,Oceania Premium,155000,280000,410000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000089,G08,Partner,Human Resources,Oceania Premium,250000,620000,995000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000090,G09,Executive,Human Resources,Oceania Premium,395000,995000,1590000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000091,G01,Intern,Information Technology,Oceania Premium,20000,27000,34000,0.0,AUD,Australia,0.83,High,0.08,AI Builder
CG000092,G02,Analyst,Information Technology,Oceania Premium,44000,58000,73000,0.03,AUD,Australia,0.83,High,0.08,AI Builder
CG000093,G03,Consultant,Information Technology,Oceania Premium,56000,81000,105000,0.05,AUD,Australia,0.83,High,0.08,AI Builder
CG000094,G04,Senior Consultant,Information Technology,Oceania Premium,75000,110000,140000,0.08,AUD,Australia,0.83,High,0.08,AI Builder
CG000095,G05,Manager,Information Technology,Oceania Premium,96000,150000,200000,0.12,AUD,Australia,0.83,High,0.08,AI Builder
CG000096,G06,Senior Manager,Information Technology,Oceania Premium,135000,205000,280000,0.18,AUD,Australia,0.83,High,0.08,AI Builder
CG000097,G07,Director,Information Technology,Oceania Premium,170000,305000,440000,0.25,AUD,Australia,0.83,High,0.08,AI Builder
CG000098,G08,Partner,Information Technology,Oceania Premium,270000,670000,1075000,0.4,AUD,Australia,0.83,High,0.08,AI Builder
CG000099,G09,Executive,Information Technology,Oceania Premium,430000,1075000,1720000,0.5,AUD,Australia,0.83,High,0.08,AI Builder
CG000100,G01,Intern,Legal,Oceania Premium,19000,25000,31000,0.0,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000101,G02,Analyst,Legal,Oceania Premium,40000,54000,67000,0.03,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000102,G03,Consultant,Legal,Oceania Premium,52000,75000,97000,0.05,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000103,G04,Senior Consultant,Legal,Oceania Premium,70000,99000,130000,0.08,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000104,G05,Manager,Legal,Oceania Premium,89000,135000,185000,0.12,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000105,G06,Senior Manager,Legal,Oceania Premium,125000,190000,255000,0.18,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000106,G07,Director,Legal,Oceania Premium,155000,280000,410000,0.25,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000107,G08,Partner,Legal,Oceania Premium,250000,620000,995000,0.4,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000108,G09,Executive,Legal,Oceania Premium,395000,995000,1590000,0.5,AUD,Australia,0.83,Medium,0.05,AI Governance
CG000109,G01,Intern,Marketing,Oceania Premium,19000,25000,31000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000110,G02,Analyst,Marketing,Oceania Premium,40000,54000,67000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000111,G03,Consultant,Marketing,Oceania Premium,52000,75000,97000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000112,G04,Senior Consultant,Marketing,Oceania Premium,70000,99000,130000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000113,G05,Manager,Marketing,Oceania Premium,89000,135000,185000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000114,G06,Senior Manager,Marketing,Oceania Premium,125000,190000,255000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000115,G07,Director,Marketing,Oceania Premium,155000,280000,410000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000116,G08,Partner,Marketing,Oceania Premium,250000,620000,995000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000117,G09,Executive,Marketing,Oceania Premium,395000,995000,1590000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000118,G01,Intern,Data and Analytics,Oceania Premium,23000,30000,38000,0.0,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000119,G02,Analyst,Data and Analytics,Oceania Premium,49000,65000,82000,0.03,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000120,G03,Consultant,Data and Analytics,Oceania Premium,63000,90000,115000,0.05,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000121,G04,Senior Consultant,Data and Analytics,Oceania Premium,84000,120000,155000,0.08,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000122,G05,Manager,Data and Analytics,Oceania Premium,110000,165000,225000,0.12,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000123,G06,Senior Manager,Data and Analytics,Oceania Premium,150000,230000,310000,0.18,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000124,G07,Director,Data and Analytics,Oceania Premium,190000,340000,495000,0.25,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000125,G08,Partner,Data and Analytics,Oceania Premium,300000,755000,1205000,0.4,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000126,G09,Executive,Data and Analytics,Oceania Premium,480000,1205000,1930000,0.5,AUD,Australia,0.83,Critical,0.12,AI Builder
CG000127,G01,Intern,Operations,Oceania Premium,20000,26000,33000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000128,G02,Analyst,Operations,Oceania Premium,42000,57000,71000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000129,G03,Consultant,Operations,Oceania Premium,55000,78000,100000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000130,G04,Senior Consultant,Operations,Oceania Premium,73000,105000,135000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000131,G05,Manager,Operations,Oceania Premium,93000,145000,195000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000132,G06,Senior Manager,Operations,Oceania Premium,130000,200000,270000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000133,G07,Director,Operations,Oceania Premium,165000,295000,430000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000134,G08,Partner,Operations,Oceania Premium,260000,655000,1045000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000135,G09,Executive,Operations,Oceania Premium,420000,1045000,1675000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000136,G01,Intern,Audit Assurance,Latin America Emerging,10000,13000,17000,0.0,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000137,G02,Analyst,Audit Assurance,Latin America Emerging,21000,29000,36000,0.03,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000138,G03,Consultant,Audit Assurance,Latin America Emerging,28000,40000,52000,0.05,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000139,G04,Senior Consultant,Audit Assurance,Latin America Emerging,37000,53000,69000,0.08,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000140,G05,Manager,Audit Assurance,Latin America Emerging,47000,73000,98000,0.12,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000141,G06,Senior Manager,Audit Assurance,Latin America Emerging,66000,100000,135000,0.18,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000142,G07,Director,Audit Assurance,Latin America Emerging,82000,150000,215000,0.25,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000143,G08,Partner,Audit Assurance,Latin America Emerging,130000,330000,530000,0.4,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000144,G09,Executive,Audit Assurance,Latin America Emerging,210000,530000,845000,0.5,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000145,G01,Intern,Corporate Tax,Latin America Emerging,10000,13000,17000,0.0,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000146,G02,Analyst,Corporate Tax,Latin America Emerging,21000,29000,36000,0.03,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000147,G03,Consultant,Corporate Tax,Latin America Emerging,28000,40000,52000,0.05,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000148,G04,Senior Consultant,Corporate Tax,Latin America Emerging,37000,53000,69000,0.08,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000149,G05,Manager,Corporate Tax,Latin America Emerging,47000,73000,98000,0.12,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000150,G06,Senior Manager,Corporate Tax,Latin America Emerging,66000,100000,135000,0.18,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000151,G07,Director,Corporate Tax,Latin America Emerging,82000,150000,215000,0.25,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000152,G08,Partner,Corporate Tax,Latin America Emerging,130000,330000,530000,0.4,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000153,G09,Executive,Corporate Tax,Latin America Emerging,210000,530000,845000,0.5,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000154,G01,Intern,Technology Consulting,Latin America Emerging,11000,15000,18000,0.0,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000155,G02,Analyst,Technology Consulting,Latin America Emerging,24000,32000,40000,0.03,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000156,G03,Consultant,Technology Consulting,Latin America Emerging,31000,44000,57000,0.05,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000157,G04,Senior Consultant,Technology Consulting,Latin America Emerging,41000,59000,76000,0.08,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000158,G05,Manager,Technology Consulting,Latin America Emerging,53000,81000,110000,0.12,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000159,G06,Senior Manager,Technology Consulting,Latin America Emerging,73000,115000,150000,0.18,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000160,G07,Director,Technology Consulting,Latin America Emerging,92000,165000,240000,0.25,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000161,G08,Partner,Technology Consulting,Latin America Emerging,145000,365000,590000,0.4,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000162,G09,Executive,Technology Consulting,Latin America Emerging,235000,590000,940000,0.5,BRL,Brazil,0.42,High,0.08,AI Product / Transformation
CG000163,G01,Intern,Strategy Consulting,Latin America Emerging,10000,13000,17000,0.0,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000164,G02,Analyst,Strategy Consulting,Latin America Emerging,21000,29000,36000,0.03,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000165,G03,Consultant,Strategy Consulting,Latin America Emerging,28000,40000,52000,0.05,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000166,G04,Senior Consultant,Strategy Consulting,Latin America Emerging,37000,53000,69000,0.08,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000167,G05,Manager,Strategy Consulting,Latin America Emerging,47000,73000,98000,0.12,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000168,G06,Senior Manager,Strategy Consulting,Latin America Emerging,66000,100000,135000,0.18,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000169,G07,Director,Strategy Consulting,Latin America Emerging,82000,150000,215000,0.25,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000170,G08,Partner,Strategy Consulting,Latin America Emerging,130000,330000,530000,0.4,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000171,G09,Executive,Strategy Consulting,Latin America Emerging,210000,530000,845000,0.5,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000172,G01,Intern,Human Capital,Latin America Emerging,10000,13000,17000,0.0,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000173,G02,Analyst,Human Capital,Latin America Emerging,21000,29000,36000,0.03,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000174,G03,Consultant,Human Capital,Latin America Emerging,28000,40000,52000,0.05,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000175,G04,Senior Consultant,Human Capital,Latin America Emerging,37000,53000,69000,0.08,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000176,G05,Manager,Human Capital,Latin America Emerging,47000,73000,98000,0.12,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000177,G06,Senior Manager,Human Capital,Latin America Emerging,66000,100000,135000,0.18,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000178,G07,Director,Human Capital,Latin America Emerging,82000,150000,215000,0.25,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000179,G08,Partner,Human Capital,Latin America Emerging,130000,330000,530000,0.4,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000180,G09,Executive,Human Capital,Latin America Emerging,210000,530000,845000,0.5,BRL,Brazil,0.42,Medium,0.05,AI-Augmented Professional
CG000181,G01,Intern,Cyber Risk,Latin America Emerging,11000,15000,18000,0.0,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000182,G02,Analyst,Cyber Risk,Latin America Emerging,24000,32000,40000,0.03,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000183,G03,Consultant,Cyber Risk,Latin America Emerging,31000,44000,57000,0.05,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000184,G04,Senior Consultant,Cyber Risk,Latin America Emerging,41000,59000,76000,0.08,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000185,G05,Manager,Cyber Risk,Latin America Emerging,53000,81000,110000,0.12,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000186,G06,Senior Manager,Cyber Risk,Latin America Emerging,73000,115000,150000,0.18,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000187,G07,Director,Cyber Risk,Latin America Emerging,92000,165000,240000,0.25,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000188,G08,Partner,Cyber Risk,Latin America Emerging,145000,365000,590000,0.4,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000189,G09,Executive,Cyber Risk,Latin America Emerging,235000,590000,940000,0.5,BRL,Brazil,0.42,High,0.08,AI Risk / Compliance
CG000190,G01,Intern,Regulatory Risk,Latin America Emerging,10000,14000,17000,0.0,BRL,Brazil,0.42,High,0.08,AI Governance
CG000191,G02,Analyst,Regulatory Risk,Latin America Emerging,22000,29000,37000,0.03,BRL,Brazil,0.42,High,0.08,AI Governance
CG000192,G03,Consultant,Regulatory Risk,Latin America Emerging,29000,41000,53000,0.05,BRL,Brazil,0.42,High,0.08,AI Governance
CG000193,G04,Senior Consultant,Regulatory Risk,Latin America Emerging,38000,54000,71000,0.08,BRL,Brazil,0.42,High,0.08,AI Governance
CG000194,G05,Manager,Regulatory Risk,Latin America Emerging,49000,75000,100000,0.12,BRL,Brazil,0.42,High,0.08,AI Governance
CG000195,G06,Senior Manager,Regulatory Risk,Latin America Emerging,68000,105000,140000,0.18,BRL,Brazil,0.42,High,0.08,AI Governance
