worker_compensation_id,worker_id,effective_date,pay_currency,base_pay_amount,base_pay_frequency,bonus_target_percentage,compensation_grade_id,compensation_plan_id,market_position_ratio,compa_ratio,salary_band_min,salary_band_mid,salary_band_max,gen_ai_impact_level,gen_ai_skill_premium,gen_ai_premium_applied,gen_ai_premium_amount,gen_ai_role_category
WC00000019,W00000019,2025-07-01,INR,43100.0,Annual,0.08,CG000544,CP001,1.027,1.078,28000,40000,52000,Medium,0.05,True,2100,AI-Augmented Professional
WC00000020,W00000020,2025-05-01,GBP,135000.0,Annual,0.08,CG001507,CP001,1.082,1.082,86000,125000,160000,High,0.08,False,0,AI Product / Transformation
WC00000021,W00000021,2021-07-01,USD,64500.0,Annual,0.03,CG001748,CP001,0.948,0.948,51000,68000,85000,Medium,0.05,False,0,AI-Augmented Professional
WC00000022,W00000022,2024-01-01,INR,25300.0,Annual,0.05,CG000624,CP001,0.871,0.871,20000,29000,37000,Medium,0.05,False,0,AI-Augmented Professional
WC00000023,W00000023,2022-10-04,INR,35800.0,Annual,0.08,CG000625,CP001,0.943,0.943,27000,38000,50000,Medium,0.05,False,0,AI-Augmented Professional
WC00000024,W00000024,2022-10-16,EUR,154000.0,Annual,0.12,CG000473,CP001,1.061,1.061,93000,145000,195000,Low,0.03,False,0,AI User
WC00000025,W00000025,2023-07-08,EUR,80000.0,Annual,0.08,CG001012,CP001,0.8,0.8,71000,100000,130000,Low,0.03,False,0,AI User
WC00000026,W00000026,2024-12-22,BRL,48200.0,Annual,0.08,CG000175,CP001,0.909,0.909,37000,53000,69000,Medium,0.05,False,0,AI-Augmented Professional
WC00000027,W00000027,2022-08-20,INR,374000.0,Annual,0.4,CG000665,CP001,1.291,1.291,115000,290000,465000,Critical,0.12,False,0,AI Builder
WC00000028,W00000028,2021-11-12,EUR,61200.0,Annual,0.03,CG000524,CP001,0.927,0.927,50000,66000,83000,Critical,0.12,False,0,AI Builder
WC00000029,W00000029,2024-07-01,INR,21500.0,Annual,0.03,CG000614,CP001,1.026,1.026,16000,21000,27000,Low,0.03,False,0,AI User
WC00000030,W00000030,2021-03-30,USD,154000.0,Annual,0.12,CG001733,CP001,0.889,0.933,105000,165000,220000,Medium,0.05,True,7300,AI-Augmented Professional
WC00000031,W00000031,2021-05-29,JPY,67200.0,Annual,0.05,CG000723,CP001,0.884,0.884,53000,76000,98000,High,0.08,False,0,AI Risk / Compliance
WC00000032,W00000032,2025-05-05,EUR,97600.0,Annual,0.08,CG001039,CP001,0.93,0.93,74000,105000,140000,High,0.08,False,0,AI Builder
WC00000033,W00000033,2021-07-22,EUR,69700.0,Annual,0.05,CG000489,CP001,0.929,0.929,53000,75000,98000,Medium,0.05,False,0,AI-Augmented Professional
WC00000034,W00000034,2022-08-31,AUD,125000.0,Annual,0.08,CG000121,CP001,1.039,1.039,84000,120000,155000,Critical,0.12,False,0,AI Builder
WC00000035,W00000035,2024-02-13,EUR,75300.0,Annual,0.05,CG001002,CP001,0.941,0.941,56000,80000,105000,High,0.08,False,0,AI Governance
WC00000036,W00000036,2021-03-14,BRL,79700.0,Annual,0.12,CG000248,CP001,1.155,1.155,45000,69000,93000,Medium,0.05,False,0,AI-Augmented Professional
WC00000037,W00000037,2021-07-01,INR,28700.0,Annual,0.05,CG000606,CP001,0.956,0.956,21000,30000,39000,Low,0.03,False,0,AI User
WC00000038,W00000038,2024-09-10,GBP,75600.0,Annual,0.05,CG001551,CP001,0.922,0.922,57000,82000,105000,Low,0.03,False,0,AI User
WC00000039,W00000039,2024-01-01,GBP,233000.0,Annual,0.18,CG001554,CP001,1.079,1.111,135000,210000,280000,Low,0.03,True,6800,AI User
WC00000040,W00000040,2024-01-01,USD,49.02,Hourly,0.0,CG001650,CP002,1.033,1.085,66000,94000,125000,Medium,0.05,True,4900,AI-Augmented Professional
WC00000041,W00000041,2025-11-18,AED,106000.0,Annual,0.08,CG001471,CP001,1.009,1.009,75000,105000,140000,Critical,0.12,False,0,AI Builder
WC00000042,W00000042,2025-01-01,EUR,57800.0,Annual,0.03,CG000497,CP001,0.907,0.98,44000,59000,74000,High,0.08,True,4300,AI Builder
WC00000043,W00000043,2025-01-01,INR,47300.0,Annual,0.08,CG000598,CP001,1.069,1.155,29000,41000,54000,High,0.08,True,3500,AI Governance
WC00000044,W00000044,2023-05-10,INR,30400.0,Annual,0.08,CG000625,CP001,0.8,0.8,27000,38000,50000,Medium,0.05,False,0,AI-Augmented Professional
WC00000045,W00000045,2025-07-01,CAD,44900.0,Annual,0.03,CG000380,CP001,0.848,0.848,40000,53000,66000,Medium,0.05,False,0,AI-Augmented Professional
WC00000046,W00000046,2025-07-01,AUD,104000.0,Annual,0.08,CG000085,CP001,1.049,1.049,70000,99000,130000,Medium,0.05,False,0,AI-Augmented Professional
WC00000047,W00000047,2024-01-01,USD,74200.0,Annual,0.03,CG001712,CP001,0.982,1.061,53000,70000,88000,High,0.08,True,5500,AI Builder
WC00000048,W00000048,2021-07-10,AUD,109000.0,Annual,0.08,CG000049,CP001,0.947,0.947,81000,115000,150000,High,0.08,False,0,AI Risk / Compliance
WC00000049,W00000049,2024-11-17,EUR,43100.0,Annual,0.03,CG001280,CP001,1.026,1.026,31000,42000,52000,Low,0.03,False,0,AI User
WC00000050,W00000050,2025-08-09,USD,64300.0,Annual,0.03,CG001712,CP001,0.918,0.918,53000,70000,88000,High,0.08,False,0,AI Builder
WC00000051,W00000051,2021-01-01,INR,63100.0,Annual,0.12,CG000608,CP001,1.169,1.169,35000,54000,73000,Low,0.03,False,0,AI User
WC00000052,W00000052,2024-01-01,EUR,107000.0,Annual,0.08,CG001075,CP001,1.016,1.016,72000,105000,135000,Medium,0.05,False,0,AI-Augmented Professional
WC00000053,W00000053,2021-02-23,EUR,147000.0,Annual,0.08,CG000526,CP001,1.097,1.229,85000,120000,160000,Critical,0.12,True,15800,AI Builder
WC00000054,W00000054,2023-07-01,INR,18.73,Hourly,0.0,CG000625,CP002,1.025,1.025,27000,38000,50000,Medium,0.05,False,0,AI-Augmented Professional
WC00000055,W00000055,2021-01-01,USD,127000.0,Annual,0.08,CG001624,CP001,1.018,1.018,88000,125000,165000,Medium,0.05,False,0,AI-Augmented Professional
WC00000056,W00000056,2024-07-01,AUD,114000.0,Annual,0.05,CG000120,CP001,1.127,1.262,63000,90000,115000,Critical,0.12,True,12200,AI Builder
WC00000057,W00000057,2022-04-07,EUR,76400.0,Annual,0.05,CG000480,CP001,0.98,0.98,55000,78000,100000,Low,0.03,False,0,AI User
WC00000058,W00000058,2024-10-14,JPY,159000.0,Annual,0.18,CG000780,CP001,0.918,0.964,105000,165000,225000,Medium,0.05,True,7600,AI Governance
WC00000059,W00000059,2025-10-01,EUR,107000.0,Annual,0.08,CG000463,CP001,0.973,0.973,76000,110000,140000,High,0.08,False,0,AI Governance
WC00000060,W00000060,2021-06-10,CAD,53600.0,Annual,0.03,CG000353,CP001,1.011,1.011,40000,53000,66000,Medium,0.05,False,0,AI-Augmented Professional
WC00000061,W00000061,2024-06-11,EUR,41000.0,Annual,0.03,CG000488,CP001,0.75,0.759,41000,54000,68000,Medium,0.05,False,0,AI-Augmented Professional
WC00000062,W00000062,2022-10-08,BRL,44100.0,Annual,0.05,CG000192,CP001,0.995,1.075,29000,41000,53000,High,0.08,True,3300,AI Governance
WC00000063,W00000063,2023-01-01,AED,125000.0,Annual,0.12,CG001481,CP001,0.963,0.963,83000,130000,175000,Medium,0.05,False,0,AI-Augmented Professional
WC00000064,W00000064,2023-03-25,INR,38200.0,Annual,0.08,CG000553,CP001,0.955,0.955,28000,40000,52000,Medium,0.05,False,0,AI-Augmented Professional
WC00000065,W00000065,2024-01-01,ZAR,22200.0,Annual,0.03,CG001145,CP001,0.967,0.967,18000,23000,29000,Low,0.03,False,0,AI User
WC00000066,W00000066,2022-01-01,BRL,89900.0,Annual,0.12,CG000185,CP001,1.11,1.11,53000,81000,110000,High,0.08,False,0,AI Risk / Compliance
WC00000067,W00000067,2022-01-01,EUR,84000.0,Annual,0.08,CG000976,CP001,0.8,0.8,72000,105000,135000,Medium,0.05,False,0,AI-Augmented Professional
WC00000068,W00000068,2025-01-01,EUR,57400.0,Annual,0.03,CG000470,CP001,1.025,1.025,42000,56000,70000,Low,0.03,False,0,AI User
WC00000069,W00000069,2022-01-01,EUR,115000.0,Annual,0.08,CG000436,CP001,1.092,1.092,74000,105000,140000,Medium,0.05,False,0,AI-Augmented Professional
WC00000070,W00000070,2022-07-01,EUR,112000.0,Annual,0.08,CG000427,CP001,0.868,0.937,82000,120000,155000,High,0.08,True,8300,AI Product / Transformation
WC00000071,W00000071,2021-10-10,EUR,49400.0,Annual,0.03,CG000515,CP001,0.871,0.915,41000,54000,68000,Medium,0.05,True,2400,AI-Augmented Professional
WC00000072,W00000072,2023-02-14,AUD,59800.0,Annual,0.03,CG000092,CP001,0.954,1.03,44000,58000,73000,High,0.08,True,4400,AI Builder
WC00000073,W00000073,2025-08-27,INR,20000.0,Annual,0.03,CG000542,CP001,0.907,0.907,16000,22000,27000,Medium,0.05,False,0,AI-Augmented Professional
WC00000074,W00000074,2022-08-19,AUD,96300.0,Annual,0.08,CG000067,CP001,0.917,0.917,72000,105000,135000,Low,0.03,False,0,AI User
WC00000075,W00000075,2022-10-27,EUR,53200.0,Annual,0.03,CG000497,CP001,0.902,0.902,44000,59000,74000,High,0.08,False,0,AI Builder
WC00000076,W00000076,2022-01-01,INR,20100.0,Annual,0.03,CG000641,CP001,0.955,0.955,16000,21000,26000,Medium,0.05,False,0,AI Governance
WC00000077,W00000077,2024-07-24,EUR,49200.0,Annual,0.03,CG000443,CP001,0.864,0.864,43000,57000,72000,Medium,0.05,False,0,AI-Augmented Professional
WC00000078,W00000078,2022-02-15,AUD,59800.0,Annual,0.03,CG000038,CP001,1.05,1.05,42000,57000,71000,Medium,0.05,False,0,AI-Augmented Professional
WC00000079,W00000079,2024-01-01,EUR,339000.0,Annual,0.25,CG000961,CP001,1.149,1.149,160000,295000,425000,Medium,0.05,False,0,AI-Augmented Professional
WC00000080,W00000080,2023-02-22,EUR,40700.0,Annual,0.03,CG001271,CP001,0.856,0.924,33000,44000,54000,High,0.08,True,3000,AI Governance
WC00000081,W00000081,2024-01-01,USD,56.62,Hourly,0.0,CG001678,CP003,0.906,0.906,91000,130000,170000,High,0.08,False,0,AI Governance
WC00000082,W00000082,2021-07-01,INR,20700.0,Annual,0.03,CG000632,CP001,0.941,0.941,17000,22000,28000,High,0.08,False,0,AI Builder
WC00000083,W00000083,2024-05-30,AED,71200.0,Annual,0.08,CG001435,CP001,0.8,0.8,62000,89000,115000,Medium,0.05,False,0,AI-Augmented Professional
WC00000084,W00000084,2023-07-01,EUR,92800.0,Annual,0.05,CG000453,CP001,1.054,1.054,62000,88000,115000,High,0.08,False,0,AI Risk / Compliance
WC00000085,W00000085,2024-10-08,MXN,27900.0,Annual,0.03,CG000938,CP001,1.073,1.073,19000,26000,32000,Medium,0.05,False,0,AI-Augmented Professional
WC00000086,W00000086,2023-10-19,CAD,99000.0,Annual,0.08,CG000328,CP001,0.873,0.943,74000,105000,140000,High,0.08,True,7300,AI Governance
WC00000087,W00000087,2021-12-25,EUR,87600.0,Annual,0.08,CG000535,CP001,0.834,0.834,74000,105000,140000,Medium,0.05,False,0,AI-Augmented Professional
WC00000088,W00000088,2024-07-01,AUD,192000.0,Annual,0.18,CG000114,CP001,0.962,1.01,125000,190000,255000,Medium,0.05,True,9100,AI-Augmented Professional
WC00000089,W00000089,2024-12-05,AUD,55500.0,Annual,0.03,CG000038,CP001,0.927,0.973,42000,57000,71000,Medium,0.05,True,2600,AI-Augmented Professional
WC00000090,W00000090,2022-07-01,USD,139000.0,Annual,0.08,CG001750,CP001,1.111,1.111,88000,125000,165000,Medium,0.05,False,0,AI-Augmented Professional
WC00000091,W00000091,2023-07-20,AUD,115000.0,Annual,0.08,CG000121,CP001,0.958,0.958,84000,120000,155000,Critical,0.12,False,0,AI Builder
WC00000092,W00000092,2025-04-16,AED,170000.0,Annual,0.18,CG001428,CP001,0.974,0.974,115000,175000,235000,Low,0.03,False,0,AI User
WC00000093,W00000093,2021-07-01,USD,263000.0,Annual,0.18,CG001698,CP001,1.121,1.121,155000,235000,320000,Low,0.03,False,0,AI User
WC00000094,W00000094,2023-02-26,GBP,73.12,Hourly,0.0,CG001616,CP002,1.014,1.014,99000,150000,205000,Medium,0.05,False,0,AI-Augmented Professional
WC00000095,W00000095,2021-01-01,INR,13.7,Hourly,0.0,CG000615,CP003,0.95,0.95,21000,30000,39000,Low,0.03,False,0,AI User
WC00000096,W00000096,2025-06-02,BRL,26300.0,Annual,0.03,CG000182,CP001,0.822,0.822,24000,32000,40000,High,0.08,False,0,AI Risk / Compliance
WC00000097,W00000097,2025-07-01,EUR,96700.0,Annual,0.08,CG000535,CP001,0.921,0.921,74000,105000,140000,Medium,0.05,False,0,AI-Augmented Professional
WC00000098,W00000098,2025-01-01,USD,89500.0,Annual,0.05,CG001713,CP001,0.923,0.923,68000,97000,125000,High,0.08,False,0,AI Builder
WC00000099,W00000099,2021-07-03,AUD,50100.0,Annual,0.03,CG000038,CP001,0.879,0.879,42000,57000,71000,Medium,0.05,False,0,AI-Augmented Professional
WC00000100,W00000100,2025-03-26,CAD,60800.0,Annual,0.05,CG000372,CP001,0.822,0.822,52000,74000,96000,Medium,0.05,False,0,AI Governance
WC00000101,W00000101,2025-07-01,MXN,34900.0,Annual,0.05,CG000894,CP001,1.027,1.027,24000,34000,44000,Medium,0.05,False,0,AI-Augmented Professional
WC00000102,W00000102,2022-05-15,EUR,95000.0,Annual,0.08,CG000535,CP001,0.862,0.905,74000,105000,140000,Medium,0.05,True,4500,AI-Augmented Professional
WC00000103,W00000103,2021-10-27,AUD,25600.0,Annual,0.0,CG000001,CP001,0.936,0.983,20000,26000,33000,Medium,0.05,True,1200,AI-Augmented Professional
WC00000104,W00000104,2022-01-01,INR,162.43,Hourly,0.0,CG000620,CP002,1.379,1.379,99000,245000,395000,Low,0.03,False,0,AI User
WC00000105,W00000105,2025-12-29,USD,98300.0,Annual,0.05,CG001722,CP001,1.092,1.092,63000,90000,115000,Medium,0.05,False,0,AI Governance
WC00000106,W00000106,2023-01-01,MXN,33400.0,Annual,0.03,CG000857,CP001,1.066,1.151,22000,29000,36000,High,0.08,True,2500,AI Risk / Compliance
WC00000107,W00000107,2024-07-01,MXN,25700.0,Annual,0.03,CG000902,CP001,0.952,0.952,20000,27000,33000,High,0.08,False,0,AI Builder
WC00000108,W00000108,2021-07-01,USD,105000.0,Annual,0.05,CG001713,CP001,0.999,1.079,68000,97000,125000,High,0.08,True,7800,AI Builder
WC00000109,W00000109,2022-01-07,BRL,31200.0,Annual,0.03,CG000263,CP001,1.023,1.074,21000,29000,36000,Medium,0.05,True,1500,AI-Augmented Professional
WC00000110,W00000110,2022-03-12,EUR,77500.0,Annual,0.05,CG000471,CP001,0.965,0.994,55000,78000,100000,Low,0.03,True,2300,AI User
WC00000111,W00000111,2022-01-01,EUR,66100.0,Annual,0.05,CG001047,CP001,0.893,0.893,52000,74000,96000,Medium,0.05,False,0,AI Governance
WC00000112,W00000112,2024-01-01,GBP,200000.0,Annual,0.18,CG001554,CP001,0.951,0.951,135000,210000,280000,Low,0.03,False,0,AI User
WC00000113,W00000113,2024-01-01,USD,97700.0,Annual,0.05,CG001632,CP001,1.039,1.039,66000,94000,125000,Medium,0.05,False,0,AI-Augmented Professional
WC00000114,W00000114,2022-07-01,MXN,152000.0,Annual,0.25,CG000853,CP001,1.125,1.125,75000,135000,195000,Medium,0.05,False,0,AI-Augmented Professional
WC00000115,W00000115,2025-07-04,USD,132000.0,Annual,0.05,CG001740,CP001,1.071,1.2,76000,110000,140000,Critical,0.12,True,14100,AI Builder
WC00000116,W00000116,2021-06-30,AUD,216000.0,Annual,0.18,CG000132,CP001,1.082,1.082,130000,200000,270000,Medium,0.05,False,0,AI-Augmented Professional
WC00000117,W00000117,2021-01-01,CAD,50900.0,Annual,0.03,CG000389,CP001,0.796,0.796,48000,64000,81000,Critical,0.12,False,0,AI Builder
WC00000118,W00000118,2024-11-10,AUD,105000.0,Annual,0.08,CG000130,CP001,0.956,1.004,73000,105000,135000,Medium,0.05,True,5000,AI-Augmented Professional
WC00000119,W00000119,2023-07-01,MXN,41200.0,Annual,0.05,CG000867,CP001,1.114,1.114,26000,37000,48000,High,0.08,False,0,AI Governance
WC00000120,W00000120,2023-07-01,INR,37500.0,Annual,0.08,CG000661,CP001,0.815,0.815,33000,46000,60000,Critical,0.12,False,0,AI Builder
WC00000121,W00000121,2021-05-04,EUR,110000.0,Annual,0.08,CG000409,CP001,1.052,1.052,74000,105000,140000,Medium,0.05,False,0,AI-Augmented Professional
WC00000122,W00000122,2023-09-06,INR,40000.0,Annual,0.08,CG000616,CP001,1.001,1.001,28000,40000,51000,Low,0.03,False,0,AI User
WC00000123,W00000123,2024-07-01,AUD,62100.0,Annual,0.03,CG000047,CP001,0.985,0.985,47000,63000,79000,High,0.08,False,0,AI Risk / Compliance
WC00000124,W00000124,2023-06-01,USD,122000.0,Annual,0.08,CG001723,CP001,1.018,1.018,84000,120000,155000,Medium,0.05,False,0,AI Governance
WC00000125,W00000125,2022-01-02,INR,11000.0,Annual,0.0,CG000577,CP004,1.098,1.098,8000,10000,13000,Medium,0.05,False,0,AI-Augmented Professional
WC00000126,W00000126,2021-09-29,EUR,55400.0,Annual,0.03,CG000407,CP001,0.972,0.972,43000,57000,72000,Medium,0.05,False,0,AI-Augmented Professional
WC00000127,W00000127,2024-10-25,AED,40000.0,Annual,0.03,CG001451,CP001,0.834,0.834,36000,48000,60000,Medium,0.05,False,0,AI Governance
WC00000128,W00000128,2024-07-01,INR,22100.0,Annual,0.03,CG000596,CP001,0.93,1.004,17000,22000,28000,High,0.08,True,1600,AI Governance
WC00000129,W00000129,2021-07-01,AED,57100.0,Annual,0.03,CG001469,CP001,0.984,0.984,44000,58000,73000,Critical,0.12,False,0,AI Builder
WC00000130,W00000130,2025-07-01,EUR,73200.0,Annual,0.05,CG000534,CP001,0.926,0.926,56000,79000,105000,Medium,0.05,False,0,AI-Augmented Professional
WC00000131,W00000131,2022-07-01,USD,72700.0,Annual,0.03,CG001712,CP001,0.962,1.039,53000,70000,88000,High,0.08,True,5400,AI Builder
WC00000132,W00000132,2023-07-01,USD,56000.0,Annual,0.03,CG001721,CP001,0.861,0.861,49000,65000,81000,Medium,0.05,False,0,AI Governance
WC00000133,W00000133,2022-01-01,MXN,181000.0,Annual,0.25,CG000925,CP001,1.39,1.39,71000,130000,185000,Medium,0.05,False,0,AI-Augmented Professional
WC00000134,W00000134,2021-10-05,INR,19700.0,Annual,0.03,CG000650,CP001,0.94,0.94,16000,21000,26000,Medium,0.05,False,0,AI-Augmented Professional
WC00000135,W00000135,2025-12-19,EUR,65600.0,Annual,0.05,CG000462,CP001,0.8,0.8,57000,82000,105000,High,0.08,False,0,AI Governance
WC00000136,W00000136,2022-09-22,ZAR,20600.0,Annual,0.03,CG001136,CP001,0.764,0.825,18000,25000,31000,High,0.08,True,1500,AI Governance
WC00000137,W00000137,2024-03-15,USD,184000.0,Annual,0.12,CG001679,CP001,0.945,1.021,115000,180000,240000,High,0.08,True,13600,AI Governance
WC00000138,W00000138,2025-07-01,USD,162000.0,Annual,0.08,CG001642,CP001,1.073,1.159,98000,140000,180000,High,0.08,True,12000,AI Product / Transformation
WC00000139,W00000139,2023-07-01,BRL,24100.0,Annual,0.03,CG000227,CP004,0.832,0.832,22000,29000,37000,High,0.08,False,0,AI Builder
WC00000140,W00000140,2023-01-01,AUD,239000.0,Annual,0.18,CG000024,CP001,0.983,1.062,145000,225000,300000,High,0.08,True,17700,AI Product / Transformation
WC00000141,W00000141,2023-10-04,EUR,343000.0,Annual,0.25,CG001015,CP001,1.204,1.204,160000,285000,415000,Low,0.03,False,0,AI User
WC00000142,W00000142,2021-03-16,INR,353000.0,Annual,0.4,CG000638,CP001,1.358,1.358,105000,260000,415000,High,0.08,False,0,AI Builder
WC00000143,W00000143,2025-05-04,EUR,34800.0,Annual,0.03,CG001298,CP001,0.871,0.871,30000,40000,50000,Medium,0.05,False,0,AI-Augmented Professional
WC00000144,W00000144,2021-09-05,AUD,290000.0,Annual,0.18,CG000024,CP001,1.29,1.29,145000,225000,300000,High,0.08,False,0,AI Product / Transformation
WC00000145,W00000145,2022-07-01,BRL,103000.0,Annual,0.18,CG000150,CP001,1.035,1.035,66000,100000,135000,Medium,0.05,False,0,AI-Augmented Professional
WC00000146,W00000146,2021-01-01,AUD,56600.0,Annual,0.03,CG000110,CP001,1.049,1.049,40000,54000,67000,Medium,0.05,False,0,AI-Augmented Professional
WC00000147,W00000147,2022-10-02,CAD,69400.0,Annual,0.05,CG000372,CP001,0.938,0.938,52000,74000,96000,Medium,0.05,False,0,AI Governance
WC00000148,W00000148,2021-10-21,BRL,28300.0,Annual,0.03,CG000254,CP001,0.859,0.859,25000,33000,41000,Critical,0.12,False,0,AI Builder
WC00000149,W00000149,2022-06-17,JPY,47100.0,Annual,0.03,CG000704,CP001,0.962,0.962,37000,49000,61000,Medium,0.05,False,0,AI-Augmented Professional
WC00000150,W00000150,2025-11-14,INR,24500.0,Annual,0.03,CG000560,CP001,1.022,1.022,18000,24000,30000,High,0.08,False,0,AI Product / Transformation
WC00000151,W00000151,2025-04-17,GBP,57700.0,Annual,0.03,CG001604,CP001,0.836,0.836,52000,69000,86000,Critical,0.12,False,0,AI Builder
WC00000152,W00000152,2024-11-04,CAD,170000.0,Annual,0.12,CG000311,CP001,1.154,1.212,92000,140000,190000,Medium,0.05,True,8100,AI-Augmented Professional
WC00000153,W00000153,2023-01-01,GBP,84700.0,Annual,0.05,CG001533,CP004,0.921,0.921,65000,92000,120000,High,0.08,False,0,AI Risk / Compliance
WC00000154,W00000154,2022-03-14,INR,9.47,Hourly,0.0,CG000551,CP002,0.895,0.895,16000,22000,27000,Medium,0.05,False,0,AI-Augmented Professional
WC00000155,W00000155,2022-07-01,INR,19400.0,Annual,0.03,CG000614,CP001,0.925,0.925,16000,21000,27000,Low,0.03,False,0,AI User
WC00000156,W00000156,2021-02-03,GBP,56400.0,Annual,0.03,CG001505,CP001,0.842,0.842,50000,67000,83000,High,0.08,False,0,AI Product / Transformation
WC00000157,W00000157,2023-03-10,MXN,14.28,Hourly,0.0,CG000866,CP002,1.1,1.1,20000,27000,33000,High,0.08,False,0,AI Governance
WC00000158,W00000158,2023-04-05,EUR,80400.0,Annual,0.08,CG001264,CP001,0.924,0.924,61000,87000,115000,High,0.08,False,0,AI Risk / Compliance
WC00000159,W00000159,2021-01-01,AUD,287000.0,Annual,0.25,CG000106,CP001,1.024,1.024,155000,280000,410000,Medium,0.05,False,0,AI Governance
WC00000160,W00000160,2024-01-01,USD,100000.0,Annual,0.05,CG001641,CP001,0.953,0.953,73000,105000,135000,High,0.08,False,0,AI Product / Transformation
WC00000161,W00000161,2022-07-01,EUR,46600.0,Annual,0.03,CG001271,CP001,1.06,1.06,33000,44000,54000,High,0.08,False,0,AI Governance
WC00000162,W00000162,2025-06-01,INR,10.58,Hourly,0.0,CG000632,CP002,0.926,1.0,17000,22000,28000,High,0.08,True,1600,AI Builder
WC00000163,W00000163,2024-03-29,AED,46300.0,Annual,0.03,CG001379,CP001,0.908,0.908,38000,51000,63000,Medium,0.05,False,0,AI-Augmented Professional
WC00000164,W00000164,2021-07-19,USD,101000.0,Annual,0.08,CG001732,CP001,0.8,0.84,84000,120000,155000,Medium,0.05,True,4800,AI-Augmented Professional
WC00000165,W00000165,2024-11-21,USD,62900.0,Annual,0.03,CG001730,CP001,0.968,0.968,49000,65000,81000,Medium,0.05,False,0,AI-Augmented Professional
WC00000166,W00000166,2025-01-01,MXN,43800.0,Annual,0.08,CG000913,CP001,0.973,0.973,32000,45000,59000,Medium,0.05,False,0,AI Governance
WC00000167,W00000167,2022-11-07,INR,24800.0,Annual,0.03,CG000659,CP001,0.884,0.99,19000,25000,31000,Critical,0.12,True,2700,AI Builder
WC00000168,W00000168,2021-02-16,INR,17600.0,Annual,0.03,CG000614,CP001,0.84,0.84,16000,21000,27000,Low,0.03,False,0,AI User
WC00000169,W00000169,2023-09-13,AUD,24600.0,Annual,0.0,CG000046,CP001,0.848,0.848,22000,29000,36000,High,0.08,False,0,AI Risk / Compliance
WC00000170,W00000170,2022-01-01,INR,21000.0,Annual,0.03,CG000560,CP001,0.875,0.875,18000,24000,30000,High,0.08,False,0,AI Product / Transformation
